Symbol,Date,Open,High,Low,Close,Percent Change,Volume,
ADBL,1/1/2012,115,115,113,114,-0.87%,1111,
ADBL,1/2/2012,114,118,115,118,3.51%,551,
ADBL,1/3/2012,118,116,114,115,-2.54%,490,
ADBL,1/4/2012,115,115,113,114,-0.87%,3220,
ADBL,1/5/2012,114,114,112,113,-0.88%,775,
ADBL,1/8/2012,113,115,113,114,0.88%,3240,
ADBL,1/9/2012,114,113,111,111,-2.63%,1710,
ADBL,1/10/2012,111,114,112,112,0.90%,549,
ADBL,1/11/2012,112,112,111,112,0.00%,2477,
ADBL,1/12/2012,112,112,110,112,0.00%,3102,
ADBL,1/16/2012,112,112,111,111,-0.89%,1049,
ADBL,1/17/2012,111,114,110,113,1.80%,866,
ADBL,1/18/2012,118,117,115,117,-0.85%,411,
ADBL,1/22/2012,117,118,115,117,0.00%,4484,
ADBL,1/23/2012,117,115,111,112,-4.27%,1650,
ADBL,1/25/2012,112,114,111,114,1.79%,1170,
ADBL,1/26/2012,114,114,110,112,-1.75%,1060,
ADBL,1/29/2012,112,114,111,112,0.00%,4200,
ADBL,1/31/2012,112,114,110,110,-1.79%,2291,
ADBL,2/1/2012,110,113,110,111,0.91%,1833,
ADBL,2/2/2012,111,113,111,111,0.00%,3946,
ADBL,2/5/2012,111,111,109,110,-0.90%,1611,
ADBL,2/6/2012,110,111,110,111,0.91%,992,
ADBL,2/7/2012,111,110,107,110,-0.90%,2091,
ADBL,2/8/2012,110,110,109,110,0.00%,386,
ADBL,2/9/2012,110,110,109,109,-0.91%,920,
ADBL,2/12/2012,109,109,108,109,0.00%,1309,
ADBL,2/13/2012,109,111,107,108,-0.92%,1992,
ADBL,2/14/2012,108,110,107,109,0.93%,1961,
ADBL,2/15/2012,109,111,110,111,1.83%,276,
ADBL,2/16/2012,111,109,107,108,-2.70%,550,
ADBL,2/21/2012,108,109,108,109,0.93%,631,
ADBL,2/23/2012,109,109,107,109,0.00%,1230,
ADBL,2/26/2012,109,109,105,107,-1.83%,2747,
ADBL,2/27/2012,107,109,107,108,0.93%,1285,
ADBL,2/28/2012,108,110,107,109,0.93%,2204,
ADBL,2/29/2012,109,109,108,108,-0.92%,1030,
ADBL,3/1/2012,108,109,107,108,0.00%,2300,
ADBL,3/4/2012,108,109,104,109,0.93%,1451,
ADBL,3/5/2012,109,109,107,107,-1.83%,460,
ADBL,3/6/2012,107,107,105,105,-1.87%,2124,
ADBL,3/11/2012,105,106,105,106,0.95%,754,
ADBL,3/12/2012,106,107,102,106,0.00%,1022,
ADBL,3/13/2012,106,106,104,104,-1.89%,1321,
