Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,272.9,,0.0,Neutral,0.0,Neutral
2026-03-01,267.5,,0.0,Neutral,0.0,Neutral
2026-02-26,263.8,,0.0,Neutral,0.0,Neutral
2026-02-25,260.0,,0.0,Neutral,0.0,Neutral
2026-02-24,259.9,,0.0,Neutral,0.0,Neutral
2026-02-23,256.0,,0.0,Neutral,0.0,Neutral
2026-02-22,256.8,,0.0,Neutral,0.0,Neutral
2026-02-17,265.0,,0.0,Neutral,0.0,Neutral
2026-02-16,269.0,,0.0,Neutral,0.0,Neutral
2026-02-12,277.0,,0.0,Neutral,0.0,Neutral
2026-02-11,283.2,,0.0,Neutral,0.0,Neutral
2026-02-10,277.3,,0.0,Neutral,0.0,Neutral
2026-02-09,266.9,,0.0,Neutral,0.0,Neutral
2026-02-08,269.0,,0.0,Neutral,0.0,Neutral
2026-02-05,271.0,,0.0,Neutral,0.0,Neutral
2026-02-04,263.9,,0.0,Neutral,0.0,Neutral
2026-02-03,265.0,,0.0,Neutral,0.0,Neutral
2026-02-02,268.0,,0.0,Neutral,0.0,Neutral
2026-02-01,266.8,,0.0,Neutral,0.0,Neutral
2026-01-29,271.0,,0.0,Neutral,0.0,Neutral
2026-01-28,267.0,,0.0,Neutral,0.0,Neutral
2026-01-27,269.0,,0.0,Neutral,0.0,Neutral
2026-01-26,272.9,,0.0,Neutral,0.0,Neutral
2026-01-25,264.0,,0.0,Neutral,0.0,Neutral
2026-01-22,255.0,,0.0,Neutral,0.0,Neutral
2026-01-21,254.6,,0.0,Neutral,0.0,Neutral
2026-01-20,254.5,,0.0,Neutral,0.0,Neutral
2026-01-18,247.1,,0.0,Neutral,0.0,Neutral
2026-01-14,246.0,,0.0,Neutral,0.0,Neutral
2026-01-13,248.0,,0.0,Neutral,0.0,Neutral
2026-01-12,246.2,,0.0,Neutral,0.0,Neutral
2026-01-08,249.5,,0.0,Neutral,0.0,Neutral
2026-01-07,246.9,,0.0,Neutral,0.0,Neutral
2026-01-06,248.0,,0.0,Neutral,0.0,Neutral
2026-01-05,244.9,,0.0,Neutral,0.0,Neutral
2026-01-04,242.5,,0.0,Neutral,0.0,Neutral
2026-01-01,245.8,,0.0,Neutral,0.0,Neutral
2025-12-31,247.0,,0.0,Neutral,0.0,Neutral
2025-12-29,247.0,,0.0,Neutral,0.0,Neutral
2025-12-28,248.9,,0.0,Neutral,0.0,Neutral
2025-12-24,244.0,,0.0,Neutral,0.0,Neutral
2025-12-23,245.6,,0.0,Neutral,0.0,Neutral
2025-12-22,242.9,,0.0,Neutral,0.0,Neutral
2025-12-21,241.0,,0.0,Neutral,0.0,Neutral
2025-12-18,243.9,,0.0,Neutral,0.0,Neutral
2025-12-17,245.0,,0.0,Neutral,0.0,Neutral
