Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2025-01-07,388.0,,0.0,Neutral,0.0,Neutral
2024-10-06,312.0,,0.0,Neutral,0.0,Neutral
2024-05-16,312.0,,0.0,Neutral,0.0,Neutral
2024-03-07,308.0,,0.0,Neutral,0.0,Neutral
2024-03-06,308.0,,0.0,Neutral,0.0,Neutral
2024-03-05,308.0,,0.0,Neutral,0.0,Neutral
2023-12-19,365.0,,0.0,Neutral,0.0,Neutral
2023-08-10,382.0,,0.0,Neutral,0.0,Neutral
2023-03-14,340.1,,0.0,Neutral,0.0,Neutral
2023-03-05,340.1,,0.0,Neutral,0.0,Neutral
2022-12-01,274.0,,0.0,Neutral,0.0,Neutral
2022-07-03,317.0,,0.0,Neutral,0.0,Neutral
2022-01-19,679.0,,0.0,Neutral,0.0,Neutral
2021-11-30,679.0,,0.0,Neutral,0.0,Neutral
2021-09-20,657.0,,0.0,Neutral,0.0,Neutral
2021-09-14,670.0,,0.0,Neutral,0.0,Neutral
2021-07-28,697.0,,0.0,Neutral,0.0,Neutral
2021-07-27,697.0,,0.0,Neutral,0.0,Neutral
2021-01-18,380.0,,0.0,Neutral,0.0,Neutral
2020-12-28,380.0,,0.0,Neutral,0.0,Neutral
2020-12-03,380.0,,0.0,Neutral,0.0,Neutral
2020-11-18,110.0,,0.0,Neutral,0.0,Neutral
2020-10-11,384.0,,0.0,Neutral,0.0,Neutral
2020-09-06,391.0,,0.0,Neutral,0.0,Neutral
2020-08-31,391.0,,0.0,Neutral,0.0,Neutral
2020-06-29,260.0,,0.0,Neutral,0.0,Neutral
2020-02-05,260.0,,0.0,Neutral,0.0,Neutral
2020-01-16,260.0,,0.0,Neutral,0.0,Neutral
2019-12-19,260.0,,0.0,Neutral,0.0,Neutral
2019-10-15,262.5,,0.0,Neutral,0.0,Neutral
2019-05-22,262.0,,0.0,Neutral,0.0,Neutral
2019-05-16,262.0,,0.0,Neutral,0.0,Neutral
2019-02-03,350.0,,0.0,Neutral,0.0,Neutral
2018-12-10,350.0,,0.0,Neutral,0.0,Neutral
2018-09-20,350.0,,0.0,Neutral,0.0,Neutral
2018-09-06,350.0,,0.0,Neutral,0.0,Neutral
2018-01-21,700.0,,0.0,Neutral,0.0,Neutral
2018-01-09,720.0,,0.0,Neutral,0.0,Neutral
2018-01-04,720.0,,0.0,Neutral,0.0,Neutral
2017-10-30,800.0,,0.0,Neutral,0.0,Neutral
2017-10-16,800.0,,0.0,Neutral,0.0,Neutral
2017-09-13,800.0,,0.0,Neutral,0.0,Neutral
2017-06-05,800.0,,0.0,Neutral,0.0,Neutral
2017-06-01,800.0,,0.0,Neutral,0.0,Neutral
2017-05-15,817.0,,0.0,Neutral,0.0,Neutral
2017-01-24,833.0,,0.0,Neutral,0.0,Neutral
2016-11-27,850.0,,0.0,Neutral,0.0,Neutral
2016-09-26,860.0,,0.0,Neutral,0.0,Neutral
2016-04-21,724.0,,0.0,Neutral,0.0,Neutral
2016-03-30,710.0,,0.0,Neutral,0.0,Neutral
2015-10-11,575.0,,0.0,Neutral,0.0,Neutral
2015-07-08,490.0,,0.0,Neutral,0.0,Neutral
2015-03-19,570.0,,0.0,Neutral,0.0,Neutral
2015-03-18,561.0,,0.0,Neutral,0.0,Neutral
2015-03-17,524.0,,0.0,Neutral,0.0,Neutral
2015-03-16,486.0,,0.0,Neutral,0.0,Neutral
2015-03-12,450.0,,0.0,Neutral,0.0,Neutral
2015-03-11,434.0,,0.0,Neutral,0.0,Neutral
2015-03-10,402.0,,0.0,Neutral,0.0,Neutral
2015-03-09,374.0,,0.0,Neutral,0.0,Neutral
2015-03-04,347.0,,0.0,Neutral,0.0,Neutral
2015-01-25,329.0,,0.0,Neutral,0.0,Neutral
2015-01-22,323.0,,0.0,Neutral,0.0,Neutral
2015-01-06,323.0,,0.0,Neutral,0.0,Neutral
2014-11-13,317.0,,0.0,Neutral,0.0,Neutral
2014-11-12,310.0,,0.0,Neutral,0.0,Neutral
2014-06-02,310.0,,0.0,Neutral,0.0,Neutral
2014-06-01,315.0,,0.0,Neutral,0.0,Neutral
2014-05-27,326.0,,0.0,Neutral,0.0,Neutral
2014-05-22,338.0,,0.0,Neutral,0.0,Neutral
2014-04-27,350.0,,0.0,Neutral,0.0,Neutral
2014-04-23,378.0,,0.0,Neutral,0.0,Neutral
2014-03-09,385.0,,0.0,Neutral,0.0,Neutral
