Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2022-06-13,141.0,,0.0,Neutral,0.0,Neutral
2022-05-10,141.0,,0.0,Neutral,0.0,Neutral
2022-04-11,141.0,,0.0,Neutral,0.0,Neutral
2021-06-27,198.0,,0.0,Neutral,0.0,Neutral
2021-03-04,147.0,,0.0,Neutral,0.0,Neutral
2021-01-25,147.0,,0.0,Neutral,0.0,Neutral
2020-12-07,147.0,,0.0,Neutral,0.0,Neutral
2020-10-20,147.0,,0.0,Neutral,0.0,Neutral
2020-10-18,140.11,,0.0,Neutral,0.0,Neutral
2020-10-15,141.0,,0.0,Neutral,0.0,Neutral
2020-03-05,147.0,,0.0,Neutral,0.0,Neutral
2020-02-18,160.25,,0.0,Neutral,0.0,Neutral
2019-12-29,137.0,,0.0,Neutral,0.0,Neutral
2019-10-02,160.0,,0.0,Neutral,0.0,Neutral
2019-09-29,147.0,,0.0,Neutral,0.0,Neutral
2019-09-26,150.0,,0.0,Neutral,0.0,Neutral
2019-09-25,150.0,,0.0,Neutral,0.0,Neutral
2019-08-19,150.0,,0.0,Neutral,0.0,Neutral
2019-04-01,150.0,,0.0,Neutral,0.0,Neutral
2019-02-13,150.0,,0.0,Neutral,0.0,Neutral
2018-06-27,212.0,,0.0,Neutral,0.0,Neutral
2018-04-09,212.0,,0.0,Neutral,0.0,Neutral
2018-03-29,212.0,,0.0,Neutral,0.0,Neutral
2018-02-20,211.0,,0.0,Neutral,0.0,Neutral
2017-11-12,270.0,,0.0,Neutral,0.0,Neutral
2017-09-06,270.0,,0.0,Neutral,0.0,Neutral
2017-08-27,275.0,,0.0,Neutral,0.0,Neutral
2017-03-16,405.0,,0.0,Neutral,0.0,Neutral
2016-10-19,401.0,,0.0,Neutral,0.0,Neutral
2015-12-02,200.0,,0.0,Neutral,0.0,Neutral
2015-12-01,211.0,,0.0,Neutral,0.0,Neutral
2015-11-30,225.0,,0.0,Neutral,0.0,Neutral
2015-10-19,250.0,,0.0,Neutral,0.0,Neutral
2015-09-08,260.0,,0.0,Neutral,0.0,Neutral
2015-07-22,260.0,,0.0,Neutral,0.0,Neutral
2013-10-03,481.0,,0.0,Neutral,0.0,Neutral
2013-10-02,481.0,,0.0,Neutral,0.0,Neutral
2013-06-26,509.0,,0.0,Neutral,0.0,Neutral
2013-05-22,550.0,,0.0,Neutral,0.0,Neutral
2013-04-25,560.0,,0.0,Neutral,0.0,Neutral
2011-11-28,223.0,,0.0,Neutral,0.0,Neutral
2011-09-07,560.0,,0.0,Neutral,0.0,Neutral
