Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,538.0,,0.0,Neutral,0.0,Neutral
2026-03-01,537.0,,0.0,Neutral,0.0,Neutral
2026-02-26,522.3,,0.0,Neutral,0.0,Neutral
2026-02-25,523.0,,0.0,Neutral,0.0,Neutral
2026-02-24,535.9,,0.0,Neutral,0.0,Neutral
2026-02-23,527.0,,0.0,Neutral,0.0,Neutral
2026-02-22,534.0,,0.0,Neutral,0.0,Neutral
2026-02-17,535.0,,0.0,Neutral,0.0,Neutral
2026-02-16,554.0,,0.0,Neutral,0.0,Neutral
2026-02-12,525.0,,0.0,Neutral,0.0,Neutral
2026-02-11,527.9,,0.0,Neutral,0.0,Neutral
2026-02-10,534.9,,0.0,Neutral,0.0,Neutral
2026-02-09,543.0,,0.0,Neutral,0.0,Neutral
2026-02-08,566.0,,0.0,Neutral,0.0,Neutral
2026-02-05,559.9,,0.0,Neutral,0.0,Neutral
2026-02-04,560.0,,0.0,Neutral,0.0,Neutral
2026-02-03,555.0,,0.0,Neutral,0.0,Neutral
2026-02-02,553.1,,0.0,Neutral,0.0,Neutral
2026-02-01,560.0,,0.0,Neutral,0.0,Neutral
2026-01-29,580.0,,0.0,Neutral,0.0,Neutral
2026-01-28,592.0,,0.0,Neutral,0.0,Neutral
2026-01-27,579.9,,0.0,Neutral,0.0,Neutral
2026-01-26,572.1,,0.0,Neutral,0.0,Neutral
2026-01-25,577.9,,0.0,Neutral,0.0,Neutral
2026-01-22,570.0,,0.0,Neutral,0.0,Neutral
2026-01-21,543.9,,0.0,Neutral,0.0,Neutral
2026-01-20,550.1,,0.0,Neutral,0.0,Neutral
2026-01-18,555.3,,0.0,Neutral,0.0,Neutral
2026-01-14,510.0,,0.0,Neutral,0.0,Neutral
2026-01-13,494.0,,0.0,Neutral,0.0,Neutral
2026-01-12,498.0,,0.0,Neutral,0.0,Neutral
2026-01-08,501.8,,0.0,Neutral,0.0,Neutral
2026-01-07,495.2,,0.0,Neutral,0.0,Neutral
2026-01-06,486.8,,0.0,Neutral,0.0,Neutral
2026-01-05,475.0,,0.0,Neutral,0.0,Neutral
2026-01-04,471.3,,0.0,Neutral,0.0,Neutral
2026-01-01,470.0,,0.0,Neutral,0.0,Neutral
2025-12-31,477.0,,0.0,Neutral,0.0,Neutral
2025-12-29,477.0,,0.0,Neutral,0.0,Neutral
2025-12-28,475.0,,0.0,Neutral,0.0,Neutral
2025-12-24,462.1,,0.0,Neutral,0.0,Neutral
2025-12-23,470.0,,0.0,Neutral,0.0,Neutral
2025-12-22,469.0,,0.0,Neutral,0.0,Neutral
2025-12-21,470.0,,0.0,Neutral,0.0,Neutral
2025-12-18,475.5,,0.0,Neutral,0.0,Neutral
2025-12-17,480.0,,0.0,Neutral,0.0,Neutral
2025-12-16,469.0,,0.0,Neutral,0.0,Neutral
2025-12-15,469.0,,0.0,Neutral,0.0,Neutral
2025-12-14,474.0,,0.0,Neutral,0.0,Neutral
2025-12-11,479.0,,0.0,Neutral,0.0,Neutral
2025-12-10,476.0,,0.0,Neutral,0.0,Neutral
2025-12-09,483.0,,0.0,Neutral,0.0,Neutral
2025-12-08,482.2,,0.0,Neutral,0.0,Neutral
2025-12-07,496.0,,0.0,Neutral,0.0,Neutral
2025-12-03,500.0,,0.0,Neutral,0.0,Neutral
2025-12-02,494.7,,0.0,Neutral,0.0,Neutral
2025-12-01,494.9,,0.0,Neutral,0.0,Neutral
2025-11-30,485.0,,0.0,Neutral,0.0,Neutral
2025-11-27,484.9,,0.0,Neutral,0.0,Neutral
2025-11-26,482.3,,0.0,Neutral,0.0,Neutral
2025-11-25,487.9,,0.0,Neutral,0.0,Neutral
2025-11-24,485.1,,0.0,Neutral,0.0,Neutral
2025-11-23,484.0,,0.0,Neutral,0.0,Neutral
2025-11-20,472.0,,0.0,Neutral,0.0,Neutral
2025-11-19,476.5,,0.0,Neutral,0.0,Neutral
2025-11-18,476.0,,0.0,Neutral,0.0,Neutral
2025-11-17,474.0,,0.0,Neutral,0.0,Neutral
2025-11-16,475.0,,0.0,Neutral,0.0,Neutral
2025-11-13,482.0,,0.0,Neutral,0.0,Neutral
2025-11-12,483.0,,0.0,Neutral,0.0,Neutral
2025-11-11,485.6,,0.0,Neutral,0.0,Neutral
2025-11-10,486.0,,0.0,Neutral,0.0,Neutral
2025-11-09,492.0,,0.0,Neutral,0.0,Neutral
2025-11-06,505.0,,0.0,Neutral,0.0,Neutral
2025-11-05,510.0,,0.0,Neutral,0.0,Neutral
2025-11-04,489.5,,0.0,Neutral,0.0,Neutral
2025-11-03,504.9,,0.0,Neutral,0.0,Neutral
2025-11-02,502.8,,0.0,Neutral,0.0,Neutral
2025-10-30,479.0,,0.0,Neutral,0.0,Neutral
2025-10-29,470.4,,0.0,Neutral,0.0,Neutral
2025-10-28,482.0,,0.0,Neutral,0.0,Neutral
2025-10-26,463.8,,0.0,Neutral,0.0,Neutral
2025-10-19,464.0,,0.0,Neutral,0.0,Neutral
2025-10-16,463.0,,0.0,Neutral,0.0,Neutral
2025-10-15,472.0,,0.0,Neutral,0.0,Neutral
2025-10-14,472.0,,0.0,Neutral,0.0,Neutral
2025-10-13,475.0,,0.0,Neutral,0.0,Neutral
2025-10-12,468.1,,0.0,Neutral,0.0,Neutral
2025-10-09,483.0,,0.0,Neutral,0.0,Neutral
2025-10-08,479.0,,0.0,Neutral,0.0,Neutral
2025-10-07,490.0,,0.0,Neutral,0.0,Neutral
2025-09-28,495.0,,0.0,Neutral,0.0,Neutral
2025-09-25,494.0,,0.0,Neutral,0.0,Neutral
2025-09-24,498.1,,0.0,Neutral,0.0,Neutral
2025-09-23,507.0,,0.0,Neutral,0.0,Neutral
2025-09-21,500.05,,0.0,Neutral,0.0,Neutral
2025-09-18,467.0,,0.0,Neutral,0.0,Neutral
2025-09-08,483.35,,0.0,Neutral,0.0,Neutral
2025-09-07,489.88,,0.0,Neutral,0.0,Neutral
2025-09-04,493.78,,0.0,Neutral,0.0,Neutral
2025-09-03,492.92,,0.0,Neutral,0.0,Neutral
2025-09-02,500.12,,0.0,Neutral,0.0,Neutral
2025-09-01,502.32,,0.0,Neutral,0.0,Neutral
2025-08-31,501.14,,0.0,Neutral,0.0,Neutral
2025-08-28,506.82,,0.0,Neutral,0.0,Neutral
2025-08-27,518.65,,0.0,Neutral,0.0,Neutral
2025-08-26,505.31,,0.0,Neutral,0.0,Neutral
2025-08-25,506.73,,0.0,Neutral,0.0,Neutral
2025-08-24,507.54,,0.0,Neutral,0.0,Neutral
2025-08-21,508.2,,0.0,Neutral,0.0,Neutral
2025-08-20,509.59,,0.0,Neutral,0.0,Neutral
2025-08-19,515.6,,0.0,Neutral,0.0,Neutral
2025-08-18,516.5,,0.0,Neutral,0.0,Neutral
2025-08-17,515.9,,0.0,Neutral,0.0,Neutral
2025-08-14,518.59,,0.0,Neutral,0.0,Neutral
2025-08-13,523.99,,0.0,Neutral,0.0,Neutral
2025-08-12,522.2,,0.0,Neutral,0.0,Neutral
2025-08-11,525.47,,0.0,Neutral,0.0,Neutral
2025-08-07,531.56,,0.0,Neutral,0.0,Neutral
2025-08-06,530.0,,0.0,Neutral,0.0,Neutral
2025-08-05,532.48,,0.0,Neutral,0.0,Neutral
2025-08-04,539.52,,0.0,Neutral,0.0,Neutral
2025-08-03,542.54,,0.0,Neutral,0.0,Neutral
2025-07-31,558.07,,0.0,Neutral,0.0,Neutral
2025-07-30,554.36,,0.0,Neutral,0.0,Neutral
2025-07-29,570.16,,0.0,Neutral,0.0,Neutral
2025-07-28,575.04,,0.0,Neutral,0.0,Neutral
2025-07-27,562.18,,0.0,Neutral,0.0,Neutral
2025-07-24,571.63,,0.0,Neutral,0.0,Neutral
2025-07-23,579.67,,0.0,Neutral,0.0,Neutral
2025-07-22,562.24,,0.0,Neutral,0.0,Neutral
2025-07-21,554.49,,0.0,Neutral,0.0,Neutral
2025-07-20,551.05,,0.0,Neutral,0.0,Neutral
2025-07-17,563.74,,0.0,Neutral,0.0,Neutral
2025-07-16,549.96,,0.0,Neutral,0.0,Neutral
2025-07-15,547.74,,0.0,Neutral,0.0,Neutral
2025-07-14,545.36,,0.0,Neutral,0.0,Neutral
2025-07-13,545.59,,0.0,Neutral,0.0,Neutral
2025-07-10,525.45,,0.0,Neutral,0.0,Neutral
2025-07-09,533.38,,0.0,Neutral,0.0,Neutral
2025-07-08,534.45,,0.0,Neutral,0.0,Neutral
2025-07-07,519.22,,0.0,Neutral,0.0,Neutral
2025-07-06,543.3,,0.0,Neutral,0.0,Neutral
2025-07-03,534.51,,0.0,Neutral,0.0,Neutral
2025-07-02,510.36,,0.0,Neutral,0.0,Neutral
2025-07-01,496.38,,0.0,Neutral,0.0,Neutral
2025-06-30,495.49,,0.0,Neutral,0.0,Neutral
2025-06-29,498.48,,0.0,Neutral,0.0,Neutral
2025-06-26,498.18,,0.0,Neutral,0.0,Neutral
2025-06-25,504.85,,0.0,Neutral,0.0,Neutral
2025-06-24,502.47,,0.0,Neutral,0.0,Neutral
2025-06-23,507.63,,0.0,Neutral,0.0,Neutral
2025-06-22,508.07,,0.0,Neutral,0.0,Neutral
2025-06-19,511.15,,0.0,Neutral,0.0,Neutral
2025-06-18,514.0,,0.0,Neutral,0.0,Neutral
2025-06-17,511.07,,0.0,Neutral,0.0,Neutral
2025-06-16,516.77,,0.0,Neutral,0.0,Neutral
2025-06-15,526.78,,0.0,Neutral,0.0,Neutral
2025-06-12,531.62,,0.0,Neutral,0.0,Neutral
2025-06-11,529.21,,0.0,Neutral,0.0,Neutral
2025-06-10,532.98,,0.0,Neutral,0.0,Neutral
2025-06-09,508.92,,0.0,Neutral,0.0,Neutral
2025-06-08,501.61,,0.0,Neutral,0.0,Neutral
2025-06-05,510.03,,0.0,Neutral,0.0,Neutral
2025-06-04,514.93,,0.0,Neutral,0.0,Neutral
2025-06-03,521.95,,0.0,Neutral,0.0,Neutral
2025-06-02,529.18,,0.0,Neutral,0.0,Neutral
2025-05-28,524.48,,0.0,Neutral,0.0,Neutral
2025-05-27,523.06,,0.0,Neutral,0.0,Neutral
2025-05-26,526.69,,0.0,Neutral,0.0,Neutral
2025-05-25,526.1,,0.0,Neutral,0.0,Neutral
2025-05-22,532.27,,0.0,Neutral,0.0,Neutral
2025-05-21,532.62,,0.0,Neutral,0.0,Neutral
2025-05-20,538.78,,0.0,Neutral,0.0,Neutral
2025-05-19,525.45,,0.0,Neutral,0.0,Neutral
2025-05-18,520.23,,0.0,Neutral,0.0,Neutral
2025-05-15,525.27,,0.0,Neutral,0.0,Neutral
2025-05-14,532.93,,0.0,Neutral,0.0,Neutral
2025-05-13,536.09,,0.0,Neutral,0.0,Neutral
2025-05-11,547.36,,0.0,Neutral,0.0,Neutral
2025-05-08,563.18,,0.0,Neutral,0.0,Neutral
2025-05-07,550.65,,0.0,Neutral,0.0,Neutral
2025-05-06,532.19,,0.0,Neutral,0.0,Neutral
2025-05-05,542.64,,0.0,Neutral,0.0,Neutral
2025-05-04,540.24,,0.0,Neutral,0.0,Neutral
2025-04-30,550.46,,0.0,Neutral,0.0,Neutral
2025-04-29,556.75,,0.0,Neutral,0.22670118510723114,Positive
2025-04-28,561.68,,0.0,Neutral,0.4534023702144623,Positive
2025-04-27,551.76,2025-04-27,0.9068047404289246,Strongly Positive,0.9068047404289246,Strongly Positive
2025-04-24,565.81,,0.0,Neutral,0.0,Neutral
2025-04-23,572.02,,0.0,Neutral,0.0,Neutral
2025-04-22,572.45,,0.0,Neutral,0.0,Neutral
2025-04-21,572.97,,0.0,Neutral,0.0,Neutral
2025-04-20,584.84,,0.0,Neutral,0.0,Neutral
2025-04-17,602.17,,0.0,Neutral,0.0,Neutral
2025-04-16,602.31,,0.0,Neutral,0.0,Neutral
2025-04-15,610.31,,0.0,Neutral,0.0,Neutral
2025-04-13,606.88,,0.0,Neutral,0.0,Neutral
2025-04-10,609.16,,0.0,Neutral,0.0,Neutral
2025-04-09,600.51,,0.0,Neutral,0.0,Neutral
2025-04-08,600.2,,0.0,Neutral,0.0,Neutral
2025-04-07,590.1,,0.0,Neutral,0.0,Neutral
2025-04-03,613.21,,0.0,Neutral,0.0,Neutral
2025-04-02,613.6,,0.0,Neutral,0.0,Neutral
2025-04-01,557.82,,0.0,Neutral,0.225460484623909,Positive
2025-03-30,567.43,,0.0,Neutral,0.450920969247818,Positive
2025-03-27,552.11,2025-03-27,0.901841938495636,Strongly Positive,0.901841938495636,Strongly Positive
2025-03-26,544.19,,0.0,Neutral,0.0,Neutral
2025-03-25,538.08,,0.0,Neutral,0.0,Neutral
2025-03-24,560.66,,0.0,Neutral,0.0,Neutral
2025-03-23,535.78,,0.0,Neutral,0.0,Neutral
2025-03-20,552.88,,0.0,Neutral,0.0,Neutral
2025-03-19,554.0,,0.0,Neutral,0.0,Neutral
2025-03-18,578.3,,0.0,Neutral,0.0,Neutral
2025-03-17,578.0,,0.0,Neutral,0.0,Neutral
2025-03-16,570.0,,0.0,Neutral,0.0,Neutral
2025-03-12,598.0,,0.0,Neutral,0.0,Neutral
2025-03-11,596.5,,0.0,Neutral,0.0,Neutral
2025-03-10,607.1,,0.0,Neutral,0.0,Neutral
2025-03-09,611.0,,0.0,Neutral,0.0,Neutral
2025-03-06,619.8,,0.0,Neutral,0.0,Neutral
2025-03-05,622.1,,0.0,Neutral,0.0,Neutral
2025-03-04,634.0,,0.0,Neutral,0.0,Neutral
