Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2022-08-25,475.0,,0.0,Neutral,0.0,Neutral
2022-08-23,480.2,,0.0,Neutral,0.0,Neutral
2022-08-03,510.0,,0.0,Neutral,0.0,Neutral
2022-08-02,500.0,,0.0,Neutral,0.0,Neutral
2022-07-31,507.7,,0.0,Neutral,0.0,Neutral
2022-07-27,488.1,,0.0,Neutral,0.0,Neutral
2022-07-21,498.0,,0.0,Neutral,0.2326578199863434,Positive
2022-07-14,488.3,,0.0,Neutral,0.4653156399726868,Positive
2022-07-13,498.2,2022-07-13,0.9306312799453736,Strongly Positive,0.9306312799453736,Strongly Positive
2022-07-12,553.5,,0.0,Neutral,0.0,Neutral
2022-06-23,564.7,,0.0,Neutral,0.0,Neutral
2022-06-09,576.2,,0.0,Neutral,0.0,Neutral
2022-06-01,587.9,,0.0,Neutral,0.0,Neutral
2022-05-24,587.9,,0.0,Neutral,0.0,Neutral
2022-05-08,587.9,,0.0,Neutral,0.0,Neutral
2022-05-05,587.9,,0.0,Neutral,0.0,Neutral
2022-04-24,599.8,,0.0,Neutral,0.0,Neutral
2022-04-20,588.09,,0.0,Neutral,0.0,Neutral
2022-03-31,600.0,,0.0,Neutral,0.0,Neutral
2022-01-27,600.0,,0.0,Neutral,0.0,Neutral
2022-01-10,609.9,,0.0,Neutral,0.0,Neutral
2021-12-21,598.0,,0.0,Neutral,0.0,Neutral
2021-11-25,590.0,,0.0,Neutral,0.0,Neutral
2021-11-24,590.0,,0.0,Neutral,0.0,Neutral
2021-11-22,590.0,,0.0,Neutral,0.0,Neutral
2021-11-02,590.0,,0.0,Neutral,0.0,Neutral
2021-10-31,598.0,,0.0,Neutral,0.0,Neutral
2021-10-28,620.5,,0.0,Neutral,0.0,Neutral
2021-10-27,633.0,,0.0,Neutral,0.0,Neutral
2021-10-06,668.0,,0.0,Neutral,0.0,Neutral
2021-10-05,668.0,,0.0,Neutral,0.0,Neutral
2021-10-03,655.0,,0.0,Neutral,0.0,Neutral
2021-09-27,655.0,,0.0,Neutral,0.0,Neutral
2021-09-26,655.0,,0.0,Neutral,0.0,Neutral
2021-09-20,650.0,,0.0,Neutral,0.0,Neutral
2021-09-16,661.0,,0.0,Neutral,0.0,Neutral
2021-09-15,672.0,,0.0,Neutral,0.0,Neutral
2021-09-12,677.0,,0.0,Neutral,0.0,Neutral
2021-08-26,670.0,,0.0,Neutral,0.0,Neutral
2021-08-25,673.0,,0.0,Neutral,0.0,Neutral
2021-08-17,684.1,,0.0,Neutral,0.0,Neutral
2021-08-16,695.0,,0.0,Neutral,0.0,Neutral
2021-08-15,708.0,,0.0,Neutral,0.0,Neutral
2021-08-12,722.0,,0.0,Neutral,0.0,Neutral
2021-08-10,747.0,,0.0,Neutral,0.0,Neutral
2021-08-04,750.0,,0.0,Neutral,0.0,Neutral
2021-08-01,770.0,,0.0,Neutral,0.0,Neutral
2021-07-29,755.0,,0.0,Neutral,0.0,Neutral
2021-07-28,755.8,,0.0,Neutral,0.0,Neutral
2021-07-27,755.8,,0.0,Neutral,0.0,Neutral
2021-07-25,741.0,,0.0,Neutral,0.0,Neutral
2021-07-22,726.6,,0.0,Neutral,0.0,Neutral
2021-07-19,699.0,,0.0,Neutral,0.0,Neutral
2021-07-18,685.4,,0.0,Neutral,0.0,Neutral
2021-07-15,672.0,,0.0,Neutral,0.0,Neutral
2021-07-14,685.0,,0.0,Neutral,0.0,Neutral
2021-07-12,690.0,,0.0,Neutral,0.0,Neutral
2021-07-11,680.0,,0.0,Neutral,0.0,Neutral
2021-07-08,680.0,,0.0,Neutral,0.0,Neutral
2021-07-01,680.0,,0.0,Neutral,0.0,Neutral
2021-06-27,690.0,,0.0,Neutral,0.0,Neutral
2021-06-24,718.0,,0.0,Neutral,0.0,Neutral
2021-06-23,746.0,,0.0,Neutral,0.0,Neutral
2021-06-22,732.0,,0.0,Neutral,0.0,Neutral
2021-06-17,718.0,,0.0,Neutral,0.0,Neutral
2021-06-15,732.0,,0.0,Neutral,0.0,Neutral
2021-06-14,758.0,,0.0,Neutral,0.0,Neutral
2021-06-10,744.0,,0.0,Neutral,0.0,Neutral
2021-06-03,744.0,,0.0,Neutral,0.0,Neutral
2021-05-31,759.0,,0.0,Neutral,0.0,Neutral
2021-05-16,745.0,,0.0,Neutral,0.0,Neutral
2021-05-10,745.0,,0.0,Neutral,0.0,Neutral
2021-05-05,738.0,,0.0,Neutral,0.0,Neutral
2021-05-02,738.0,,0.0,Neutral,0.0,Neutral
2021-04-15,753.0,,0.0,Neutral,0.0,Neutral
2021-04-13,725.0,,0.0,Neutral,0.0,Neutral
2021-04-06,725.0,,0.0,Neutral,0.0,Neutral
2021-04-01,720.0,,0.0,Neutral,0.0,Neutral
2021-03-21,711.0,,0.0,Neutral,0.0,Neutral
2021-03-18,725.0,,0.0,Neutral,0.0,Neutral
2021-03-16,725.0,,0.0,Neutral,0.0,Neutral
2021-03-04,719.0,,0.0,Neutral,0.0,Neutral
2021-03-03,706.0,,0.0,Neutral,0.0,Neutral
2021-02-25,715.0,,0.0,Neutral,0.0,Neutral
2021-02-24,695.0,,0.0,Neutral,0.0,Neutral
2021-02-22,705.0,,0.0,Neutral,0.0,Neutral
2021-02-21,719.0,,0.0,Neutral,0.0,Neutral
2021-02-18,719.0,,0.0,Neutral,0.0,Neutral
2021-02-16,654.0,,0.0,Neutral,0.0,Neutral
2021-02-15,665.0,,0.0,Neutral,0.0,Neutral
2021-02-14,675.0,,0.0,Neutral,0.0,Neutral
2021-02-11,685.0,,0.0,Neutral,0.0,Neutral
2021-02-10,697.0,,0.0,Neutral,0.0,Neutral
2021-02-04,708.0,,0.0,Neutral,0.0,Neutral
2021-02-03,695.0,,0.0,Neutral,0.0,Neutral
2021-02-01,695.0,,0.0,Neutral,0.0,Neutral
2021-01-31,693.0,,0.0,Neutral,0.0,Neutral
2021-01-28,707.0,,0.0,Neutral,0.0,Neutral
2021-01-27,721.0,,0.0,Neutral,0.0,Neutral
2021-01-21,707.0,,0.0,Neutral,0.0,Neutral
2021-01-19,681.0,,0.0,Neutral,0.0,Neutral
2021-01-18,678.0,,0.0,Neutral,0.0,Neutral
2021-01-17,705.0,,0.0,Neutral,0.0,Neutral
2021-01-11,692.0,,0.0,Neutral,0.0,Neutral
2021-01-10,696.0,,0.0,Neutral,0.0,Neutral
2021-01-07,706.0,,0.0,Neutral,0.0,Neutral
2021-01-03,734.0,,0.0,Neutral,0.0,Neutral
2020-12-31,694.0,,0.0,Neutral,0.0,Neutral
2020-12-30,680.0,,0.0,Neutral,0.0,Neutral
2020-12-29,620.0,,0.0,Neutral,0.0,Neutral
2020-12-28,622.0,,0.0,Neutral,0.0,Neutral
2020-12-27,610.0,,0.0,Neutral,0.0,Neutral
2020-12-23,599.0,,0.0,Neutral,0.0,Neutral
2020-12-22,610.0,,0.0,Neutral,0.0,Neutral
2020-12-21,599.0,,0.0,Neutral,0.0,Neutral
2020-12-16,623.0,,0.0,Neutral,0.0,Neutral
2020-12-15,623.0,,0.0,Neutral,0.0,Neutral
2020-12-13,635.0,,0.0,Neutral,0.0,Neutral
2020-12-09,623.0,,0.0,Neutral,0.0,Neutral
2020-12-08,635.0,,0.0,Neutral,0.0,Neutral
2020-12-07,635.0,,0.0,Neutral,0.0,Neutral
2020-11-30,647.0,,0.0,Neutral,0.0,Neutral
2020-11-29,629.0,,0.0,Neutral,0.0,Neutral
2020-11-26,605.0,,0.0,Neutral,0.0,Neutral
2020-11-25,595.0,,0.0,Neutral,0.0,Neutral
2020-11-24,607.0,,0.0,Neutral,0.0,Neutral
2020-11-23,618.0,,0.0,Neutral,0.0,Neutral
2020-11-22,630.0,,0.0,Neutral,0.0,Neutral
2020-11-10,642.0,,0.0,Neutral,0.0,Neutral
2020-11-08,642.0,,0.0,Neutral,0.0,Neutral
2020-11-05,643.0,,0.0,Neutral,0.0,Neutral
2020-10-29,631.0,,0.0,Neutral,0.0,Neutral
2020-10-22,639.0,,0.0,Neutral,0.0,Neutral
2020-10-21,639.0,,0.0,Neutral,0.0,Neutral
2020-10-19,652.0,,0.0,Neutral,0.0,Neutral
2020-10-15,650.0,,0.0,Neutral,0.0,Neutral
2020-10-12,650.0,,0.0,Neutral,0.0,Neutral
2020-10-08,650.0,,0.0,Neutral,0.0,Neutral
2020-10-07,647.0,,0.0,Neutral,0.0,Neutral
2020-10-06,631.0,,0.0,Neutral,0.0,Neutral
2020-10-05,643.0,,0.0,Neutral,0.0,Neutral
2020-10-04,669.0,,0.0,Neutral,0.0,Neutral
2020-09-21,681.0,,0.0,Neutral,0.0,Neutral
2020-09-16,690.0,,0.0,Neutral,0.0,Neutral
2020-09-10,708.0,,0.0,Neutral,0.0,Neutral
2020-09-09,669.0,,0.0,Neutral,0.0,Neutral
2020-09-08,665.0,,0.0,Neutral,0.0,Neutral
2020-09-07,670.0,,0.0,Neutral,0.0,Neutral
2020-09-06,670.0,,0.0,Neutral,0.0,Neutral
2020-09-03,650.0,,0.0,Neutral,0.0,Neutral
2020-08-27,650.0,,0.0,Neutral,0.0,Neutral
2020-08-17,655.0,,0.0,Neutral,0.0,Neutral
2020-08-13,655.0,,0.0,Neutral,0.0,Neutral
2020-08-11,650.0,,0.0,Neutral,0.0,Neutral
2020-07-30,650.0,,0.0,Neutral,0.0,Neutral
2020-07-27,625.0,,0.0,Neutral,0.0,Neutral
2020-07-26,625.0,,0.0,Neutral,0.0,Neutral
2020-07-21,641.0,,0.0,Neutral,0.0,Neutral
2020-07-16,680.0,,0.0,Neutral,0.0,Neutral
2020-07-14,670.0,,0.0,Neutral,0.0,Neutral
2020-03-16,664.0,,0.0,Neutral,0.0,Neutral
2020-03-12,652.0,,0.0,Neutral,0.0,Neutral
2020-03-04,665.0,,0.0,Neutral,0.0,Neutral
2020-03-03,664.0,,0.0,Neutral,0.0,Neutral
