Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2026-02-11,100.9,100.9,100.0,100.0,333702.0,0.0,103.96000000000001,106.67,108.63499999999999,0.0,-0.5385037941575206,0.6879190200864295,3.539318829630622,0.0,Neutral
2026-01-28,102.9,102.9,102.9,102.9,200000.0,0.0,105.34,107.77000000000001,108.63499999999999,0.0,0.02266919473898099,0.994524723647417,2.8848454609100527,0.0,Neutral
2025-12-31,105.0,105.0,105.0,105.0,287500.0,0.0,106.55999999999999,108.58000000000001,108.49000000000001,0.0,0.44332753046158757,1.2374886058745258,2.473324348591038,0.0,Neutral
2025-12-14,105.0,105.0,105.0,105.0,2493866.0,0.0,107.35999999999999,109.18000000000002,108.24000000000001,0.0,0.7599739512499184,1.4360288747277603,2.2235107375499488,0.0,Neutral
2025-12-02,106.9,106.9,106.9,106.9,813.0,0.0,108.55999999999999,109.98000000000002,107.99000000000001,64.93506493506496,1.1530757617651943,1.6050426055972207,1.9781023454029774,0.0,Neutral
2025-11-27,109.0,109.0,106.9,106.9,10553.0,0.0,109.38,110.79,107.64500000000001,64.93506493506496,1.4445900615608593,1.7180343165552272,2.220335310012593,0.0,Neutral
2025-08-26,109.0,109.0,109.0,109.0,188400.0,0.0,110.2,111.6,107.3,71.42857142857143,1.7956560942227924,1.7863953803038188,2.1186998109427124,0.0,Neutral
2025-08-24,109.0,109.0,109.0,109.0,5870.0,0.0,110.6,112.2,106.85,71.42857142857143,2.003807196358963,1.7840802018240751,2.149935399546226,0.0,Neutral
2025-08-14,111.0,111.0,111.0,111.0,2305.0,0.0,111.0,112.8,106.4,78.94736842105263,2.240337407502082,1.729148453190353,1.9888578520234435,0.0,Neutral
2025-07-31,111.0,111.0,111.0,111.0,27033.0,0.0,111.4,111.7,105.85,78.94736842105263,2.306012878342912,1.6013512146124205,4.522781838156174,0.0,Neutral
2025-07-21,111.0,111.0,111.0,111.0,7883.0,0.0,112.2,110.6,105.3,78.94736842105263,2.3562966556220175,1.4251857986797973,5.853773711604037,0.0,Neutral
2025-07-20,111.0,111.0,111.0,111.0,2635.0,0.0,113.0,109.5,104.85,78.94736842105263,2.386203634540138,1.1924080844442422,6.737127643802572,0.0,Neutral
2025-06-24,111.0,111.0,111.0,111.0,24372.0,0.0,113.8,108.4,104.5,78.94736842105263,2.389667398402324,0.893959196920268,7.336363010526549,0.0,Neutral
2025-06-22,113.0,113.0,113.0,113.0,14494.0,0.0,114.6,107.3,104.15,88.23529411764706,2.35932962211875,0.5200321465497539,7.717944458640957,0.0,Neutral
2025-06-12,115.0,115.0,115.0,115.0,23744.0,0.0,112.0,106.0,103.7,100.0,2.0826537022496154,0.060207777657504846,7.745966692414834,0.0,Neutral
2025-06-10,115.0,115.0,115.0,115.0,3161.0,0.0,109.0,104.5,103.15,100.0,1.4955851106748383,-0.4454037034905228,7.245688373094719,0.0,Neutral
2025-06-08,115.0,115.0,115.0,115.0,5300.0,0.0,106.0,103.0,102.6,88.23529411764706,0.7245181430914158,-0.9306509070318629,6.324555320336758,0.0,Neutral
2025-04-20,115.0,115.0,115.0,115.0,3136.0,0.0,103.0,101.5,102.05,78.94736842105263,-0.27018214125095597,-1.3444431695626826,4.743416490252569,0.0,Neutral
2025-03-11,100.0,100.0,100.0,100.0,813.0,0.0,100.0,100.0,101.5,0.0,-1.5358514912115737,-1.6130084266406142,0.0,0.0,Neutral
2025-02-20,100.0,100.0,100.0,100.0,1630.0,0.0,100.0,100.0,101.7,0.0,-1.601693439834591,-1.632297660497874,0.0,0.0,Neutral
2025-02-02,100.0,100.0,100.0,100.0,25682.0,0.0,100.0,100.0,102.0,0.0,-1.662434349679458,-1.639948715663695,0.0,0.0,Neutral
2025-01-20,100.0,100.0,100.0,100.0,120000.0,0.0,100.0,100.2,102.3,0.0,-1.7157809749770365,-1.6343273071597542,0.6324555320336417,0.0,Neutral
2025-01-19,100.0,100.0,100.0,100.0,880000.0,0.0,100.0,100.6,102.6,0.0,-1.7589138534480924,-1.6139638902054334,1.3498971154210875,0.0,Neutral
2024-12-19,100.0,100.0,100.0,100.0,22327.0,0.0,100.0,101.0,102.9,0.0,-1.7883828895555496,-1.5777263993947683,1.6996731711975797,0.0,Neutral
2024-12-12,100.0,100.0,100.0,100.0,5013.0,0.0,100.0,101.4,103.2,0.0,-1.7999832536118845,-1.5250622768545727,1.897366596101013,0.0,Neutral
2024-11-24,100.0,100.0,100.0,100.0,13667.0,0.0,100.0,101.8,103.5,0.0,-1.7886079618639883,-1.456332032665245,1.988857852023492,0.0,Neutral
2024-11-10,100.0,100.0,100.0,100.0,3211.0,0.0,100.4,102.2,103.8,0.0,-1.748072837314993,-1.373263050365559,1.988857852023492,0.0,Neutral
2024-10-27,100.0,100.0,100.0,100.0,663443.0,0.0,101.2,102.6,104.1,0.0,-1.6709087643478853,-1.2795606036282003,1.8973665961010127,0.0,Neutral
2024-10-21,100.0,100.0,100.0,100.0,55542.0,0.0,102.0,103.0,104.4,0.0,-1.548115220097543,-1.1817235634482792,1.6996731711975792,0.0,Neutral
2024-10-07,100.0,100.0,100.0,100.0,2460.0,0.0,102.8,103.4,104.7,0.0,-1.3688679658711322,-1.0901256492859632,1.349897115421087,0.0,Neutral
2024-09-26,102.0,102.0,102.0,102.0,34624.0,0.0,103.6,104.0,105.0,0.0,-1.1201724818822072,-1.020440070139671,0.9428090415820405,0.0,Neutral
2024-09-16,104.0,104.0,104.0,104.0,16830.0,0.0,104.0,104.4,105.2,0.0,-0.9900895553089555,-0.9955069672040369,0.843274042711545,0.0,Neutral
2024-07-29,104.0,104.0,104.0,104.0,314140.0,0.0,104.0,104.6,105.3,0.0,-1.0132914991327766,-0.9968613201778072,0.9660917830792797,0.0,Neutral
2024-07-11,104.0,104.0,104.0,104.0,2936.0,0.0,104.0,104.8,105.4,0.0,-1.0281668310805259,-0.9927537754390646,1.0327955589886337,0.0,Neutral
2024-06-25,104.0,104.0,104.0,104.0,15766.0,0.0,104.0,105.0,105.5,0.0,-1.0321980099508608,-0.9839005115286993,1.0540925533894525,0.2319103926420212,Positive
2024-06-24,104.0,104.0,104.0,104.0,3621.0,0.0,104.4,105.2,105.6,0.0,-1.022329470836965,-0.9718261369231588,1.0327955589886395,0.4638207852840424,Positive
2024-06-11,104.0,104.0,104.0,104.0,11000.0,0.9276415705680848,104.8,105.4,105.7,0.0,-0.9948633795194297,-0.9592003034447072,0.9660917830792921,0.9276415705680848,Strongly Positive
2024-06-02,104.0,104.0,104.0,104.0,3587.0,0.0,105.2,105.6,105.8,0.0,-0.9453359192629449,-0.9502845344260265,0.843274042711566,0.2324098497629166,Positive
2024-05-21,104.0,104.0,104.0,104.0,24116.0,0.0,105.6,105.8,105.9,0.0,-0.8683705293463078,-0.9515216882167967,0.6324555320336753,0.4648196995258332,Positive
2024-05-14,106.0,106.0,106.0,106.0,862.0,0.9296393990516664,106.0,106.0,106.1,,-0.7575038603349498,-0.9723094779344189,0.0,0.9296393990516664,Strongly Positive
2024-05-13,106.0,106.0,106.0,106.0,50000.0,0.0,106.0,106.0,106.2,,-0.808615801191948,-1.0260108823342862,0.0,0.0,Neutral
2024-05-07,106.0,106.0,106.0,106.0,31029.0,0.0,106.0,106.0,106.3,,-0.8620915395048172,-1.0803596526198707,0.0,0.0,Neutral
2024-05-05,106.0,106.0,106.0,106.0,50000.0,0.0,106.0,106.0,106.4,,-0.9178065140131793,-1.134926680898634,0.0,0.0,Neutral
2024-04-22,106.0,106.0,106.0,106.0,125018.0,0.0,106.0,106.0,106.5,,-0.9755691685454764,-1.1892067226199976,0.0,0.22728654742240906,Positive
2024-04-16,106.0,106.0,106.0,106.0,3166.0,0.0,106.0,106.0,106.7,0.0,-1.0351052233333036,-1.2426161111386278,0.0,0.6787296682596207,Strongly Positive
2024-04-15,106.0,106.0,106.0,106.0,5264.0,0.9091461896896362,106.0,106.0,106.45,0.0,-1.0960388027412762,-1.2944938330899587,0.0,1.3574593365192413,Strongly Positive
2024-04-04,106.0,106.0,106.0,106.0,31946.0,0.8966262936592102,106.0,106.0,106.55,0.0,-1.1578698251457666,-1.3441075906771294,0.0,0.8966262936592102,Strongly Positive
