Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2019-01-17,186.0,186.0,180.0,180.0,2200.0,0.0,192.2,199.8,242.6,5.194805194805198,-26.116259900508226,-21.205689078496285,9.829660330964403,0.0,Neutral
2019-01-16,195.0,195.0,189.0,189.0,1727.0,0.0,196.8,203.6,247.2,8.666666666666671,-25.20947807859514,-19.978046372993298,8.591985930047683,0.0,Neutral
2019-01-15,197.0,197.0,195.0,195.0,740.0,0.0,200.4,206.4,251.4,9.027777777777786,-24.601775053846524,-18.67018844659284,7.834397090886739,0.0,Neutral
2019-01-14,198.0,198.0,197.0,197.0,185.0,0.0,202.8,208.7,255.5,8.84353741496598,-24.079190101475007,-17.187291794779416,7.484057129059705,0.0,Neutral
2019-01-13,200.0,201.0,200.0,200.0,345.0,0.0,205.0,221.5,259.65,10.884353741496597,-23.265575269881225,-15.464317218105519,36.90001505570205,0.0,Neutral
2019-01-09,209.0,209.0,203.0,203.0,452.0,0.0,207.4,233.3,263.1,20.0,-22.194153062721398,-13.514002705161591,46.799928774873884,0.0,Neutral
2019-01-08,204.0,207.0,203.0,207.0,266.0,0.0,210.4,244.3,266.45,32.240437158469945,-20.80925921921599,-11.343965115771638,51.570986675325585,0.0,Neutral
2019-01-07,206.0,207.0,206.0,207.0,378.0,0.0,212.4,254.9,269.7,32.065217391304344,-19.146223670316857,-8.977641589910549,53.89382566161353,0.0,Neutral
2019-01-06,212.0,212.0,208.0,208.0,2978.0,0.0,214.6,266.0,272.9,31.55080213903743,-16.745095043608245,-6.435496069808972,54.360933685056104,0.0,Neutral
2019-01-03,215.0,215.0,209.0,212.0,1095.0,0.0,238.0,276.7,275.45,31.72043010752688,-13.538634941247722,-3.858096326359152,52.162246884120734,0.0,Neutral
2019-01-01,213.0,218.0,213.0,218.0,231.0,0.0,259.2,285.4,278.4,36.64921465968587,-9.656372993271248,-1.4379616726370088,47.190394502836085,0.0,Neutral
2018-12-31,219.0,219.0,217.0,217.0,830.0,0.0,278.2,290.8,281.05,36.125654450261784,-5.171647772497295,0.6166411575215511,41.34892179166593,0.22700235247612,Positive
2018-12-30,236.0,236.0,218.0,218.0,460.0,0.0,297.4,296.4,283.85,35.9375,0.7295345677995897,2.0637133900262628,33.240537500667905,0.45400470495224,Positive
2018-12-27,323.0,328.0,320.0,325.0,21727.0,0.90800940990448,317.4,302.3,286.5,81.3953488372093,8.149159524792367,2.397258095582931,20.618492239303087,0.90800940990448,Strongly Positive
2018-12-26,314.0,318.0,308.0,318.0,4413.0,0.0,315.4,297.8,284.55,82.41758241758242,6.606220331357122,0.9592827382805715,20.015549510872763,0.0,Neutral
2018-12-25,318.0,318.0,312.0,313.0,3446.0,0.0,311.6,292.9,283.25,71.42857142857143,5.253505646916324,-0.4524516599885662,20.512597755200108,0.0,Neutral
2018-12-24,319.0,319.0,312.0,313.0,6340.0,0.0,303.4,288.6,282.15,71.42857142857143,3.9596260948203508,-1.8789409867147888,20.337158110217157,0.0,Neutral
2018-12-23,321.0,333.0,314.0,318.0,8970.0,0.0,295.4,284.5,281.3,73.68421052631578,2.2505707233113412,-3.3385827570985738,18.957554929073996,0.20170506834983826,Positive
2018-12-20,304.0,324.0,304.0,315.0,12752.0,0.0,287.2,279.8,280.3,73.40425531914893,-0.47263188866276096,-4.735871127201053,15.178932768807103,0.4034101366996765,Positive
2018-12-19,277.0,299.0,275.0,299.0,16715.0,0.806820273399353,280.2,274.2,279.5,56.98924731182796,-3.6360994859292077,-5.801680936835626,10.293471501661532,0.806820273399353,Strongly Positive
2018-12-18,272.0,272.0,270.0,272.0,2111.0,0.0,274.2,271.4,279.25,36.111111111111114,-5.991854863008484,-6.34307629956223,5.4812812776216076,0.0,Neutral
2018-12-17,274.0,278.0,273.0,273.0,1135.0,0.0,273.8,271.3,280.35,37.5,-6.162410200836803,-6.430881658700667,5.478239782181111,0.0,Neutral
