Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2024-06-23,267.6,,0,Neutral,0.0,Neutral
2024-06-09,273.0,,0,Neutral,0.0,Neutral
2024-04-09,273.0,,0,Neutral,0.0,Neutral
2023-12-06,285.0,,0,Neutral,0.0,Neutral
2021-12-22,217.0,,0,Neutral,0.0,Neutral
2021-10-04,217.0,,0,Neutral,0.0,Neutral
2020-12-28,217.0,,0,Neutral,0.0,Neutral
2019-09-24,100.0,,0,Neutral,0.0,Neutral
2019-08-28,100.0,,0,Neutral,0.0,Neutral
2018-08-19,108.0,,0,Neutral,0.0,Neutral
2018-04-08,108.0,,0,Neutral,0.0,Neutral
2017-10-25,108.0,,0,Neutral,0.0,Neutral
2017-10-24,110.0,,0,Neutral,0.0,Neutral
2017-08-27,110.0,,0,Neutral,0.0,Neutral
2016-12-12,193.0,,0,Neutral,0.0,Neutral
2016-12-11,196.0,,0,Neutral,0.0,Neutral
