Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2024-10-27,301.1,301.1,301.1,301.1,225000.0,0.0,336.9,493.45,639.075,9.367045647378234,-124.43205834678054,-76.75468901143303,187.33418297553246,0.0,Neutral
2023-12-18,307.2,307.2,307.2,307.2,100000.0,0.0,371.48,542.3399999999999,663.52,9.305461901550913,-115.3787537367989,-64.83534667759615,195.1887758612708,0.0,Neutral
2023-11-05,307.2,307.2,307.2,307.2,150000.0,0.0,446.23999999999995,589.12,687.51,9.075961854653073,-102.76629943479622,-52.19949491279546,188.51586906382207,0.0,Neutral
2023-10-19,295.0,295.0,295.0,295.0,200000.0,0.0,518.4,635.8,711.75,10.22727272727272,-85.1734388611884,-39.55779378229526,167.5826827436379,0.0,Neutral
2023-05-04,474.0,474.0,474.0,474.0,150000.0,0.0,590.4,683.6,736.9,14.416475972540042,-60.23748316380272,-28.15388251257198,121.37471821685713,0.0,Neutral
2022-08-07,464.0,474.0,474.0,474.0,28589.0,0.0,650.0,714.2,753.25,14.25339366515837,-45.75940904584775,-20.13298234976429,99.20999053634405,0.0,Neutral
2021-02-11,681.0,681.0,681.0,681.0,26.0,0.0,713.2,745.8,769.55,26.808510638297875,-26.61453031280928,-13.726375675743423,54.4136420803065,0.0,Neutral
2021-02-01,668.0,668.0,668.0,668.0,10.0,0.0,732.0,758.2,775.65,23.555555555555557,-22.867946470817515,-10.504337016476958,52.08497330750688,0.0,Neutral
2021-01-31,655.0,655.0,655.0,655.0,10.0,0.0,753.2,769.9,782.5,18.43317972350232,-16.42968205473619,-7.413434652891818,41.67186634221829,0.0,Neutral
2019-07-07,775.0,775.0,768.0,772.0,8328.0,0.0,776.8,782.9,789.75,37.73584905660377,-6.649501915596261,-5.159372802430724,10.354279845086912,0.0,Neutral
2019-07-04,780.0,792.0,777.0,790.0,6757.0,0.0,778.4,784.7,791.3,43.95604395604395,-5.9824428737759945,-4.78684052413934,9.798525966203956,0.23193277418613434,Positive
2019-07-03,777.0,779.0,770.0,775.0,7835.0,0.0,778.4,784.7,792.05,33.76623376623377,-6.876742891325421,-4.487939936730175,9.798525966203956,0.4638655483722687,Positive
2019-07-02,768.0,775.0,766.0,774.0,9596.0,0.9277310967445374,784.4,785.9,793.6,31.64556962025317,-6.390896835305398,-3.890739198081363,9.194805296671957,0.9277310967445374,Strongly Positive
2019-07-01,775.0,777.0,771.0,773.0,6654.0,0.0,786.6,787.7,795.7,30.0,-5.576003915289903,-3.265699788775354,8.327331171732444,0.0,Neutral
2019-06-30,785.0,785.0,780.0,780.0,2278.0,0.0,789.0,790.2,798.45,37.17948717948718,-4.352980531338744,-2.688123757146717,7.083627444822359,0.0,Neutral
2019-06-27,792.0,795.0,785.0,790.0,1639.0,0.0,791.0,792.3,800.1,40.845070422535215,-3.4413691499123615,-2.27190956359871,6.8321137122446105,0.0,Neutral
2019-06-26,785.0,805.0,785.0,805.0,1183.0,0.0,791.0,793.3,800.85,50.0,-3.245947071802334,-1.9795446670202967,7.180993431686857,0.0,Neutral
2019-06-25,790.0,790.0,785.0,785.0,2814.0,0.0,787.4,793.1,800.85,23.07692307692308,-4.476576389242723,-1.6629440658247874,6.838615844301375,0.0,Neutral
