Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2019-05-16,104.0,104.0,104.0,104.0,5002.0,0.0,104.6,105.1,,0.0,-0.41429301870049073,-0.22094166183985908,0.7378647873726072,0.0,Neutral
2019-04-18,104.0,104.0,104.0,104.0,2000.0,0.0,104.8,105.3,,,-0.3429164110613385,-0.17260382262470114,0.6749485577105432,0.0,Neutral
2019-02-05,105.0,105.0,105.0,105.0,2100.0,0.0,105.0,105.5,,,-0.24682602951374122,-0.13002567551554176,0.5270462766947239,0.0,Neutral
2019-01-23,105.0,105.0,105.0,105.0,5000.0,0.0,105.2,105.6,,,-0.22240774572733812,-0.10082558701599188,0.5163977794943185,0.0,Neutral
2019-01-03,105.0,105.0,105.0,105.0,5000.0,0.0,105.4,105.7,,,-0.18800611448396864,-0.07043004733815532,0.4830458915396458,0.0,Neutral
2018-12-31,105.0,105.0,105.0,105.0,5000.0,0.0,105.6,,,,-0.14136248894084247,-0.04103603055170198,,0.0,Neutral
2018-12-30,105.0,105.0,105.0,105.0,36687.0,0.0,105.8,,,,-0.07977207977208423,-0.015954415954416847,,0.0,Neutral
2018-12-27,106.0,106.0,106.0,106.0,13864.0,0.0,106.0,,,,0.0,0.0,,0.0,Neutral
2018-10-11,106.0,106.0,106.0,106.0,4785.0,0.0,106.0,,,,0.0,0.0,,0.0,Neutral
2018-09-23,106.0,106.0,106.0,106.0,5264.0,0.0,106.0,,,,0.0,0.0,,0.0,Neutral
2018-09-18,106.0,106.0,106.0,106.0,58228.0,0.0,,,,,0.0,0.0,,0.0,Neutral
2018-01-03,106.0,106.0,106.0,106.0,2302.0,0.0,,,,,0.0,0.0,,0.0,Neutral
2018-01-02,106.0,106.0,106.0,106.0,20321.0,0.0,,,,,0.0,0.0,,0.0,Neutral
2018-01-01,105.0,106.0,106.0,106.0,38041.0,0.0,,,,,0.0,0.0,,0.0,Neutral
