Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,388.0,,0.0,Neutral,0.0,Neutral
2026-03-01,384.0,,0.0,Neutral,0.0,Neutral
2026-02-26,380.0,,0.0,Neutral,0.0,Neutral
2026-02-25,370.3,,0.0,Neutral,0.0,Neutral
2026-02-24,370.0,,0.0,Neutral,0.0,Neutral
2026-02-23,371.0,,0.0,Neutral,0.0,Neutral
2026-02-22,367.0,,0.0,Neutral,0.0,Neutral
2026-02-17,372.0,,0.0,Neutral,0.0,Neutral
2026-02-16,379.0,,0.0,Neutral,0.0,Neutral
2026-02-12,377.9,,0.0,Neutral,0.0,Neutral
2026-02-11,375.0,,0.0,Neutral,0.0,Neutral
2026-02-10,375.0,,0.0,Neutral,0.0,Neutral
2026-02-09,379.0,,0.0,Neutral,0.0,Neutral
2026-02-08,383.7,,0.0,Neutral,0.0,Neutral
2026-02-05,385.0,,0.0,Neutral,0.0,Neutral
2026-02-04,384.0,,0.0,Neutral,0.0,Neutral
2026-02-03,382.0,,0.0,Neutral,0.0,Neutral
2026-02-02,385.0,,0.0,Neutral,0.0,Neutral
2026-02-01,385.0,,0.0,Neutral,0.0,Neutral
2026-01-29,375.5,,0.0,Neutral,0.0,Neutral
2026-01-28,376.0,,0.0,Neutral,0.0,Neutral
2026-01-27,383.0,,0.0,Neutral,0.0,Neutral
2026-01-26,394.0,,0.0,Neutral,0.0,Neutral
2026-01-25,400.0,,0.0,Neutral,0.0,Neutral
2026-01-22,386.0,,0.0,Neutral,0.0,Neutral
2026-01-21,377.0,,0.0,Neutral,0.0,Neutral
2026-01-20,384.0,,0.0,Neutral,0.0,Neutral
2026-01-18,379.0,,0.0,Neutral,0.0,Neutral
2026-01-14,359.9,,0.0,Neutral,0.0,Neutral
2026-01-13,355.2,,0.0,Neutral,0.0,Neutral
2026-01-12,357.9,,0.0,Neutral,0.0,Neutral
2026-01-08,360.1,,0.0,Neutral,0.233776792883873,Positive
2026-01-07,365.0,,0.0,Neutral,0.671507328748703,Strongly Positive
2026-01-06,363.0,2026-01-06,0.935107171535492,Strongly Positive,1.343014657497406,Strongly Positive
2026-01-05,355.0,2026-01-05,0.8158149719238281,Strongly Positive,0.8158149719238281,Strongly Positive
2026-01-04,359.8,,0.0,Neutral,0.0,Neutral
2026-01-01,360.0,,0.0,Neutral,0.0,Neutral
2025-12-31,364.0,,0.0,Neutral,0.0,Neutral
2025-12-29,364.0,,0.0,Neutral,0.0,Neutral
2025-12-28,364.0,,0.0,Neutral,0.0,Neutral
2025-12-24,358.0,,0.0,Neutral,0.0,Neutral
2025-12-23,355.2,,0.0,Neutral,0.0,Neutral
2025-12-22,365.0,,0.0,Neutral,0.0,Neutral
2025-12-21,366.5,,0.0,Neutral,0.0,Neutral
2025-12-18,371.0,,0.0,Neutral,0.0,Neutral
2025-12-17,377.0,,0.0,Neutral,0.0,Neutral
2025-12-16,373.0,,0.0,Neutral,0.0,Neutral
2025-12-15,368.0,,0.0,Neutral,0.0,Neutral
2025-12-14,366.0,,0.0,Neutral,0.0,Neutral
2025-12-11,367.0,,0.0,Neutral,0.0,Neutral
2025-12-10,373.0,,0.0,Neutral,0.0,Neutral
2025-12-09,374.9,,0.0,Neutral,0.0,Neutral
2025-12-08,375.0,,0.0,Neutral,0.0,Neutral
2025-12-07,377.0,,0.0,Neutral,0.0,Neutral
2025-12-03,378.0,,0.0,Neutral,0.0,Neutral
2025-12-02,370.5,,0.0,Neutral,0.0,Neutral
2025-12-01,380.0,,0.0,Neutral,0.0,Neutral
2025-11-30,379.0,,0.0,Neutral,0.0,Neutral
2025-11-27,384.0,,0.0,Neutral,0.0,Neutral
2025-11-26,388.0,,0.0,Neutral,0.0,Neutral
2025-11-25,385.0,,0.0,Neutral,0.0,Neutral
2025-11-24,388.0,,0.0,Neutral,0.0,Neutral
2025-11-23,382.3,,0.0,Neutral,0.0,Neutral
2025-11-20,374.0,,0.0,Neutral,0.0,Neutral
2025-11-19,377.5,,0.0,Neutral,0.0,Neutral
2025-11-18,380.0,,0.0,Neutral,0.0,Neutral
2025-11-17,376.0,,0.0,Neutral,0.0,Neutral
2025-11-16,374.9,,0.0,Neutral,0.0,Neutral
2025-11-13,380.0,,0.0,Neutral,0.0,Neutral
2025-11-12,380.0,,0.0,Neutral,0.0,Neutral
2025-11-11,385.5,,0.0,Neutral,0.0,Neutral
2025-11-10,391.0,,0.0,Neutral,0.0,Neutral
2025-11-09,390.0,,0.0,Neutral,0.0,Neutral
2025-11-06,393.0,,0.0,Neutral,0.0,Neutral
2025-11-05,397.0,,0.0,Neutral,0.0,Neutral
2025-11-04,388.7,,0.0,Neutral,0.0,Neutral
2025-11-03,403.0,,0.0,Neutral,0.0,Neutral
2025-11-02,405.0,,0.0,Neutral,0.0,Neutral
2025-10-30,387.0,,0.0,Neutral,0.0,Neutral
2025-10-29,373.0,,0.0,Neutral,0.0,Neutral
2025-10-28,381.0,,0.0,Neutral,0.0,Neutral
2025-10-26,370.0,,0.0,Neutral,0.0,Neutral
2025-10-19,372.0,,0.0,Neutral,0.0,Neutral
2025-10-16,367.0,,0.0,Neutral,-0.21284334361553192,Negative
2025-10-15,369.0,,0.0,Neutral,-0.42568668723106384,Negative
2025-10-14,372.5,2025-10-14,-0.8513733744621277,Strongly Negative,-0.8513733744621277,Strongly Negative
2025-10-13,380.1,,0.0,Neutral,0.0,Neutral
2025-10-12,372.0,,0.0,Neutral,0.0,Neutral
2025-10-09,389.0,,0.0,Neutral,0.0,Neutral
