Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2023-01-25,257.8,257.8,257.8,257.8,7366.0,0.0,342.24,303.02,314.40999999999997,44.819078947368425,-36.07513465278271,-41.02602480823565,52.04999306222565,0.0,Neutral
2022-01-23,359.7,359.7,359.7,359.7,282679.0,0.0,342.68,304.54,344.27,80.92144122858831,-32.37132167334414,-42.26374734709888,50.78939521855549,0.0,Neutral
2021-11-28,359.7,359.7,359.7,359.7,80000.0,0.0,323.74,296.37,369.03499999999997,47.68534632788027,-37.548326609794,-44.73685376553756,47.38766951668105,0.0,Neutral
2021-11-25,367.0,367.0,367.0,367.0,80000.0,0.0,304.4,288.7,393.8,47.73519163763067,-43.60990997799303,-46.53398555447345,41.8862215478493,0.0,Neutral
2021-09-23,367.0,367.0,367.0,367.0,25000.0,0.0,283.6,280.3,415.45,39.481268011527376,-51.45564133190527,-47.26500444859356,31.59834735481452,0.0,Neutral
2021-03-07,260.0,260.0,260.0,260.0,22800.0,0.0,263.8,271.9,418.35,22.222222222222214,-60.72120184061646,-46.21734522776562,9.255028663138386,0.0,Neutral
2021-02-15,265.0,265.0,265.0,265.0,3000.0,0.0,266.4,271.4,,8.450704225352098,-60.769663408598944,-42.591381074552906,10.06865322561738,0.0,Neutral
2021-02-01,263.0,263.0,263.0,263.0,136412.0,0.0,269.0,282.2,,8.192090395480221,-60.45668652397143,-38.04681049104139,33.3793016370585,0.0,Neutral
2021-01-05,263.0,263.0,263.0,263.0,40000.0,0.0,273.0,293.9,,8.192090395480221,-58.97420785997099,-32.44434148280888,44.5407428965631,0.0,Neutral
2021-01-04,268.0,268.0,268.0,268.0,92378.0,0.0,277.0,311.6,,14.907651715039577,-56.22421934177447,-25.811874888518354,62.46101006049884,0.0,Neutral
2021-01-03,273.0,273.0,273.0,273.0,96228.0,0.0,280.0,325.8,,43.26241134751773,-52.40551807903233,-18.208788775204322,67.39403204702562,0.0,Neutral
2020-12-30,278.0,278.0,278.0,278.0,21587.0,0.0,276.4,384.0,,43.45503116651825,-47.278295477073755,-9.659606449247319,177.7232555282384,0.0,Neutral
2020-11-26,283.0,283.0,283.0,283.0,10000.0,0.0,295.4,441.7,,,-40.55550160363458,-0.2549341922907109,226.46611225523338,0.0,Neutral
2020-11-08,283.0,283.0,283.0,283.0,7500.0,0.0,314.8,498.9,,,-31.893964672755715,9.820207660545258,252.65147271818276,0.0,Neutral
2020-11-04,283.0,283.0,283.0,283.0,45000.0,0.0,346.2,550.6,,,-20.374781685739322,20.2487507438705,256.4315806517511,0.0,Neutral
2020-08-02,255.0,255.0,255.0,255.0,40000.0,0.0,371.6,564.8,,,-5.375754939609521,30.40463385127295,243.57604333942385,0.0,Neutral
2019-06-26,373.0,373.0,373.0,373.0,2000.0,0.0,491.6,,,,16.697559270026886,39.34973104899357,,0.0,Neutral
2019-06-02,380.0,380.0,380.0,380.0,19000.0,0.0,588.0,,,,32.61371581730782,45.01277399373523,,0.0,Neutral
2018-07-12,440.0,440.0,440.0,440.0,21383.0,0.0,683.0,,,,51.741410671221956,48.112538537842084,,0.0,Neutral
2018-02-14,410.0,410.0,410.0,410.0,42768.0,0.0,755.0,,,,69.29361158409085,47.20532050449711,,0.0,Neutral
2017-08-16,855.0,855.0,855.0,855.0,40536.0,0.0,758.0,,,,93.74324094438407,41.683247734598666,,0.0,Neutral
2017-08-15,855.0,855.0,855.0,855.0,45000.0,0.0,,,,,78.27722982323996,28.66824943215232,,0.0,Neutral
2017-07-25,868.0,855.0,855.0,855.0,17107.0,0.0,,,,,57.398397740278085,16.266004334380405,,0.0,Neutral
2016-09-27,800.0,800.0,800.0,800.0,25000.0,0.0,,,,,29.914529914529908,5.982905982905982,,0.0,Neutral
2016-04-05,425.0,425.0,425.0,425.0,25920.0,0.0,,,,,0.0,0.0,,0.0,Neutral
