Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,194.0,,0.0,Neutral,0.0,Neutral
2026-03-01,186.8,,0.0,Neutral,0.0,Neutral
2026-02-26,183.5,,0.0,Neutral,0.0,Neutral
2026-02-25,182.4,,0.0,Neutral,0.0,Neutral
2026-02-24,181.5,,0.0,Neutral,0.0,Neutral
2026-02-23,181.5,,0.0,Neutral,0.0,Neutral
2026-02-22,182.0,,0.0,Neutral,0.0,Neutral
2026-02-17,182.0,,0.0,Neutral,0.005446324124932275,Neutral
2026-02-16,183.2,,0.0,Neutral,0.01089264824986455,Neutral
2026-02-12,182.9,2026-02-12,0.0217852964997291,Neutral,0.0217852964997291,Neutral
2026-02-11,183.0,,0.0,Neutral,0.0,Neutral
2026-02-10,182.3,,0.0,Neutral,0.0,Neutral
2026-02-09,184.3,,0.0,Neutral,0.0,Neutral
2026-02-08,185.0,,0.0,Neutral,0.0,Neutral
2026-02-05,187.0,,0.0,Neutral,0.1606314778327942,Slightly Positive
2026-02-04,184.0,,0.0,Neutral,0.3212629556655884,Positive
2026-02-03,183.7,2026-02-03,0.6425259113311768,Strongly Positive,0.6425259113311768,Strongly Positive
2026-02-02,185.6,,0.0,Neutral,0.0,Neutral
2026-02-01,187.0,,0.0,Neutral,0.0,Neutral
2026-01-29,186.0,,0.0,Neutral,0.0,Neutral
2026-01-28,186.1,,0.0,Neutral,0.0,Neutral
2026-01-27,189.0,,0.0,Neutral,0.0,Neutral
2026-01-26,193.0,,0.0,Neutral,0.0,Neutral
2026-01-25,195.9,,0.0,Neutral,0.0,Neutral
2026-01-22,188.0,,0.0,Neutral,0.0,Neutral
2026-01-21,187.0,,0.0,Neutral,0.0,Neutral
2026-01-20,189.0,,0.0,Neutral,0.003507524728775,Neutral
2026-01-18,186.3,,0.0,Neutral,0.00701504945755,Neutral
2026-01-14,183.3,2026-01-14,0.0140300989151,Neutral,0.0140300989151,Neutral
2026-01-13,183.5,,0.0,Neutral,0.0,Neutral
2026-01-12,184.0,,0.0,Neutral,0.0,Neutral
2026-01-08,185.9,,0.0,Neutral,0.0,Neutral
2026-01-07,186.0,,0.0,Neutral,0.0,Neutral
2026-01-06,186.0,,0.0,Neutral,0.0,Neutral
2026-01-05,185.2,,0.0,Neutral,0.0,Neutral
2026-01-04,184.7,,0.0,Neutral,0.0,Neutral
2026-01-01,185.2,,0.0,Neutral,0.0,Neutral
2025-12-31,186.2,,0.0,Neutral,0.0,Neutral
2025-12-29,184.1,,0.0,Neutral,0.0,Neutral
