Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-02-25,274.0,,0.0,Neutral,0.0,Neutral
2026-01-05,274.0,,0.0,Neutral,0.0,Neutral
2025-08-26,274.0,,0.0,Neutral,0.0,Neutral
2025-07-16,274.0,,0.0,Neutral,0.0,Neutral
2025-02-16,303.0,,0.0,Neutral,0.0,Neutral
2024-04-15,204.0,,0.0,Neutral,0.0,Neutral
2024-03-18,204.0,,0.0,Neutral,0.0,Neutral
2023-07-13,215.0,,0.0,Neutral,0.0,Neutral
2023-03-27,164.0,,0.0,Neutral,0.0,Neutral
2023-03-09,164.0,,0.0,Neutral,0.0,Neutral
2023-01-09,164.0,,0.0,Neutral,0.0,Neutral
2023-01-02,164.0,,0.0,Neutral,0.0,Neutral
2022-11-16,164.0,,0.0,Neutral,0.0,Neutral
2022-10-13,164.0,,0.0,Neutral,0.0,Neutral
2022-06-28,177.0,,0.0,Neutral,0.2263243496417999,Positive
2022-05-12,177.0,,0.0,Neutral,0.4526486992835998,Positive
2022-01-03,316.0,2022-01-03,0.9052973985671996,Strongly Positive,0.9052973985671996,Strongly Positive
2022-01-02,316.0,,0.0,Neutral,0.0,Neutral
2021-12-09,316.0,,0.0,Neutral,0.0,Neutral
2021-11-30,322.0,,0.0,Neutral,0.0,Neutral
2021-09-13,346.0,,0.0,Neutral,0.0,Neutral
2021-08-18,346.0,,0.0,Neutral,0.0,Neutral
2021-01-05,109.0,,0.0,Neutral,0.0,Neutral
2020-11-02,109.0,,0.0,Neutral,0.0,Neutral
2020-07-07,109.0,,0.0,Neutral,0.0,Neutral
2019-09-26,109.0,,0.0,Neutral,0.0,Neutral
2019-07-17,119.0,,0.0,Neutral,0.0,Neutral
2019-04-24,119.0,,0.0,Neutral,0.0,Neutral
2018-10-02,110.0,,0.0,Neutral,0.0,Neutral
2018-09-04,100.0,,0.0,Neutral,0.0,Neutral
2018-04-04,114.0,,0.0,Neutral,0.0,Neutral
2018-01-07,100.0,,0.0,Neutral,0.0,Neutral
2017-11-23,116.0,,0.0,Neutral,0.0,Neutral
2017-11-21,118.0,,0.0,Neutral,0.0,Neutral
2017-07-13,120.0,,0.0,Neutral,0.0,Neutral
2016-01-13,100.0,,0.0,Neutral,0.0,Neutral
