Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,409.0,,0.0,Neutral,0.0,Neutral
2026-03-01,408.5,,0.0,Neutral,0.0,Neutral
2026-02-26,410.0,,0.0,Neutral,0.0,Neutral
2026-02-25,408.3,,0.0,Neutral,0.0,Neutral
2026-02-24,408.8,,0.0,Neutral,0.0,Neutral
2026-02-23,424.0,,0.0,Neutral,0.0,Neutral
2026-02-22,400.0,,0.0,Neutral,0.0,Neutral
2026-02-17,405.0,,0.0,Neutral,0.005446324124932275,Neutral
2026-02-16,403.0,,0.0,Neutral,0.01089264824986455,Neutral
2026-02-12,401.5,2026-02-12,0.0217852964997291,Neutral,0.0217852964997291,Neutral
2026-02-11,396.0,,0.0,Neutral,0.0,Neutral
2026-02-10,400.0,,0.0,Neutral,0.0,Neutral
2026-02-09,404.9,,0.0,Neutral,0.0,Neutral
2026-02-08,412.0,,0.0,Neutral,0.0,Neutral
2026-02-05,407.0,,0.0,Neutral,0.0,Neutral
2026-02-04,400.0,,0.0,Neutral,0.0,Neutral
2026-02-03,400.0,,0.0,Neutral,0.0,Neutral
2026-02-02,407.0,,0.0,Neutral,0.0,Neutral
2026-02-01,409.9,,0.0,Neutral,0.0,Neutral
2026-01-29,408.0,,0.0,Neutral,0.0,Neutral
2026-01-28,422.0,,0.0,Neutral,0.0,Neutral
2026-01-27,416.0,,0.0,Neutral,0.0,Neutral
2026-01-26,417.9,,0.0,Neutral,0.0,Neutral
2026-01-25,415.0,,0.0,Neutral,0.0,Neutral
2026-01-22,415.0,,0.0,Neutral,0.0,Neutral
2026-01-21,415.1,,0.0,Neutral,0.0,Neutral
2026-01-20,408.0,,0.0,Neutral,0.003507524728775,Neutral
2026-01-18,403.3,,0.0,Neutral,0.00701504945755,Neutral
2026-01-14,410.0,2026-01-14,0.0140300989151,Neutral,0.0140300989151,Neutral
2026-01-13,404.9,,0.0,Neutral,0.0,Neutral
2026-01-12,403.7,,0.0,Neutral,0.0,Neutral
2026-01-08,398.0,,0.0,Neutral,0.0,Neutral
2026-01-07,399.0,,0.0,Neutral,0.0,Neutral
2026-01-06,399.0,,0.0,Neutral,0.0,Neutral
2026-01-05,399.0,,0.0,Neutral,0.0,Neutral
2026-01-04,399.0,,0.0,Neutral,0.0,Neutral
2026-01-01,405.0,,0.0,Neutral,0.0,Neutral
2025-12-31,407.9,,0.0,Neutral,0.0,Neutral
2025-12-29,395.0,,0.0,Neutral,0.0,Neutral
2025-12-28,389.5,,0.0,Neutral,0.0,Neutral
2025-12-24,390.0,,0.0,Neutral,0.0,Neutral
