Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,639.0,,0.0,Neutral,0.0,Neutral
2026-03-01,630.0,,0.0,Neutral,0.0,Neutral
2026-02-26,626.0,,0.0,Neutral,0.0,Neutral
2026-02-25,618.5,,0.0,Neutral,0.0,Neutral
2026-02-24,616.0,,0.0,Neutral,0.0,Neutral
2026-02-23,611.2,,0.0,Neutral,0.0,Neutral
2026-02-22,615.1,,0.0,Neutral,0.0,Neutral
2026-02-17,618.0,,0.0,Neutral,0.0,Neutral
2026-02-16,620.0,,0.0,Neutral,0.0,Neutral
2026-02-12,624.9,,0.0,Neutral,0.0,Neutral
2026-02-11,629.0,,0.0,Neutral,0.0,Neutral
2026-02-10,625.0,,0.0,Neutral,0.0,Neutral
2026-02-09,631.7,,0.0,Neutral,0.0,Neutral
2026-02-08,630.0,,0.0,Neutral,0.0,Neutral
2026-02-05,633.0,,0.0,Neutral,0.0,Neutral
2026-02-04,624.0,,0.0,Neutral,0.0,Neutral
2026-02-03,624.0,,0.0,Neutral,0.08185292780399323,Slightly Positive
2026-02-02,625.0,,0.0,Neutral,0.16370585560798645,Slightly Positive
2026-02-01,622.6,2026-02-01,0.3274117112159729,Positive,0.3274117112159729,Positive
2026-01-29,628.0,,0.0,Neutral,0.0,Neutral
2026-01-28,635.0,,0.0,Neutral,0.0,Neutral
2026-01-27,642.0,,0.0,Neutral,0.0,Neutral
2026-01-26,650.0,,0.0,Neutral,0.0,Neutral
2026-01-25,650.0,,0.0,Neutral,0.0,Neutral
2026-01-22,638.6,,0.0,Neutral,0.0,Neutral
2026-01-21,640.0,,0.0,Neutral,0.0,Neutral
2026-01-20,642.9,,0.0,Neutral,0.0,Neutral
2026-01-18,630.0,,0.0,Neutral,0.0,Neutral
2026-01-14,626.1,,0.0,Neutral,0.0,Neutral
2026-01-13,625.5,,0.0,Neutral,0.0,Neutral
2026-01-12,625.2,,0.0,Neutral,0.0,Neutral
2026-01-08,632.0,,0.0,Neutral,0.0,Neutral
2026-01-07,626.0,,0.0,Neutral,0.0,Neutral
2026-01-06,632.0,,0.0,Neutral,0.0,Neutral
2026-01-05,630.0,,0.0,Neutral,0.0,Neutral
2026-01-04,630.2,,0.0,Neutral,0.0,Neutral
2026-01-01,631.0,,0.0,Neutral,0.0,Neutral
2025-12-31,630.0,,0.0,Neutral,0.23140643537044525,Positive
2025-12-29,626.5,,0.0,Neutral,0.4628128707408905,Positive
2025-12-28,651.9,2025-12-28,0.925625741481781,Strongly Positive,0.925625741481781,Strongly Positive
2025-12-24,635.0,,0.0,Neutral,0.0,Neutral
2025-12-23,635.0,,0.0,Neutral,0.2317486107349396,Positive
2025-12-22,637.5,,0.0,Neutral,0.4634972214698792,Positive
2025-12-21,635.0,2025-12-21,0.9269944429397584,Strongly Positive,1.1543331891298294,Strongly Positive
2025-12-18,639.0,,0.0,Neutral,0.4546774923801422,Positive
2025-12-17,637.1,2025-12-17,0.9093549847602844,Strongly Positive,0.9093549847602844,Strongly Positive
2025-12-16,645.0,,0.0,Neutral,0.0,Neutral
2025-12-15,633.0,,0.0,Neutral,0.0,Neutral
2025-12-14,625.0,,0.0,Neutral,0.0,Neutral
2025-12-11,628.0,,0.0,Neutral,0.0,Neutral
2025-12-10,632.0,,0.0,Neutral,0.0,Neutral
2025-12-09,633.5,,0.0,Neutral,0.0,Neutral
2025-12-08,630.0,,0.0,Neutral,0.0,Neutral
2025-12-07,633.0,,0.0,Neutral,0.0,Neutral
2025-12-03,640.0,,0.0,Neutral,0.0,Neutral
2025-12-02,653.0,,0.0,Neutral,0.0,Neutral
2025-12-01,652.0,,0.0,Neutral,0.0,Neutral
2025-11-30,650.0,,0.0,Neutral,0.0,Neutral
2025-11-27,670.0,,0.0,Neutral,0.0,Neutral
2025-11-26,676.0,,0.0,Neutral,0.0,Neutral
2025-11-25,669.0,,0.0,Neutral,0.0,Neutral
2025-11-24,663.0,,0.0,Neutral,0.0,Neutral
2025-11-23,640.0,,0.0,Neutral,0.0,Neutral
2025-11-20,622.0,,0.0,Neutral,0.0,Neutral
2025-11-19,629.0,,0.0,Neutral,0.0,Neutral
2025-11-18,629.7,,0.0,Neutral,0.0,Neutral
2025-11-17,624.0,,0.0,Neutral,0.0,Neutral
2025-11-16,624.0,,0.0,Neutral,0.0,Neutral
2025-11-13,628.5,,0.0,Neutral,0.0,Neutral
2025-11-12,632.0,,0.0,Neutral,0.0,Neutral
2025-11-11,628.0,,0.0,Neutral,0.0,Neutral
2025-11-10,626.0,,0.0,Neutral,0.0,Neutral
2025-11-09,625.0,,0.0,Neutral,0.0,Neutral
2025-11-06,630.0,,0.0,Neutral,0.0,Neutral
2025-11-05,630.0,,0.0,Neutral,0.0,Neutral
2025-11-04,631.0,,0.0,Neutral,0.0,Neutral
2025-11-03,640.0,,0.0,Neutral,0.0,Neutral
2025-11-02,639.0,,0.0,Neutral,0.0,Neutral
2025-10-30,632.0,,0.0,Neutral,0.0,Neutral
2025-10-29,622.1,,0.0,Neutral,0.0,Neutral
