Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2025-02-06,461.0,,0.0,Neutral,0.0,Neutral
2025-02-04,461.0,,0.0,Neutral,0.0,Neutral
2025-02-02,470.0,,0.0,Neutral,0.0,Neutral
2022-01-31,1050.0,,0.0,Neutral,0.0,Neutral
2022-01-30,1065.0,,0.0,Neutral,0.0,Neutral
2021-10-11,911.0,,0.0,Neutral,0.0,Neutral
2021-10-05,911.0,,0.0,Neutral,0.0,Neutral
2021-10-03,911.0,,0.0,Neutral,0.0,Neutral
2021-09-30,911.0,,0.0,Neutral,0.0,Neutral
2021-01-11,1009.0,,0.0,Neutral,0.0,Neutral
2019-07-29,440.0,,0.0,Neutral,0.0,Neutral
2018-07-19,600.0,,0.0,Neutral,0.0,Neutral
2017-12-06,1196.0,,0.0,Neutral,0.0,Neutral
2017-11-02,1220.0,,0.0,Neutral,0.0,Neutral
2017-10-29,1220.0,,0.0,Neutral,0.0,Neutral
2017-08-03,1220.0,,0.0,Neutral,0.0,Neutral
2017-03-16,1294.0,,0.0,Neutral,0.0,Neutral
2016-10-26,1320.0,,0.0,Neutral,0.0,Neutral
2016-09-29,1346.0,,0.0,Neutral,0.0,Neutral
2016-09-28,1346.0,,0.0,Neutral,0.0,Neutral
2016-09-11,1346.0,,0.0,Neutral,0.0,Neutral
2016-09-08,1458.0,,0.0,Neutral,0.0,Neutral
2016-08-31,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-30,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-29,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-28,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-24,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-23,1578.0,,0.0,Neutral,0.0,Neutral
2016-08-22,1610.0,,0.0,Neutral,0.0,Neutral
2016-08-21,1640.0,,0.0,Neutral,0.0,Neutral
2016-08-11,1740.0,,0.0,Neutral,0.0,Neutral
2016-08-10,1740.0,,0.0,Neutral,0.0,Neutral
2016-06-19,1775.0,,0.0,Neutral,0.0,Neutral
2015-08-09,367.0,,0.0,Neutral,0.0,Neutral
2015-07-09,367.0,,0.0,Neutral,0.0,Neutral
2015-02-24,403.0,,0.0,Neutral,0.0,Neutral
2014-12-15,403.0,,0.0,Neutral,0.0,Neutral
2014-10-21,411.0,,0.0,Neutral,0.0,Neutral
2014-09-04,419.0,,0.0,Neutral,0.0,Neutral
2014-07-15,419.0,,0.0,Neutral,0.0,Neutral
2014-06-11,419.0,,0.0,Neutral,0.0,Neutral
