Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,733.0,,0.0,Neutral,0.0,Neutral
2026-03-01,715.0,,0.0,Neutral,0.0,Neutral
2026-02-26,713.0,,0.0,Neutral,0.0,Neutral
2026-02-25,710.0,,0.0,Neutral,0.0,Neutral
2026-02-24,704.9,,0.0,Neutral,0.0,Neutral
2026-02-23,699.0,,0.0,Neutral,0.0,Neutral
2026-02-22,695.0,,0.0,Neutral,0.0,Neutral
2026-02-17,711.0,,0.0,Neutral,0.0,Neutral
2026-02-16,706.2,,0.0,Neutral,0.0,Neutral
2026-02-12,713.0,,0.0,Neutral,0.0,Neutral
2026-02-11,721.9,,0.0,Neutral,0.0,Neutral
2026-02-10,716.0,,0.0,Neutral,0.0,Neutral
2026-02-09,727.0,,0.0,Neutral,0.0,Neutral
2026-02-08,743.0,,0.0,Neutral,0.0,Neutral
2026-02-05,755.0,,0.0,Neutral,0.0,Neutral
2026-02-04,740.0,,0.0,Neutral,0.0,Neutral
2026-02-03,739.0,,0.0,Neutral,0.0,Neutral
2026-02-02,744.0,,0.0,Neutral,0.0,Neutral
2026-02-01,754.0,,0.0,Neutral,0.0,Neutral
2026-01-29,781.8,,0.0,Neutral,0.0,Neutral
2026-01-28,773.0,,0.0,Neutral,0.0,Neutral
2026-01-27,770.0,,0.0,Neutral,0.0,Neutral
2026-01-26,776.0,,0.0,Neutral,0.0,Neutral
2026-01-25,790.0,,0.0,Neutral,0.0,Neutral
2026-01-22,795.0,,0.0,Neutral,0.0,Neutral
2026-01-21,806.0,,0.0,Neutral,0.0,Neutral
2026-01-20,798.0,,0.0,Neutral,0.0,Neutral
2026-01-18,777.0,,0.0,Neutral,0.0,Neutral
2026-01-14,786.0,,0.0,Neutral,0.0,Neutral
2026-01-13,785.0,,0.0,Neutral,0.0,Neutral
2026-01-12,758.0,,0.0,Neutral,0.0,Neutral
2026-01-08,764.0,,0.0,Neutral,0.0,Neutral
2026-01-07,756.9,,0.0,Neutral,0.0,Neutral
2026-01-06,770.0,,0.0,Neutral,0.0,Neutral
2026-01-05,745.0,,0.0,Neutral,0.0,Neutral
2026-01-04,729.7,,0.0,Neutral,0.0,Neutral
