Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,937.9,,0.0,Neutral,0.0,Neutral
2026-03-01,920.0,,0.0,Neutral,0.0,Neutral
2026-02-26,923.0,,0.0,Neutral,0.0,Neutral
2026-02-25,931.0,,0.0,Neutral,0.0,Neutral
2026-02-24,932.0,,0.0,Neutral,0.0,Neutral
2026-02-23,918.0,,0.0,Neutral,0.0,Neutral
2026-02-22,920.1,,0.0,Neutral,0.0,Neutral
2026-02-17,920.0,,0.0,Neutral,0.0,Neutral
2026-02-16,924.0,,0.0,Neutral,0.0,Neutral
2026-02-12,919.2,,0.0,Neutral,0.0,Neutral
2026-02-11,923.2,,0.0,Neutral,0.0,Neutral
2026-02-10,921.0,,0.0,Neutral,0.0,Neutral
2026-02-09,930.0,,0.0,Neutral,0.0,Neutral
2026-02-08,936.0,,0.0,Neutral,0.0,Neutral
2026-02-05,940.0,,0.0,Neutral,0.0,Neutral
2026-02-04,927.2,,0.0,Neutral,0.0,Neutral
2026-02-03,933.0,,0.0,Neutral,0.0,Neutral
2026-02-02,935.0,,0.0,Neutral,0.0,Neutral
2026-02-01,940.5,,0.0,Neutral,0.0,Neutral
2026-01-29,936.0,,0.0,Neutral,0.0,Neutral
2026-01-28,940.0,,0.0,Neutral,0.0,Neutral
2026-01-27,943.0,,0.0,Neutral,0.0,Neutral
2026-01-26,960.0,,0.0,Neutral,0.0,Neutral
2026-01-25,970.0,,0.0,Neutral,0.0,Neutral
2026-01-22,959.0,,0.0,Neutral,0.0,Neutral
2026-01-21,945.0,,0.0,Neutral,0.0,Neutral
2026-01-20,942.0,,0.0,Neutral,0.0,Neutral
2026-01-18,923.1,,0.0,Neutral,0.0,Neutral
2026-01-14,919.9,,0.0,Neutral,0.0,Neutral
2026-01-13,922.0,,0.0,Neutral,0.0,Neutral
2026-01-12,915.0,,0.0,Neutral,0.0,Neutral
2026-01-08,918.0,,0.0,Neutral,0.0,Neutral
2026-01-07,919.0,,0.0,Neutral,0.0,Neutral
2026-01-06,915.0,,0.0,Neutral,0.0,Neutral
2026-01-05,910.9,,0.0,Neutral,0.0,Neutral
2026-01-04,916.0,,0.0,Neutral,0.0,Neutral
2026-01-01,932.0,,0.0,Neutral,0.22680506110191345,Positive
2025-12-31,937.0,,0.0,Neutral,0.6411749720573425,Strongly Positive
2025-12-29,1044.9,2025-12-29,0.9072202444076538,Strongly Positive,1.282349944114685,Strongly Positive
2025-12-28,1039.0,2025-12-28,0.7502593994140625,Strongly Positive,0.9825412333011627,Strongly Positive
2025-12-24,1027.9,,0.0,Neutral,0.4645636677742004,Positive
2025-12-23,1021.0,2025-12-23,0.9291273355484008,Strongly Positive,0.9291273355484008,Strongly Positive
2025-12-22,1018.9,,0.0,Neutral,0.0,Neutral
2025-12-21,1019.0,,0.0,Neutral,0.0,Neutral
2025-12-18,1024.0,,0.0,Neutral,0.21776548027992249,Positive
2025-12-17,1023.1,,0.0,Neutral,0.43553096055984497,Positive
2025-12-16,1025.0,2025-12-16,0.8710619211196899,Strongly Positive,0.8710619211196899,Strongly Positive
2025-12-15,1007.0,,0.0,Neutral,0.0,Neutral
2025-12-14,1005.0,,0.0,Neutral,0.0,Neutral
2025-12-11,1007.0,,0.0,Neutral,0.0,Neutral
2025-12-10,1001.0,,0.0,Neutral,0.0,Neutral
2025-12-09,1004.7,,0.0,Neutral,0.0,Neutral
2025-12-08,1001.0,,0.0,Neutral,0.0,Neutral
2025-12-07,1001.0,,0.0,Neutral,0.0,Neutral
2025-12-03,1020.6,,0.0,Neutral,0.0,Neutral
2025-12-02,1032.2,,0.0,Neutral,0.0,Neutral
2025-12-01,1040.0,,0.0,Neutral,0.0,Neutral
2025-11-30,1047.0,,0.0,Neutral,0.0,Neutral
2025-11-27,1037.7,,0.0,Neutral,0.0,Neutral
2025-11-26,1033.0,,0.0,Neutral,0.0,Neutral
2025-11-25,1029.9,,0.0,Neutral,0.0,Neutral
2025-11-24,1032.0,,0.0,Neutral,0.0,Neutral
2025-11-23,1010.8,,0.0,Neutral,0.0,Neutral
2025-11-20,998.0,,0.0,Neutral,0.0,Neutral
2025-11-19,1000.0,,0.0,Neutral,0.0,Neutral
2025-11-18,1002.0,,0.0,Neutral,0.0,Neutral
2025-11-17,993.1,,0.0,Neutral,0.0,Neutral
2025-11-16,994.9,,0.0,Neutral,0.0,Neutral
2025-11-13,997.5,,0.0,Neutral,0.0,Neutral
2025-11-12,993.0,,0.0,Neutral,0.0,Neutral
2025-11-11,993.0,,0.0,Neutral,0.0,Neutral
2025-11-10,990.2,,0.0,Neutral,0.0,Neutral
2025-11-09,991.1,,0.0,Neutral,0.0,Neutral
2025-11-06,999.9,,0.0,Neutral,0.0,Neutral
2025-11-05,1004.0,,0.0,Neutral,0.0,Neutral
2025-11-04,999.7,,0.0,Neutral,0.0,Neutral
2025-11-03,1020.0,,0.0,Neutral,0.0,Neutral
2025-11-02,998.0,,0.0,Neutral,0.0,Neutral
2025-10-30,983.2,,0.0,Neutral,0.0,Neutral
2025-10-29,977.5,,0.0,Neutral,0.0,Neutral
2025-10-28,973.0,,0.0,Neutral,0.0,Neutral
2025-10-26,953.8,,0.0,Neutral,0.0,Neutral
2025-10-19,963.0,,0.0,Neutral,0.0,Neutral
2025-10-16,960.0,,0.0,Neutral,0.0,Neutral
2025-10-15,977.0,,0.0,Neutral,0.0,Neutral
2025-10-14,985.0,,0.0,Neutral,0.0,Neutral
2025-10-13,986.0,,0.0,Neutral,0.0,Neutral
2025-10-12,978.0,,0.0,Neutral,0.0,Neutral
2025-10-09,998.0,,0.0,Neutral,0.0,Neutral
2025-10-08,994.0,,0.0,Neutral,0.0,Neutral
2025-10-07,1010.0,,0.0,Neutral,0.0,Neutral
2025-09-28,1028.0,,0.0,Neutral,0.0,Neutral
2025-09-25,1024.0,,0.0,Neutral,0.0,Neutral
2025-09-24,1012.0,,0.0,Neutral,0.0,Neutral
2025-09-23,1020.0,,0.0,Neutral,0.0,Neutral
2025-09-21,995.7,,0.0,Neutral,0.0,Neutral
2025-09-18,925.0,,0.0,Neutral,0.0,Neutral
2025-09-08,1013.5,,0.0,Neutral,0.0,Neutral
2025-09-07,1029.76,,0.0,Neutral,0.0,Neutral
2025-09-04,1032.44,,0.0,Neutral,0.0,Neutral
2025-09-03,1032.81,,0.0,Neutral,0.0,Neutral
