Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2025-12-21,204.0,,0.0,Neutral,0.0,Neutral
2025-11-03,200.0,,0.0,Neutral,0.0,Neutral
2025-09-21,200.0,,0.0,Neutral,0.0,Neutral
2025-07-17,202.2,,0.0,Neutral,0.0,Neutral
2025-07-16,198.31,,0.0,Neutral,0.0,Neutral
2025-07-14,193.4,,0.0,Neutral,0.0,Neutral
2025-07-13,197.3,,0.0,Neutral,0.0,Neutral
2025-06-25,201.3,,0.0,Neutral,0.0,Neutral
2025-06-24,205.4,,0.0,Neutral,0.0,Neutral
2025-06-19,209.5,,0.0,Neutral,0.0,Neutral
2025-06-16,213.7,,0.0,Neutral,0.0,Neutral
2025-04-16,218.0,,0.0,Neutral,0.0,Neutral
2025-04-01,205.0,,0.0,Neutral,0.0,Neutral
2025-02-16,205.0,,0.0,Neutral,0.0,Neutral
2025-01-26,205.0,,0.0,Neutral,0.0,Neutral
2025-01-22,205.0,,0.0,Neutral,0.0,Neutral
2025-01-05,205.0,,0.0,Neutral,0.0,Neutral
2024-11-26,205.0,,0.0,Neutral,0.0,Neutral
2024-11-17,205.0,,0.0,Neutral,0.0,Neutral
2024-11-14,205.0,,0.0,Neutral,0.0,Neutral
2024-11-13,205.0,,0.0,Neutral,0.0,Neutral
2024-11-12,205.0,,0.0,Neutral,0.0,Neutral
2024-11-11,205.0,,0.0,Neutral,0.0,Neutral
2024-10-24,205.0,,0.0,Neutral,0.0,Neutral
2024-10-23,205.0,,0.0,Neutral,0.0,Neutral
2024-10-17,205.0,,0.0,Neutral,0.0,Neutral
2024-08-14,205.0,,0.0,Neutral,0.0,Neutral
2024-08-11,205.0,,0.0,Neutral,0.0,Neutral
2024-08-01,205.0,,0.0,Neutral,0.0,Neutral
2024-07-11,205.0,,0.0,Neutral,0.0,Neutral
2024-04-03,205.0,,0.0,Neutral,0.0,Neutral
2024-01-01,206.0,,0.0,Neutral,0.0,Neutral
2023-11-28,206.0,,0.0,Neutral,0.0,Neutral
2023-11-08,206.0,,0.0,Neutral,0.0,Neutral
2023-11-06,206.0,,0.0,Neutral,0.0,Neutral
2023-10-18,206.0,,0.0,Neutral,0.0,Neutral
2023-10-01,206.0,,0.0,Neutral,0.0,Neutral
2023-09-25,206.0,,0.0,Neutral,0.0,Neutral
2023-02-15,198.0,,0.0,Neutral,0.0,Neutral
2023-02-14,198.0,,0.0,Neutral,0.0,Neutral
2023-02-09,198.0,,0.0,Neutral,0.0,Neutral
2022-12-01,207.0,,0.0,Neutral,0.0,Neutral
2022-11-30,207.0,,0.0,Neutral,0.0,Neutral
2022-11-29,207.0,,0.0,Neutral,0.0,Neutral
2022-11-28,207.0,,0.0,Neutral,0.0,Neutral
2022-11-15,207.0,,0.0,Neutral,0.0,Neutral
2022-11-03,207.0,,0.0,Neutral,0.0,Neutral
2022-03-10,277.0,,0.0,Neutral,0.0,Neutral
2022-01-20,277.0,,0.0,Neutral,0.0,Neutral
2022-01-18,277.0,,0.0,Neutral,0.0,Neutral
2022-01-17,277.0,,0.0,Neutral,0.0,Neutral
2022-01-09,277.0,,0.0,Neutral,0.0,Neutral
2022-01-04,277.0,,0.0,Neutral,0.0,Neutral
2021-03-21,173.0,,0.0,Neutral,0.0,Neutral
2021-01-19,197.0,,0.0,Neutral,0.0,Neutral
2020-07-20,115.0,,0.0,Neutral,0.0,Neutral
2020-07-19,115.0,,0.0,Neutral,0.0,Neutral
2020-07-15,115.0,,0.0,Neutral,0.0,Neutral
2020-07-14,115.0,,0.0,Neutral,0.0,Neutral
2020-07-08,115.0,,0.0,Neutral,0.0,Neutral
2019-08-19,115.0,,0.0,Neutral,0.0,Neutral
2019-07-15,115.0,,0.0,Neutral,0.0,Neutral
2019-07-09,115.0,,0.0,Neutral,0.0,Neutral
2019-07-08,115.0,,0.0,Neutral,0.0,Neutral
2019-05-09,115.0,,0.0,Neutral,0.0,Neutral
2019-04-29,115.0,,0.0,Neutral,0.0,Neutral
2019-04-11,115.0,,0.0,Neutral,0.0,Neutral
2019-04-09,115.0,,0.0,Neutral,0.0,Neutral
2018-07-15,115.0,,0.0,Neutral,0.0,Neutral
2018-07-10,115.0,,0.0,Neutral,0.0,Neutral
2018-07-09,115.0,,0.0,Neutral,0.0,Neutral
2018-07-08,115.0,,0.0,Neutral,0.0,Neutral
2017-12-20,156.0,,0.0,Neutral,0.0,Neutral
2017-12-19,156.0,,0.0,Neutral,0.0,Neutral
2017-12-18,159.0,,0.0,Neutral,0.0,Neutral
2017-12-17,162.0,,0.0,Neutral,0.0,Neutral
2017-07-25,165.0,,0.0,Neutral,0.0,Neutral
2017-01-31,200.0,,0.0,Neutral,0.0,Neutral
2016-04-12,175.0,,0.0,Neutral,0.0,Neutral
2014-11-02,200.0,,0.0,Neutral,0.0,Neutral
