Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2019-07-04,238.0,,0.0,Neutral,0.0,Neutral
2019-07-03,240.0,,0.0,Neutral,0.0,Neutral
2019-07-02,235.0,,0.0,Neutral,0.0,Neutral
2019-07-01,239.0,,0.0,Neutral,0.0,Neutral
2019-06-30,231.0,,0.0,Neutral,0.0,Neutral
2019-06-27,233.0,,0.0,Neutral,0.0,Neutral
2019-06-26,235.0,,0.0,Neutral,0.0,Neutral
2019-06-25,231.0,,0.0,Neutral,0.0,Neutral
2019-06-24,234.0,,0.0,Neutral,0.0,Neutral
2019-06-23,235.0,,0.0,Neutral,0.0,Neutral
2019-06-20,235.0,,0.0,Neutral,0.0,Neutral
2019-06-19,237.0,,0.0,Neutral,0.0,Neutral
2019-06-18,235.0,,0.0,Neutral,0.0,Neutral
2019-06-17,235.0,,0.0,Neutral,0.0,Neutral
2019-06-16,234.0,,0.0,Neutral,0.0,Neutral
2019-06-13,237.0,,0.0,Neutral,0.0,Neutral
2019-06-12,234.0,,0.0,Neutral,0.0,Neutral
2019-06-11,234.0,,0.0,Neutral,0.0,Neutral
2019-06-10,235.0,,0.0,Neutral,0.0,Neutral
2019-06-06,238.0,,0.0,Neutral,0.0,Neutral
2019-06-04,241.0,,0.0,Neutral,0.0,Neutral
2019-06-03,233.0,,0.0,Neutral,0.0,Neutral
2019-06-02,237.0,,0.0,Neutral,0.0,Neutral
2019-05-30,230.0,,0.0,Neutral,0.0,Neutral
2019-05-29,230.0,,0.0,Neutral,0.0,Neutral
2019-05-28,227.0,,0.0,Neutral,0.0,Neutral
2019-05-27,226.0,,0.0,Neutral,0.0,Neutral
2019-05-26,225.0,,0.0,Neutral,0.0,Neutral
2019-05-23,228.0,,0.0,Neutral,0.0,Neutral
2019-05-22,230.0,,0.0,Neutral,0.0,Neutral
2019-05-21,226.0,,0.0,Neutral,0.0,Neutral
2019-05-20,228.0,,0.0,Neutral,0.0,Neutral
2019-05-19,235.0,,0.0,Neutral,0.0,Neutral
2019-05-16,231.0,,0.0,Neutral,0.0,Neutral
2019-05-15,230.0,,0.0,Neutral,-0.020456768572330475,Neutral
2019-05-14,221.0,,0.0,Neutral,-0.04091353714466095,Neutral
2019-05-13,222.0,2019-05-13,-0.0818270742893219,Slightly Negative,-0.0818270742893219,Slightly Negative
2019-05-12,223.0,,0.0,Neutral,0.0,Neutral
2019-05-09,223.0,,0.0,Neutral,0.0,Neutral
2019-05-08,231.0,,0.0,Neutral,0.0,Neutral
2019-05-07,227.0,,0.0,Neutral,0.0,Neutral
2019-05-06,227.0,,0.0,Neutral,0.0,Neutral
2019-05-05,223.0,,0.0,Neutral,0.0,Neutral
2019-05-02,227.0,,0.0,Neutral,0.0,Neutral
2019-04-30,234.0,,0.0,Neutral,0.0,Neutral
2019-04-29,231.0,,0.0,Neutral,0.0,Neutral
