Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2023-01-10,219.0,2023-01-10,-0.1271198689937591,Slightly Negative,-0.14828979969024653,Slightly Negative
2023-01-09,217.0,2023-01-09,0.3584555685520172,Positive,-0.042339861392974854,Neutral
2023-01-08,206.9,2023-01-08,-0.8015908598899841,Strongly Negative,-0.8015908598899841,Strongly Negative
2023-01-05,205.9,,0.0,Neutral,0.0,Neutral
2023-01-04,206.9,,0.0,Neutral,0.20301705598831177,Positive
2023-01-03,207.0,,0.0,Neutral,0.40603411197662354,Positive
2023-01-02,205.0,2023-01-02,0.8120682239532471,Strongly Positive,0.8120682239532471,Strongly Positive
2023-01-01,205.0,,0.0,Neutral,0.0,Neutral
2022-12-29,204.8,,0.0,Neutral,0.20457597076892853,Positive
2022-12-28,203.1,,0.0,Neutral,0.40915194153785706,Positive
2022-12-27,204.6,2022-12-27,0.8183038830757141,Strongly Positive,0.8183038830757141,Strongly Positive
2022-12-26,196.5,,0.0,Neutral,0.0,Neutral
2022-12-22,187.0,,0.0,Neutral,0.0,Neutral
2022-12-21,190.4,,0.0,Neutral,0.0,Neutral
2022-12-20,188.2,,0.0,Neutral,0.0,Neutral
2022-12-19,187.9,,0.0,Neutral,0.0,Neutral
2022-12-18,185.0,,0.0,Neutral,0.0,Neutral
2022-12-15,191.5,,0.0,Neutral,0.17871244251728058,Slightly Positive
2022-12-14,193.9,,0.0,Neutral,0.35742488503456116,Positive
2022-12-13,194.0,2022-12-13,0.7148497700691223,Strongly Positive,0.7148497700691223,Strongly Positive
2022-12-12,197.0,,0.0,Neutral,0.2286950200796127,Positive
2022-12-11,196.3,,0.0,Neutral,0.4573900401592254,Positive
2022-12-07,212.8,2022-12-07,0.9147800803184508,Strongly Positive,0.9147800803184508,Strongly Positive
2022-12-06,214.4,,0.0,Neutral,0.0,Neutral
2022-12-05,214.1,,0.0,Neutral,0.20497068762779236,Positive
2022-12-04,216.0,,0.0,Neutral,0.6133601367473602,Strongly Positive
2022-12-01,215.0,2022-12-01,0.8198827505111694,Strongly Positive,1.2267202734947205,Strongly Positive
2022-11-30,212.8,2022-11-30,0.813675045967102,Strongly Positive,0.8543669804930687,Strongly Positive
2022-11-29,216.0,,0.0,Neutral,0.08138386905193325,Slightly Positive
2022-11-28,216.0,2022-11-28,0.1627677381038665,Slightly Positive,0.1627677381038665,Slightly Positive
2022-11-27,217.5,,0.0,Neutral,0.0,Neutral
2022-11-24,219.0,,0.0,Neutral,0.0,Neutral
2022-11-23,220.0,,0.0,Neutral,0.11920954287052155,Slightly Positive
2022-11-22,223.0,,0.0,Neutral,0.2384190857410431,Positive
2022-06-10,226.0,2022-06-10,0.4768381714820862,Positive,0.6586239188909531,Strongly Positive
2022-06-09,229.0,,0.0,Neutral,0.4385286569595337,Positive
2022-06-08,229.8,2022-06-08,0.7271429896354675,Strongly Positive,0.8822504845447838,Strongly Positive
2022-06-07,225.0,2022-06-07,0.2998286485671997,Positive,0.31021498981863255,Positive
2022-06-06,229.0,2022-06-06,0.0207726825028657,Neutral,0.0207726825028657,Neutral
2022-06-03,230.5,,0.0,Neutral,0.09535984694957733,Slightly Positive
2022-06-02,237.0,,0.0,Neutral,0.12346392869949341,Slightly Positive
2022-06-01,234.0,2022-06-01,0.3814393877983093,Positive,0.24692785739898682,Positive
2022-05-31,233.0,2022-05-31,-0.269023060798645,Negative,-0.269023060798645,Negative
2022-05-30,242.0,,0.0,Neutral,0.0,Neutral
2022-05-27,250.0,,0.0,Neutral,0.0,Neutral
2022-05-26,247.5,,0.0,Neutral,0.0,Neutral
2022-05-25,225.0,,0.0,Neutral,0.0,Neutral
2022-05-24,225.0,,0.0,Neutral,0.0,Neutral
2022-05-23,223.0,,0.0,Neutral,0.0,Neutral
2022-05-20,225.0,,0.0,Neutral,0.0,Neutral
2022-05-19,227.3,,0.0,Neutral,0.0,Neutral
2022-05-18,229.0,,0.0,Neutral,0.0,Neutral
2022-05-17,228.0,,0.0,Neutral,0.0,Neutral
2022-05-12,237.0,,0.0,Neutral,0.0,Neutral
2022-05-11,237.0,,0.0,Neutral,0.0,Neutral
2022-05-10,232.0,,0.0,Neutral,0.0,Neutral
2022-05-09,230.1,,0.0,Neutral,0.0,Neutral
2022-05-08,226.1,,0.0,Neutral,0.0,Neutral
2022-05-05,226.1,,0.0,Neutral,0.0,Neutral
2022-05-04,229.0,,0.0,Neutral,0.0,Neutral
2022-05-02,230.6,,0.0,Neutral,0.0,Neutral
2022-04-28,235.0,,0.0,Neutral,0.0203724205493927,Neutral
2022-04-27,236.2,,0.0,Neutral,0.0407448410987854,Neutral
2022-04-26,238.0,2022-04-26,0.0814896821975708,Slightly Positive,0.20391260832548141,Positive
2022-04-25,238.2,,0.0,Neutral,0.35373995732516045,Positive
2022-04-24,242.0,2022-04-24,0.4896917045116424,Positive,0.8450541850179433,Strongly Positive
2022-04-21,233.0,2022-04-21,0.435576420277357,Positive,0.9393704049289225,Strongly Positive
2022-04-20,234.9,2022-04-20,0.5502970814704895,Positive,1.1603124737739563,Strongly Positive
