Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,1356.0,,0.0,Neutral,0.0,Neutral
2026-03-01,1346.0,,0.0,Neutral,0.0,Neutral
2026-02-26,1342.0,,0.0,Neutral,0.0,Neutral
2026-02-25,1322.0,,0.0,Neutral,0.0,Neutral
2026-02-24,1308.0,,0.0,Neutral,0.0,Neutral
2026-02-23,1300.0,,0.0,Neutral,0.0,Neutral
2026-02-22,1309.9,,0.0,Neutral,0.0,Neutral
2026-02-17,1303.6,,0.0,Neutral,0.0,Neutral
2026-02-16,1323.0,,0.0,Neutral,0.0,Neutral
2026-02-12,1325.0,,0.0,Neutral,0.0,Neutral
2026-02-11,1329.0,,0.0,Neutral,0.0,Neutral
2026-02-10,1315.0,,0.0,Neutral,0.0,Neutral
2026-02-09,1334.0,,0.0,Neutral,0.0,Neutral
2026-02-08,1345.0,,0.0,Neutral,0.0,Neutral
2026-02-05,1350.0,,0.0,Neutral,0.0,Neutral
2026-02-04,1350.0,,0.0,Neutral,0.0,Neutral
2026-02-03,1366.0,,0.0,Neutral,0.0,Neutral
2026-02-02,1399.5,,0.0,Neutral,0.0,Neutral
2026-02-01,1555.0,,0.0,Neutral,0.0,Neutral
2026-01-29,1417.5,,0.0,Neutral,0.0,Neutral
2026-01-28,1575.0,,0.0,Neutral,0.0,Neutral
2026-01-27,1438.2,,0.0,Neutral,0.0,Neutral
2026-01-26,1425.0,,0.0,Neutral,0.0,Neutral
2026-01-25,1390.0,,0.0,Neutral,0.0,Neutral
2026-01-22,1335.0,,0.0,Neutral,0.0,Neutral
2026-01-21,1350.0,,0.0,Neutral,0.0,Neutral
2026-01-20,1366.0,,0.0,Neutral,0.0,Neutral
2026-01-18,1348.0,,0.0,Neutral,0.0,Neutral
2026-01-14,1315.0,,0.0,Neutral,0.0,Neutral
2026-01-13,1320.0,,0.0,Neutral,0.0,Neutral
2026-01-12,1324.0,,0.0,Neutral,0.0,Neutral
2026-01-08,1329.9,,0.0,Neutral,0.0,Neutral
2026-01-07,1330.0,,0.0,Neutral,0.0,Neutral
2026-01-06,1343.5,,0.0,Neutral,0.0,Neutral
2026-01-05,1325.0,,0.0,Neutral,0.0,Neutral
2026-01-04,1314.0,,0.0,Neutral,0.0,Neutral
2026-01-01,1327.0,,0.0,Neutral,0.22680506110191345,Positive
2025-12-31,1341.0,,0.0,Neutral,0.4536101222038269,Positive
2025-12-29,1514.9,2025-12-29,0.9072202444076538,Strongly Positive,1.1377117335796356,Strongly Positive
2025-12-28,1496.0,,0.0,Neutral,0.4609829783439636,Positive
2025-12-24,1498.0,2025-12-24,0.9219659566879272,Strongly Positive,0.9219659566879272,Strongly Positive
2025-12-23,1490.0,,0.0,Neutral,0.22123801708221436,Positive
2025-12-22,1485.9,,0.0,Neutral,0.4424760341644287,Positive
2025-12-21,1488.0,2025-12-21,0.8849520683288574,Strongly Positive,0.8849520683288574,Strongly Positive
2025-12-18,1487.0,,0.0,Neutral,0.0,Neutral
2025-12-17,1500.0,,0.0,Neutral,0.0,Neutral
2025-12-16,1510.9,,0.0,Neutral,0.0,Neutral
2025-12-15,1498.0,,0.0,Neutral,0.0,Neutral
2025-12-14,1490.0,,0.0,Neutral,0.0,Neutral
2025-12-11,1518.0,,0.0,Neutral,0.0,Neutral
2025-12-10,1495.1,,0.0,Neutral,0.0,Neutral
2025-12-09,1505.0,,0.0,Neutral,0.0,Neutral
2025-12-08,1559.0,,0.0,Neutral,0.0,Neutral
2025-12-07,1563.0,,0.0,Neutral,0.0,Neutral
2025-12-03,1661.0,,0.0,Neutral,0.0,Neutral
2025-12-02,1510.0,,0.0,Neutral,0.0,Neutral
2025-12-01,1510.0,,0.0,Neutral,0.0,Neutral
2025-11-30,1500.0,,0.0,Neutral,0.0,Neutral
2025-11-27,1518.6,,0.0,Neutral,0.0,Neutral
2025-11-26,1527.0,,0.0,Neutral,0.0,Neutral
2025-11-25,1525.0,,0.0,Neutral,0.0,Neutral
2025-11-24,1513.0,,0.0,Neutral,0.0,Neutral
2025-11-23,1497.0,,0.0,Neutral,0.0,Neutral
2025-11-20,1475.0,,0.0,Neutral,0.0,Neutral
2025-11-19,1468.9,,0.0,Neutral,0.0,Neutral
2025-11-18,1479.0,,0.0,Neutral,0.0,Neutral
2025-11-17,1467.0,,0.0,Neutral,0.0,Neutral
2025-11-16,1461.0,,0.0,Neutral,0.0,Neutral
2025-11-13,1459.9,,0.0,Neutral,0.0,Neutral
2025-11-12,1464.0,,0.0,Neutral,0.0,Neutral
2025-11-11,1469.0,,0.0,Neutral,0.0,Neutral
2025-11-10,1460.0,,0.0,Neutral,0.0,Neutral
2025-11-09,1460.0,,0.0,Neutral,0.0,Neutral
2025-11-06,1480.0,,0.0,Neutral,0.0,Neutral
2025-11-05,1474.0,,0.0,Neutral,0.0,Neutral
2025-11-04,1485.0,,0.0,Neutral,0.0,Neutral
2025-11-03,1479.0,,0.0,Neutral,0.0,Neutral
2025-11-02,1460.0,,0.0,Neutral,0.0,Neutral
2025-10-30,1435.0,,0.0,Neutral,0.0,Neutral
2025-10-29,1425.0,,0.0,Neutral,0.0,Neutral
2025-10-28,1435.0,,0.0,Neutral,0.0,Neutral
2025-10-26,1375.0,,0.0,Neutral,0.0,Neutral
2025-10-19,1390.0,,0.0,Neutral,0.0,Neutral
2025-10-16,1399.0,,0.0,Neutral,0.0,Neutral
2025-10-15,1425.0,,0.0,Neutral,0.0,Neutral
2025-10-14,1428.0,,0.0,Neutral,0.0,Neutral
2025-10-13,1461.0,,0.0,Neutral,0.0,Neutral
2025-10-12,1458.0,,0.0,Neutral,0.0,Neutral
2025-10-09,1486.9,,0.0,Neutral,0.0,Neutral
2025-10-08,1467.0,,0.0,Neutral,0.0,Neutral
2025-10-07,1495.0,,0.0,Neutral,0.0,Neutral
2025-09-28,1521.6,,0.0,Neutral,0.0,Neutral
2025-09-25,1496.0,,0.0,Neutral,0.0,Neutral
2025-09-24,1511.9,,0.0,Neutral,0.0,Neutral
2025-09-23,1519.0,,0.0,Neutral,0.0,Neutral
2025-09-21,1496.27,,0.0,Neutral,0.0,Neutral
2025-09-18,1449.0,,0.0,Neutral,0.0,Neutral
2025-09-08,1469.0,,0.0,Neutral,0.0,Neutral
2025-09-07,1470.79,,0.0,Neutral,0.0,Neutral
2025-09-04,1481.13,,0.0,Neutral,0.0,Neutral
2025-09-03,1499.26,,0.0,Neutral,0.0,Neutral
2025-09-02,1520.1,,0.0,Neutral,0.0,Neutral
2025-09-01,1525.09,,0.0,Neutral,0.0,Neutral
