Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2020-07-29,116.0,,0,Neutral,0.0,Neutral
2020-07-28,116.0,,0,Neutral,0.0,Neutral
2020-07-27,116.0,,0,Neutral,0.0,Neutral
2019-12-11,114.0,,0,Neutral,0.0,Neutral
2019-10-01,125.0,,0,Neutral,0.0,Neutral
2019-09-03,118.0,,0,Neutral,0.0,Neutral
2019-03-26,120.0,,0,Neutral,0.0,Neutral
2014-05-22,220.0,,0,Neutral,0.0,Neutral
2014-01-26,100.0,,0,Neutral,0.0,Neutral
2013-09-01,220.0,,0,Neutral,0.0,Neutral
