Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2018-04-12,16.65,2018-04-12,0.7099379897117615,Strongly Positive,0.7099379897117615,Strongly Positive
2018-04-11,16.55,,0.0,Neutral,0.0,Neutral
2018-04-10,16.5,,0.0,Neutral,0.0,Neutral
2018-04-09,16.6,,0.0,Neutral,0.0,Neutral
2018-04-08,16.5,,0.0,Neutral,0.0,Neutral
2018-04-05,16.6,,0.0,Neutral,0.0,Neutral
2018-04-04,16.4,,0.0,Neutral,0.0,Neutral
2018-04-03,16.19,,0.0,Neutral,0.0,Neutral
2018-04-02,16.05,,0.0,Neutral,0.2196843922138214,Positive
2018-04-01,15.91,,0.0,Neutral,0.4393687844276428,Positive
2018-03-29,16.05,2018-03-29,0.8787375688552856,Strongly Positive,1.0584724247455597,Strongly Positive
2018-03-28,16.0,,0.0,Neutral,0.3594697117805481,Positive
2018-03-27,16.0,2018-03-27,0.7189394235610962,Strongly Positive,0.7189394235610962,Strongly Positive
2018-03-26,15.5,,0.0,Neutral,0.0,Neutral
2018-03-22,16.0,,0.0,Neutral,0.0,Neutral
2018-03-21,15.9,,0.0,Neutral,0.0,Neutral
2018-03-19,16.14,,0.0,Neutral,0.0,Neutral
2018-03-18,16.13,,0.0,Neutral,0.0,Neutral
2018-03-15,16.25,,0.0,Neutral,0.0,Neutral
2018-03-14,16.0,,0.0,Neutral,0.0,Neutral
2018-03-13,15.8,,0.0,Neutral,0.0,Neutral
2018-03-12,16.06,,0.0,Neutral,0.0,Neutral
2018-03-11,15.75,,0.0,Neutral,0.0,Neutral
2018-03-07,15.75,,0.0,Neutral,0.0,Neutral
2018-03-06,15.75,,0.0,Neutral,0.0,Neutral
2018-03-05,15.83,,0.0,Neutral,0.01453748531639575,Neutral
2018-03-04,15.93,,0.0,Neutral,0.0290749706327915,Neutral
2018-02-28,16.35,2018-02-28,0.058149941265583,Slightly Positive,0.058149941265583,Slightly Positive
2018-02-27,16.51,,0.0,Neutral,0.0,Neutral
2018-02-26,16.43,,0.0,Neutral,0.013884939253330226,Neutral
2018-02-25,16.77,,0.0,Neutral,0.02776987850666045,Neutral
2018-02-22,16.6,2018-02-22,0.0555397570133209,Slightly Positive,0.0555397570133209,Slightly Positive
2018-02-20,16.65,,0.0,Neutral,0.0,Neutral
2018-02-18,16.9,,0.0,Neutral,0.0,Neutral
2018-02-15,16.9,,0.0,Neutral,0.0,Neutral
2018-02-14,16.7,,0.0,Neutral,0.0,Neutral
2018-02-12,16.6,,0.0,Neutral,0.0,Neutral
2018-02-08,16.56,,0.0,Neutral,0.0,Neutral
2018-02-07,16.65,,0.0,Neutral,0.0,Neutral
2018-02-06,16.7,,0.0,Neutral,0.0,Neutral
2018-02-05,16.95,,0.0,Neutral,0.0,Neutral
2018-02-01,16.95,,0.0,Neutral,0.0,Neutral
2018-01-31,16.62,,0.0,Neutral,0.00993732921779155,Neutral
2018-01-29,16.62,,0.0,Neutral,0.0198746584355831,Neutral
2018-01-28,16.61,2018-01-28,0.0397493168711662,Neutral,0.0397493168711662,Neutral
2018-01-25,16.9,,0.0,Neutral,0.0,Neutral
2018-01-24,16.7,,0.0,Neutral,0.0,Neutral
2018-01-23,16.8,,0.0,Neutral,0.0,Neutral
2018-01-22,16.77,,0.0,Neutral,0.0,Neutral
2018-01-21,16.82,,0.0,Neutral,0.0,Neutral
2018-01-16,16.7,,0.0,Neutral,0.0,Neutral
2018-01-10,16.9,,0.0,Neutral,0.0,Neutral
2018-01-09,17.0,,0.0,Neutral,0.0,Neutral
2018-01-08,16.2,,0.0,Neutral,0.0,Neutral
2018-01-07,16.5,,0.0,Neutral,0.0,Neutral
2018-01-03,16.65,,0.0,Neutral,0.0,Neutral
2018-01-01,16.97,,0.0,Neutral,-0.061484657227993,Slightly Negative
2017-12-31,16.51,,0.0,Neutral,-0.122969314455986,Slightly Negative
2017-12-28,16.8,2017-12-28,-0.245938628911972,Negative,-0.245938628911972,Negative
2017-12-27,17.1,,0.0,Neutral,0.0,Neutral
2017-12-26,17.17,,0.0,Neutral,0.0,Neutral
2017-12-24,17.09,,0.0,Neutral,0.0,Neutral
2017-12-20,17.35,,0.0,Neutral,0.0,Neutral
2017-12-19,17.35,,0.0,Neutral,0.0,Neutral
2017-12-18,17.45,,0.0,Neutral,0.0,Neutral
2017-12-14,17.95,,0.0,Neutral,0.0,Neutral
2017-12-13,17.8,,0.0,Neutral,0.0,Neutral
2017-12-12,17.45,,0.0,Neutral,0.0,Neutral
2017-12-11,17.6,,0.0,Neutral,0.0,Neutral
2017-12-10,17.55,,0.0,Neutral,0.0,Neutral
2017-12-06,17.65,,0.0,Neutral,0.0,Neutral
2017-12-04,17.35,,0.0,Neutral,0.0117095187306404,Neutral
2017-11-30,17.52,,0.0,Neutral,0.0234190374612808,Neutral
2017-11-29,17.85,2017-11-29,0.0468380749225616,Neutral,0.0468380749225616,Neutral
2017-11-28,17.55,,0.0,Neutral,0.0,Neutral
2017-11-27,17.33,,0.0,Neutral,0.0,Neutral
2017-11-26,17.55,,0.0,Neutral,0.1830889880657196,Slightly Positive
2017-11-22,17.25,,0.0,Neutral,0.3661779761314392,Positive
2017-11-21,17.21,2017-11-21,0.7323559522628784,Strongly Positive,0.7323559522628784,Strongly Positive
2017-11-20,17.2,,0.0,Neutral,0.0,Neutral
2017-11-19,17.06,,0.0,Neutral,0.0,Neutral
2017-11-16,17.3,,0.0,Neutral,0.0,Neutral
2017-11-15,17.65,,0.0,Neutral,0.0,Neutral
2017-11-14,17.31,,0.0,Neutral,0.0,Neutral
2017-11-13,17.3,,0.0,Neutral,0.0,Neutral
2017-11-09,17.6,,0.0,Neutral,0.0,Neutral
2017-11-07,17.62,,0.0,Neutral,0.0,Neutral
2017-11-06,17.27,,0.0,Neutral,0.0,Neutral
2017-11-05,17.32,,0.0,Neutral,0.0,Neutral
2017-11-02,17.63,,0.0,Neutral,0.0,Neutral
2017-11-01,17.9,,0.0,Neutral,0.0,Neutral
2017-10-31,18.0,,0.0,Neutral,0.0,Neutral
2017-10-30,18.0,,0.0,Neutral,0.0,Neutral
2017-10-29,17.85,,0.0,Neutral,0.0,Neutral
2017-10-25,18.07,,0.0,Neutral,0.0,Neutral
2017-10-24,18.2,,0.0,Neutral,0.0,Neutral
2017-10-23,18.35,,0.0,Neutral,0.0,Neutral
2017-10-18,18.4,,0.0,Neutral,0.0,Neutral
2017-10-17,17.92,,0.0,Neutral,0.0,Neutral
2017-10-16,18.21,,0.0,Neutral,0.0,Neutral
2017-10-15,17.85,,0.0,Neutral,0.0,Neutral
2017-10-12,17.5,,0.0,Neutral,0.0,Neutral
2017-10-11,17.6,,0.0,Neutral,0.0,Neutral
2017-10-10,17.8,,0.0,Neutral,0.0,Neutral
2017-10-09,18.0,,0.0,Neutral,0.0,Neutral
2017-10-08,17.8,,0.0,Neutral,0.0,Neutral
2017-10-03,18.16,,0.0,Neutral,0.0,Neutral
2017-09-20,17.8,,0.0,Neutral,0.0,Neutral
2017-09-18,17.81,,0.0,Neutral,0.0,Neutral
2017-09-17,17.7,,0.0,Neutral,0.0,Neutral
2017-09-14,17.55,,0.0,Neutral,0.0,Neutral
2017-09-11,17.21,,0.0,Neutral,0.0,Neutral
2017-09-10,17.3,,0.0,Neutral,0.0,Neutral
2017-09-07,17.9,,0.0,Neutral,0.224727064371109,Positive
2017-09-06,17.6,,0.0,Neutral,0.449454128742218,Positive
2017-09-04,17.79,2017-09-04,0.898908257484436,Strongly Positive,0.898908257484436,Strongly Positive
2017-08-31,17.8,,0.0,Neutral,0.0,Neutral
2017-08-30,18.12,,0.0,Neutral,0.0,Neutral
2017-08-28,19.2,,0.0,Neutral,0.22684210538864136,Positive
2017-08-27,21.3,,0.0,Neutral,0.4536842107772827,Positive
2017-08-24,23.67,2017-08-24,0.9073684215545654,Strongly Positive,0.9073684215545654,Strongly Positive
2017-08-23,23.64,,0.0,Neutral,0.0,Neutral
2017-08-22,23.68,,0.0,Neutral,0.0,Neutral
2017-08-21,23.7,,0.0,Neutral,0.0,Neutral
2017-08-20,23.79,,0.0,Neutral,0.2300500273704529,Positive
2017-08-17,23.71,,0.0,Neutral,0.4601000547409058,Positive
2017-08-16,22.85,2017-08-16,0.9202001094818116,Strongly Positive,0.9202001094818116,Strongly Positive
2017-08-15,22.1,,0.0,Neutral,0.0,Neutral
2017-08-13,22.65,,0.0,Neutral,0.0,Neutral
