Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,251.0,,0.0,Neutral,0.0,Neutral
2026-03-01,244.0,,0.0,Neutral,0.0,Neutral
2026-02-26,241.6,,0.0,Neutral,0.0,Neutral
2026-02-25,240.7,,0.0,Neutral,0.0,Neutral
2026-02-24,240.4,,0.0,Neutral,-0.14425641298294067,Slightly Negative
2026-02-23,241.8,,0.0,Neutral,-0.46554088592529297,Negative
2026-02-22,241.0,2026-02-22,-0.5770256519317627,Negative,-0.9310817718505859,Strongly Negative
2026-02-17,240.7,2026-02-17,-0.7081122398376465,Strongly Negative,-0.7026659157127142,Strongly Negative
2026-02-16,243.5,,0.0,Neutral,0.01089264824986455,Neutral
2026-02-12,243.9,2026-02-12,0.0217852964997291,Neutral,0.0217852964997291,Neutral
2026-02-11,243.0,,0.0,Neutral,0.0,Neutral
2026-02-10,243.5,,0.0,Neutral,0.0,Neutral
2026-02-09,242.0,,0.0,Neutral,0.0,Neutral
2026-02-08,244.8,,0.0,Neutral,0.0,Neutral
2026-02-05,243.0,,0.0,Neutral,0.0,Neutral
2026-02-04,241.0,,0.0,Neutral,0.0,Neutral
2026-02-03,243.8,,0.0,Neutral,0.0,Neutral
2026-02-02,246.0,,0.0,Neutral,0.0,Neutral
2026-02-01,246.0,,0.0,Neutral,0.0,Neutral
2026-01-29,245.5,,0.0,Neutral,0.0,Neutral
2026-01-28,246.8,,0.0,Neutral,0.0,Neutral
2026-01-27,247.8,,0.0,Neutral,0.0,Neutral
2026-01-26,252.5,,0.0,Neutral,0.0,Neutral
2026-01-25,251.9,,0.0,Neutral,0.19587647914886475,Slightly Positive
2026-01-22,246.9,,0.0,Neutral,0.3917529582977295,Positive
2026-01-21,249.0,2026-01-21,0.783505916595459,Strongly Positive,0.783505916595459,Strongly Positive
2026-01-20,247.3,,0.0,Neutral,0.003507524728775,Neutral
2026-01-18,244.0,,0.0,Neutral,0.00701504945755,Neutral
2026-01-14,241.0,2026-01-14,0.0140300989151,Neutral,-0.1712459921836854,Slightly Negative
2026-01-13,241.0,,0.0,Neutral,-0.3705521821975708,Negative
2026-01-12,242.3,2026-01-12,-0.7411043643951416,Strongly Negative,-0.7411043643951416,Strongly Negative
2026-01-08,241.0,,0.0,Neutral,0.0,Neutral
2026-01-07,239.6,,0.0,Neutral,-0.1924486756324768,Slightly Negative
2026-01-06,240.6,,0.0,Neutral,-0.3848973512649536,Negative
2026-01-05,239.4,2026-01-05,-0.7697947025299072,Strongly Negative,-0.955081045627594,Strongly Negative
2026-01-04,238.0,,0.0,Neutral,-0.37057268619537354,Negative
2026-01-01,238.0,2026-01-01,-0.7411453723907471,Strongly Negative,-0.7411453723907471,Strongly Negative
2025-12-31,238.9,,0.0,Neutral,0.0,Neutral
2025-12-29,239.9,,0.0,Neutral,0.0,Neutral
2025-12-28,240.9,,0.0,Neutral,0.0,Neutral
2025-12-24,237.0,,0.0,Neutral,0.0,Neutral
2025-12-23,236.2,,0.0,Neutral,0.0,Neutral
2025-12-22,238.0,,0.0,Neutral,0.0,Neutral
2025-12-21,239.0,,0.0,Neutral,0.0,Neutral
2025-12-18,239.5,,0.0,Neutral,0.0,Neutral
2025-12-17,240.0,,0.0,Neutral,0.003919708076864475,Neutral
2025-12-16,241.0,,0.0,Neutral,0.00783941615372895,Neutral
2025-12-15,241.9,2025-12-15,0.0156788323074579,Neutral,0.03363810293376442,Neutral
2025-12-14,241.0,,0.0,Neutral,0.03591854125261305,Neutral
2025-12-11,240.0,2025-12-11,0.0718370825052261,Slightly Positive,-0.11546185612678532,Slightly Negative
2025-12-10,240.0,,0.0,Neutral,-0.5444499999284744,Negative
2025-12-09,240.0,2025-12-09,-0.7491957545280457,Strongly Negative,-1.0888999998569489,Strongly Negative
2025-12-08,241.8,2025-12-08,-0.6794084906578064,Strongly Negative,-0.6794084906578064,Strongly Negative
2025-12-07,242.0,,0.0,Neutral,0.0,Neutral
2025-12-03,240.3,,0.0,Neutral,0.0,Neutral
2025-12-02,243.0,,0.0,Neutral,0.0,Neutral
2025-12-01,245.0,,0.0,Neutral,0.0,Neutral
2025-11-30,247.5,,0.0,Neutral,0.0,Neutral
2025-11-27,248.1,,0.0,Neutral,0.0,Neutral
2025-11-26,245.9,,0.0,Neutral,0.0,Neutral
2025-11-25,245.0,,0.0,Neutral,0.0,Neutral
2025-11-24,245.0,,0.0,Neutral,0.0,Neutral
