Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,656.9,,0.0,Neutral,0.0,Neutral
2026-03-01,643.0,,0.0,Neutral,0.0,Neutral
2026-02-26,643.1,,0.0,Neutral,0.0,Neutral
2026-02-25,646.0,,0.0,Neutral,0.0,Neutral
2026-02-24,637.0,,0.0,Neutral,0.0,Neutral
2026-02-23,632.0,,0.0,Neutral,0.0,Neutral
2026-02-22,635.0,,0.0,Neutral,0.0,Neutral
2026-02-17,647.0,,0.0,Neutral,0.0,Neutral
2026-02-16,654.0,,0.0,Neutral,0.0,Neutral
2026-02-12,650.0,,0.0,Neutral,0.0,Neutral
2026-02-11,645.3,,0.0,Neutral,0.0,Neutral
2026-02-10,655.0,,0.0,Neutral,0.0,Neutral
2026-02-09,659.0,,0.0,Neutral,0.0,Neutral
2026-02-08,669.0,,0.0,Neutral,0.0,Neutral
2026-02-05,671.0,,0.0,Neutral,0.0,Neutral
2026-02-04,660.0,,0.0,Neutral,0.0,Neutral
2026-02-03,660.1,,0.0,Neutral,0.0,Neutral
2026-02-02,662.0,,0.0,Neutral,0.0,Neutral
2026-02-01,669.0,,0.0,Neutral,0.0,Neutral
2026-01-29,671.1,,0.0,Neutral,0.0,Neutral
2026-01-28,671.2,,0.0,Neutral,0.0,Neutral
2026-01-27,666.0,,0.0,Neutral,0.0,Neutral
2026-01-26,678.0,,0.0,Neutral,0.0,Neutral
2026-01-25,693.0,,0.0,Neutral,0.0,Neutral
2026-01-22,695.0,,0.0,Neutral,0.0,Neutral
2026-01-21,689.0,,0.0,Neutral,0.0,Neutral
2026-01-20,685.0,,0.0,Neutral,0.0,Neutral
2026-01-18,664.0,,0.0,Neutral,0.0,Neutral
2026-01-14,660.0,,0.0,Neutral,0.0,Neutral
2026-01-13,662.9,,0.0,Neutral,0.0,Neutral
2026-01-12,663.0,,0.0,Neutral,0.0,Neutral
2026-01-08,666.0,,0.0,Neutral,0.0,Neutral
2026-01-07,682.0,,0.0,Neutral,0.0,Neutral
2026-01-06,700.0,,0.0,Neutral,0.0,Neutral
2026-01-05,705.0,,0.0,Neutral,0.0,Neutral
2026-01-04,710.0,,0.0,Neutral,0.0,Neutral
2026-01-01,742.0,,0.0,Neutral,0.0,Neutral
2025-12-31,738.0,,0.0,Neutral,0.0,Neutral
2025-12-29,731.9,,0.0,Neutral,0.0,Neutral
2025-12-28,697.0,,0.0,Neutral,0.0,Neutral
2025-12-24,680.0,,0.0,Neutral,0.0,Neutral
2025-12-23,670.0,,0.0,Neutral,0.2293685972690582,Positive
2025-12-22,674.0,,0.0,Neutral,0.4587371945381164,Positive
2025-12-21,729.9,2025-12-21,0.9174743890762328,Strongly Positive,0.9174743890762328,Strongly Positive
2025-12-18,743.5,,0.0,Neutral,0.0,Neutral
2025-12-17,729.8,,0.0,Neutral,0.0,Neutral
2025-12-16,720.0,,0.0,Neutral,0.0,Neutral
2025-12-15,704.9,,0.0,Neutral,0.0,Neutral
2025-12-14,691.0,,0.0,Neutral,0.0,Neutral
2025-12-11,691.0,,0.0,Neutral,0.0,Neutral
2025-12-10,699.0,,0.0,Neutral,0.2281133234500885,Positive
2025-12-09,691.0,,0.0,Neutral,0.456226646900177,Positive
2025-12-08,687.0,2025-12-08,0.912453293800354,Strongly Positive,0.912453293800354,Strongly Positive
2025-12-07,690.3,,0.0,Neutral,0.0,Neutral
2025-12-03,698.4,,0.0,Neutral,0.0,Neutral
2025-12-02,696.0,,0.0,Neutral,0.0,Neutral
