Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2026-03-03,394.8,,0.0,Neutral,0.0,Neutral
2026-03-01,391.0,,0.0,Neutral,0.0,Neutral
2026-02-26,378.0,,0.0,Neutral,0.0,Neutral
2026-02-25,376.0,,0.0,Neutral,0.0,Neutral
2026-02-24,378.0,,0.0,Neutral,0.0,Neutral
2026-02-23,375.1,,0.0,Neutral,0.0,Neutral
2026-02-22,376.9,,0.0,Neutral,0.0,Neutral
2026-02-17,381.0,,0.0,Neutral,0.0,Neutral
2026-02-16,387.0,,0.0,Neutral,0.0,Neutral
2026-02-12,380.1,,0.0,Neutral,0.0,Neutral
2026-02-11,381.0,,0.0,Neutral,0.0,Neutral
2026-02-10,383.3,,0.0,Neutral,0.0,Neutral
2026-02-09,387.0,,0.0,Neutral,0.0,Neutral
2026-02-08,391.5,,0.0,Neutral,0.0,Neutral
2026-02-05,393.5,,0.0,Neutral,0.0,Neutral
2026-02-04,394.0,,0.0,Neutral,0.0,Neutral
2026-02-03,390.1,,0.0,Neutral,0.0,Neutral
2026-02-02,393.0,,0.0,Neutral,0.0,Neutral
2026-02-01,395.0,,0.0,Neutral,0.0,Neutral
2026-01-29,399.5,,0.0,Neutral,0.0,Neutral
2026-01-28,406.0,,0.0,Neutral,0.0,Neutral
2026-01-27,395.0,,0.0,Neutral,0.0,Neutral
2026-01-26,416.1,,0.0,Neutral,0.0,Neutral
2026-01-25,421.1,,0.0,Neutral,0.0,Neutral
2026-01-22,399.0,,0.0,Neutral,0.0,Neutral
2026-01-21,398.0,,0.0,Neutral,0.0,Neutral
2026-01-20,403.0,,0.0,Neutral,0.0,Neutral
2026-01-18,399.9,,0.0,Neutral,0.0,Neutral
2026-01-14,375.4,,0.0,Neutral,0.0,Neutral
2026-01-13,370.0,,0.0,Neutral,0.0,Neutral
2026-01-12,372.0,,0.0,Neutral,0.0,Neutral
2026-01-08,379.7,,0.0,Neutral,0.23208436369895935,Positive
2026-01-07,387.9,,0.0,Neutral,0.6681224703788757,Strongly Positive
2026-01-06,381.0,2026-01-06,0.9283374547958374,Strongly Positive,1.3362449407577515,Strongly Positive
2026-01-05,372.1,2026-01-05,0.8158149719238281,Strongly Positive,0.8158149719238281,Strongly Positive
2026-01-04,374.0,,0.0,Neutral,0.0,Neutral
2026-01-01,376.0,,0.0,Neutral,0.0,Neutral
2025-12-31,380.0,,0.0,Neutral,0.0,Neutral
2025-12-29,380.9,,0.0,Neutral,0.0,Neutral
2025-12-28,384.0,,0.0,Neutral,0.0,Neutral
2025-12-24,375.0,,0.0,Neutral,0.0,Neutral
2025-12-23,379.5,,0.0,Neutral,0.0,Neutral
2025-12-22,382.0,,0.0,Neutral,0.0,Neutral
2025-12-21,383.0,,0.0,Neutral,0.0,Neutral
2025-12-18,386.0,,0.0,Neutral,0.0,Neutral
2025-12-17,393.0,,0.0,Neutral,0.0,Neutral
2025-12-16,392.0,,0.0,Neutral,0.0,Neutral
2025-12-15,390.0,,0.0,Neutral,0.0,Neutral
