Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2020-01-22,210.0,,0.0,Neutral,0.0,Neutral
2020-01-21,202.0,,0.0,Neutral,0.0,Neutral
2020-01-20,206.0,,0.0,Neutral,0.23077615350484845,Positive
2020-01-19,215.0,,0.0,Neutral,0.4615523070096969,Positive
2020-01-16,236.0,2020-01-16,0.9231046140193938,Strongly Positive,0.9231046140193938,Strongly Positive
2020-01-15,231.0,,0.0,Neutral,0.0,Neutral
2020-01-14,215.0,,0.0,Neutral,0.0,Neutral
2020-01-13,202.0,,0.0,Neutral,0.0,Neutral
2020-01-12,208.0,,0.0,Neutral,0.0,Neutral
2020-01-09,199.0,,0.0,Neutral,0.0,Neutral
2020-01-08,202.0,,0.0,Neutral,0.0,Neutral
2020-01-07,197.0,,0.0,Neutral,0.0,Neutral
2020-01-06,194.0,,0.0,Neutral,0.2294494956731796,Positive
2020-01-05,194.0,,0.0,Neutral,0.4588989913463592,Positive
2020-01-01,192.0,2020-01-01,0.9177979826927184,Strongly Positive,1.1474099308252335,Strongly Positive
2019-12-31,189.0,,0.0,Neutral,0.4592238962650299,Positive
2019-12-30,194.0,2019-12-30,0.9184477925300598,Strongly Positive,0.9184477925300598,Strongly Positive
2019-12-29,193.0,,0.0,Neutral,0.0,Neutral
2019-12-26,186.0,,0.0,Neutral,0.0,Neutral
2019-12-25,191.0,,0.0,Neutral,0.22023192793130875,Positive
2019-12-24,184.0,,0.0,Neutral,0.4404638558626175,Positive
2019-12-23,192.0,2019-12-23,0.880927711725235,Strongly Positive,0.880927711725235,Strongly Positive
2019-12-22,175.0,,0.0,Neutral,0.0,Neutral
2019-12-18,178.0,,0.0,Neutral,0.23032696545124054,Positive
2019-12-17,178.0,,0.0,Neutral,0.688055157661438,Strongly Positive
2019-12-16,179.0,2019-12-16,0.9213078618049622,Strongly Positive,1.376110315322876,Strongly Positive
2019-12-15,180.0,2019-12-15,0.9096049070358276,Strongly Positive,0.9096049070358276,Strongly Positive
2019-12-12,187.0,,0.0,Neutral,0.0,Neutral
2019-12-11,184.0,,0.0,Neutral,0.0,Neutral
2019-12-10,179.0,,0.0,Neutral,0.0,Neutral
2019-12-09,176.0,,0.0,Neutral,0.0,Neutral
2019-12-08,173.0,,0.0,Neutral,0.0,Neutral
2019-12-05,169.0,,0.0,Neutral,0.0,Neutral
2019-12-04,166.0,,0.0,Neutral,0.0,Neutral
2019-12-03,164.0,,0.0,Neutral,0.2264896780252457,Positive
2019-12-02,167.0,,0.0,Neutral,0.4529793560504914,Positive
2019-12-01,166.0,2019-12-01,0.9059587121009828,Strongly Positive,0.9059587121009828,Strongly Positive
2019-11-28,167.0,,0.0,Neutral,0.0,Neutral
2019-11-27,170.0,,0.0,Neutral,0.0,Neutral
2019-11-26,165.0,,0.0,Neutral,0.0,Neutral
2019-11-25,170.0,,0.0,Neutral,0.0,Neutral
2019-11-24,168.0,,0.0,Neutral,0.0,Neutral
2019-11-20,168.0,,0.0,Neutral,0.0,Neutral
2019-11-19,170.0,,0.0,Neutral,0.0,Neutral
2019-11-18,175.0,,0.0,Neutral,0.0,Neutral
2019-11-17,176.0,,0.0,Neutral,0.0,Neutral
2019-11-14,179.0,,0.0,Neutral,0.0,Neutral
2019-11-12,178.0,,0.0,Neutral,0.0,Neutral
2019-11-11,178.0,,0.0,Neutral,0.21601398289203644,Positive
2019-11-10,178.0,,0.0,Neutral,0.4320279657840729,Positive
2019-11-07,181.0,2019-11-07,0.8640559315681458,Strongly Positive,0.8640559315681458,Strongly Positive
2019-11-05,184.0,,0.0,Neutral,0.0,Neutral
2019-11-04,190.0,,0.0,Neutral,0.0,Neutral
2019-11-03,195.0,,0.0,Neutral,0.0,Neutral
2019-10-23,195.0,,0.0,Neutral,0.0,Neutral
2019-10-22,198.0,,0.0,Neutral,0.0,Neutral
2019-10-21,198.0,,0.0,Neutral,0.0,Neutral
2019-10-16,196.0,,0.0,Neutral,0.0,Neutral
2019-10-15,196.0,,0.0,Neutral,0.0,Neutral
2019-10-03,193.0,,0.0,Neutral,0.0,Neutral
2019-10-02,195.0,,0.0,Neutral,0.0,Neutral
2019-10-01,195.0,,0.0,Neutral,-0.21784469485282898,Negative
2019-09-29,193.0,,0.0,Neutral,-0.43568938970565796,Negative
2019-09-26,195.0,2019-09-26,-0.8713787794113159,Strongly Negative,-0.8713787794113159,Strongly Negative
2019-09-25,192.0,,0.0,Neutral,0.0,Neutral
2019-09-24,198.0,,0.0,Neutral,0.0,Neutral
2019-09-23,200.0,,0.0,Neutral,0.0,Neutral
2019-09-22,248.0,,0.0,Neutral,0.0,Neutral
2019-09-19,243.0,,0.0,Neutral,0.0,Neutral
2019-09-18,249.0,,0.0,Neutral,0.22323139011859894,Positive
2019-09-17,249.0,,0.0,Neutral,0.4464627802371979,Positive
2019-09-16,250.0,2019-09-16,0.8929255604743958,Strongly Positive,0.8929255604743958,Strongly Positive
2019-09-15,245.0,,0.0,Neutral,0.0,Neutral
2019-09-12,250.0,,0.0,Neutral,-0.21355174481868744,Negative
2019-09-11,250.0,,0.0,Neutral,-0.4271034896373749,Negative
2019-09-10,250.0,2019-09-10,-0.8542069792747498,Strongly Negative,-0.8542069792747498,Strongly Negative
2019-09-09,251.0,,0.0,Neutral,0.0,Neutral
2019-09-08,246.0,,0.0,Neutral,0.2197757214307785,Positive
2019-09-05,248.0,,0.0,Neutral,0.439551442861557,Positive
