Date_Stock,Close,Date_News,Sentiment_Score,Prediction,Decayed_Sentiment,Decayed_Prediction
2023-05-24,518.9,2023-05-24,0.5160125494003296,Positive,0.5160125494003296,Positive
2023-05-23,488.0,,0.0,Neutral,0.21880093216896057,Positive
2023-05-22,467.9,,0.0,Neutral,0.43760186433792114,Positive
2023-05-21,462.0,2023-05-21,0.8752037286758423,Strongly Positive,0.8752037286758423,Strongly Positive
2023-05-18,459.1,,0.0,Neutral,0.22313760221004486,Positive
2023-05-17,450.5,,0.0,Neutral,0.4462752044200897,Positive
2023-05-16,439.0,2023-05-16,0.8925504088401794,Strongly Positive,0.8925504088401794,Strongly Positive
2023-05-15,430.0,,0.0,Neutral,0.0,Neutral
2023-05-14,433.7,,0.0,Neutral,0.0,Neutral
2023-05-11,433.5,,0.0,Neutral,0.228655219078064,Positive
2023-05-10,429.8,,0.0,Neutral,0.457310438156128,Positive
2023-05-09,426.0,2023-05-09,0.914620876312256,Strongly Positive,0.914620876312256,Strongly Positive
2023-05-08,419.0,,0.0,Neutral,0.0,Neutral
2023-05-07,437.0,,0.0,Neutral,0.0,Neutral
2023-05-04,438.0,,0.0,Neutral,0.0,Neutral
2023-05-03,430.0,,0.0,Neutral,0.0,Neutral
2023-05-02,443.0,,0.0,Neutral,0.14885444939136505,Slightly Positive
2023-04-30,444.9,,0.0,Neutral,0.2977088987827301,Positive
2023-04-27,447.0,2023-04-27,0.5954177975654602,Positive,0.5954177975654602,Positive
2023-04-26,449.0,,0.0,Neutral,0.19198401272296906,Slightly Positive
2023-04-25,446.0,,0.0,Neutral,0.3839680254459381,Positive
2023-04-24,445.9,2023-04-24,0.7679360508918762,Strongly Positive,0.7679360508918762,Strongly Positive
2023-04-23,446.0,,0.0,Neutral,0.0,Neutral
2023-04-20,451.9,,0.0,Neutral,0.22394168376922607,Positive
2023-04-19,450.0,,0.0,Neutral,0.44788336753845215,Positive
2023-04-18,449.9,2023-04-18,0.8957667350769043,Strongly Positive,0.8957667350769043,Strongly Positive
2023-04-17,441.9,,0.0,Neutral,0.0,Neutral
2023-04-16,450.0,,0.0,Neutral,0.0,Neutral
2023-04-13,446.6,,0.0,Neutral,0.0,Neutral
2023-04-12,463.0,,0.0,Neutral,0.0,Neutral
2023-04-11,430.0,,0.0,Neutral,0.0,Neutral
2023-04-10,422.0,,0.0,Neutral,0.2243342399597168,Positive
2023-04-09,423.0,,0.0,Neutral,0.4486684799194336,Positive
2023-04-06,436.0,2023-04-06,0.8973369598388672,Strongly Positive,0.8973369598388672,Strongly Positive
2023-04-05,434.1,,0.0,Neutral,0.0,Neutral
2023-04-04,438.0,,0.0,Neutral,0.19178426265716553,Slightly Positive
2023-04-03,442.0,,0.0,Neutral,0.38356852531433105,Positive
2023-04-02,443.8,2023-04-02,0.7671370506286621,Strongly Positive,0.7671370506286621,Strongly Positive
2023-03-30,438.0,,0.0,Neutral,0.0,Neutral
2023-03-29,440.0,,0.0,Neutral,0.0,Neutral
2023-03-28,438.0,,0.0,Neutral,0.0,Neutral
2023-03-27,425.0,,0.0,Neutral,0.0,Neutral
2023-03-26,420.0,,0.0,Neutral,0.0,Neutral
2023-03-23,425.7,,0.0,Neutral,0.0,Neutral
2023-03-22,433.0,,0.0,Neutral,0.0,Neutral
2023-03-20,437.9,,0.0,Neutral,0.0,Neutral
2023-03-19,430.9,,0.0,Neutral,0.0,Neutral
2023-03-16,427.0,,0.0,Neutral,0.0,Neutral
2023-03-15,438.0,,0.0,Neutral,0.0,Neutral
2023-03-14,421.9,,0.0,Neutral,0.0,Neutral
2023-03-13,419.5,,0.0,Neutral,0.0,Neutral
2023-03-12,433.5,,0.0,Neutral,0.0,Neutral
2023-03-09,432.0,,0.0,Neutral,0.0,Neutral
2023-03-07,417.0,,0.0,Neutral,0.0,Neutral
2023-03-05,412.5,,0.0,Neutral,0.17690470814704895,Slightly Positive
2023-03-02,425.0,,0.0,Neutral,0.3538094162940979,Positive
2023-03-01,429.0,2023-03-01,0.7076188325881958,Strongly Positive,0.7076188325881958,Strongly Positive
2023-02-28,437.0,,0.0,Neutral,0.0,Neutral
2023-02-27,434.0,,0.0,Neutral,0.0,Neutral
2023-02-26,438.0,,0.0,Neutral,0.0,Neutral
2023-02-23,428.0,,0.0,Neutral,0.0,Neutral
2023-02-22,442.0,,0.0,Neutral,0.0,Neutral
2023-02-20,428.0,,0.0,Neutral,0.0684223100543022,Slightly Positive
2023-02-16,433.8,,0.0,Neutral,0.1368446201086044,Slightly Positive
2023-02-15,442.0,2023-02-15,0.2736892402172088,Positive,0.2736892402172088,Positive
2023-02-14,441.3,,0.0,Neutral,0.0,Neutral
2023-02-12,455.0,,0.0,Neutral,0.0,Neutral
2023-02-09,470.0,,0.0,Neutral,0.0,Neutral
2023-02-08,460.9,,0.0,Neutral,0.0,Neutral
2023-02-07,465.0,,0.0,Neutral,0.0,Neutral
2023-02-06,445.0,,0.0,Neutral,0.14655254781246185,Slightly Positive
2023-02-05,438.5,,0.0,Neutral,0.2931050956249237,Positive
2023-02-02,439.0,2023-02-02,0.5862101912498474,Positive,0.5862101912498474,Positive
2023-02-01,452.0,,0.0,Neutral,0.0,Neutral
2023-01-31,451.0,,0.0,Neutral,0.0,Neutral
2023-01-30,456.4,,0.0,Neutral,0.0,Neutral
2023-01-29,470.1,,0.0,Neutral,0.0,Neutral
2023-01-26,471.0,,0.0,Neutral,0.0,Neutral
2023-01-25,470.0,,0.0,Neutral,0.0,Neutral
2023-01-24,448.1,,0.0,Neutral,0.0,Neutral
2023-01-23,452.0,,0.0,Neutral,0.0,Neutral
2023-01-19,460.0,,0.0,Neutral,0.0,Neutral
2023-01-18,466.0,,0.0,Neutral,0.015383802354335775,Neutral
2023-01-17,474.0,,0.0,Neutral,0.03076760470867155,Neutral
2023-01-12,474.0,2023-01-12,0.0615352094173431,Slightly Positive,0.0615352094173431,Slightly Positive
2023-01-10,475.0,,0.0,Neutral,0.0,Neutral
2023-01-09,485.0,,0.0,Neutral,0.0,Neutral
2023-01-08,462.0,,0.0,Neutral,0.0,Neutral
2023-01-05,450.0,,0.0,Neutral,0.0,Neutral
2023-01-04,442.0,,0.0,Neutral,0.0,Neutral
2023-01-03,433.0,,0.0,Neutral,0.0,Neutral
2023-01-02,424.0,,0.0,Neutral,0.23035332560539246,Positive
2023-01-01,393.0,,0.0,Neutral,0.4607066512107849,Positive
2022-12-29,402.0,2022-12-29,0.9214133024215698,Strongly Positive,0.9214133024215698,Strongly Positive
2022-12-28,379.0,,0.0,Neutral,0.0,Neutral
2022-12-27,370.0,,0.0,Neutral,0.0,Neutral
2022-12-26,354.0,,0.0,Neutral,0.0,Neutral
2022-12-22,335.0,,0.0,Neutral,0.2312743961811066,Positive
2022-12-21,334.5,,0.0,Neutral,0.4625487923622132,Positive
2022-12-20,339.0,2022-12-20,0.9250975847244264,Strongly Positive,0.9250975847244264,Strongly Positive
2022-12-19,339.0,,0.0,Neutral,0.0,Neutral
2022-12-18,335.5,,0.0,Neutral,0.0,Neutral
2022-12-15,333.0,,0.0,Neutral,0.0,Neutral
2022-12-14,338.0,,0.0,Neutral,0.0,Neutral
2022-12-13,339.3,,0.0,Neutral,0.0,Neutral
2022-12-12,337.3,,0.0,Neutral,0.1477811634540558,Slightly Positive
2022-12-11,339.0,,0.0,Neutral,0.2955623269081116,Positive
2022-12-07,345.1,2022-12-07,0.5911246538162231,Positive,0.5911246538162231,Positive
2022-12-06,350.0,,0.0,Neutral,0.0,Neutral
2022-12-05,349.0,,0.0,Neutral,0.0,Neutral
2022-12-04,367.9,,0.0,Neutral,0.0,Neutral
2022-12-01,348.0,,0.0,Neutral,0.0455174557864666,Neutral
2022-11-30,347.2,,0.0,Neutral,0.24938110262155533,Positive
2022-11-29,357.7,2022-11-29,0.1820698231458664,Slightly Positive,0.49876220524311066,Positive
2022-11-28,348.1,2022-11-28,0.6333847641944885,Strongly Positive,0.6333847641944885,Strongly Positive
2022-11-27,358.9,,0.0,Neutral,0.0,Neutral
2022-11-24,348.5,,0.0,Neutral,0.0,Neutral
2022-11-23,342.0,,0.0,Neutral,0.0,Neutral
2022-11-22,347.0,,0.0,Neutral,0.0,Neutral
2022-11-17,357.7,,0.0,Neutral,0.0,Neutral
2022-11-16,350.0,,0.0,Neutral,0.0,Neutral
2022-11-15,344.1,,0.0,Neutral,0.2277034819126129,Positive
2022-11-14,346.0,,0.0,Neutral,0.6883114278316498,Strongly Positive
2022-11-13,345.0,2022-11-13,0.9108139276504515,Strongly Positive,1.5402170270681381,Strongly Positive
2022-11-10,348.8,2022-11-10,0.9316178560256958,Strongly Positive,1.258806198835373,Strongly Positive
2022-11-09,354.0,2022-11-09,0.6543766856193542,Strongly Positive,0.6543766856193542,Strongly Positive
2022-11-08,366.0,,0.0,Neutral,0.0,Neutral
2022-11-07,360.0,,0.0,Neutral,0.0,Neutral
2022-11-06,361.0,,0.0,Neutral,0.0,Neutral
2022-11-03,348.0,,0.0,Neutral,0.0,Neutral
2022-11-02,357.0,,0.0,Neutral,0.0,Neutral
2022-11-01,354.0,,0.0,Neutral,0.0,Neutral
2022-10-31,342.0,,0.0,Neutral,0.0,Neutral
2022-10-23,333.0,,0.0,Neutral,0.0,Neutral
2022-10-20,328.4,,0.0,Neutral,0.0,Neutral
2022-10-19,335.0,,0.0,Neutral,0.0,Neutral
2022-10-17,346.5,,0.0,Neutral,0.0,Neutral
2022-10-16,342.0,,0.0,Neutral,0.0,Neutral
2022-10-13,355.0,,0.0,Neutral,0.0,Neutral
2022-10-12,354.0,,0.0,Neutral,0.0,Neutral
2022-10-11,355.0,,0.0,Neutral,0.0,Neutral
2022-10-10,349.9,,0.0,Neutral,0.226835772395134,Positive
2022-10-09,357.0,,0.0,Neutral,0.453671544790268,Positive
2022-09-29,343.9,2022-09-29,0.907343089580536,Strongly Positive,0.907343089580536,Strongly Positive
2022-09-28,340.0,,0.0,Neutral,0.0,Neutral
2022-09-27,341.0,,0.0,Neutral,0.0,Neutral
2022-09-25,336.2,,0.0,Neutral,0.0,Neutral
2022-09-22,341.0,,0.0,Neutral,0.0,Neutral
2022-09-21,340.0,,0.0,Neutral,0.0,Neutral
2022-09-20,340.0,,0.0,Neutral,0.0,Neutral
2022-09-18,353.0,,0.0,Neutral,0.0,Neutral
2022-09-16,365.5,,0.0,Neutral,0.0,Neutral
