Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2026-03-03,652.0,666.0,652.0,664.4,12682.0,0.0,652.3,646.3399999999999,652.6600000000001,51.568265682656815,-2.1523618169387646,-2.718789197825785,11.747642789551433,0.2316351234912872,Positive
2026-03-01,638.0,660.0,633.0,654.1,12001.0,0.0,645.5400000000001,644.8,653.72,48.01980198019802,-3.6737523014498947,-2.86039604304754,9.995888043469265,0.4632702469825744,Positive
2026-02-26,650.0,650.0,640.0,650.0,6214.0,0.9265404939651488,639.72,643.92,655.22,47.5,-4.513436122750136,-2.657056978446951,9.459128454086459,0.9265404939651488,Strongly Positive
2026-02-25,644.0,652.0,640.0,645.0,5923.0,0.0,637.76,644.37,657.72,42.50000000000001,-5.102073492878844,-2.192962192371154,9.878264579920232,0.2315415292978287,Positive
2026-02-24,635.0,649.0,631.0,648.0,4963.0,0.0,639.74,646.3599999999999,660.615,39.7196261682243,-5.270085939946739,-1.465684367244232,11.830769675338116,0.4630830585956574,Positive
2026-02-23,630.0,638.0,620.4,630.6,10469.0,0.9261661171913148,640.3800000000001,647.66,662.965,27.401746724890856,-5.713329667805169,-0.5145839740686049,12.712391155430735,0.9261661171913148,Strongly Positive
2026-02-22,650.0,650.9,625.0,625.0,18672.0,0.0,644.0600000000001,650.4100000000001,665.985,19.57831325301204,-4.424330503467218,0.7851024493655361,11.531449749841057,0.0,Neutral
2026-02-17,655.0,656.0,640.2,640.2,20215.0,0.0,648.12,653.4100000000001,669.655,24.447031431897557,-2.1445631263892437,2.0874606875737243,7.319448977423077,0.0,Neutral
2026-02-16,646.5,664.2,645.1,654.9,14242.0,0.0,650.98,655.39,672.445,24.11021814006888,-0.7511936650803364,3.1454666410644663,5.886793128104077,0.23137328028678894,Positive
2026-02-12,650.0,658.9,645.0,651.2,13587.0,0.0,652.98,656.9,672.7,20.046349942062648,-0.45854837206297816,4.119631717600667,7.4706834433581975,0.4627465605735779,Positive
2026-02-11,658.2,658.2,647.0,649.0,13256.0,0.9254931211471558,654.9399999999999,658.98,672.28,25.0,0.2983705055272594,5.264176740016579,8.528097351941591,0.9254931211471558,Strongly Positive
2026-02-10,655.0,664.7,645.0,645.3,15514.0,0.0,656.76,662.6400000000001,672.03,25.243770314192815,1.484134301934887,6.505628298638908,11.203293166632543,0.0,Neutral
2026-02-09,675.0,675.0,653.0,654.5,20240.0,0.0,658.7,666.52,672.2149999999999,25.74585635359115,3.3527399576851167,7.761001797814913,11.249375291284858,0.0,Neutral
2026-02-08,665.0,676.0,660.2,664.9,26210.0,0.0,659.8,671.0699999999999,672.0849999999999,31.151515151515113,4.752265868003633,8.863067257847362,14.561520830208659,0.2211454212665558,Positive
2026-02-05,658.0,667.0,657.0,661.0,24109.0,0.0,660.8199999999999,674.8700000000001,671.39,50.43630017452007,5.410536890002845,9.890767605308294,17.445219020303696,0.4422908425331116,Positive
2026-02-04,651.2,668.0,651.2,658.1,21428.0,0.8845816850662231,663.02,678.2700000000001,669.8,55.934833204034156,6.569122276045391,11.010825284134658,17.75218609385332,0.8845816850662231,Strongly Positive
2026-02-03,671.0,672.0,653.0,655.0,16290.0,0.0,668.52,681.5600000000001,668.395,54.330708661417326,8.247620390215388,12.121251036156973,16.610719430526704,0.0,Neutral
2026-02-02,671.1,674.0,660.0,660.0,20854.0,0.0,674.3399999999999,685.9,666.995,54.330708661417326,10.585665322989371,13.089658697642369,14.426210713670368,0.0,Neutral
2026-02-01,679.0,683.0,665.0,670.0,45603.0,0.0,682.3399999999999,689.5,665.745,57.547956630525455,12.906796632486476,13.715657041305617,11.424340486662901,0.0,Neutral
2026-01-29,680.0,688.9,670.0,672.0,36291.0,0.0,688.92,688.5,664.0699999999999,58.83838383838384,14.663487189226657,13.917872143510401,13.559088792708085,0.0,Neutral
2026-01-28,684.1,693.8,670.0,685.6,47133.0,0.0,693.52,685.58,662.47,72.20472440944883,16.488739686167946,13.731468382081337,19.395348812414255,0.0,Neutral
2026-01-27,695.0,700.0,684.0,684.1,56524.0,0.0,694.6,681.42,659.1899999999999,71.41726049089473,17.193862114101535,13.042150556059683,23.431830203087944,0.0,Neutral
2026-01-26,700.1,707.0,685.0,700.0,74157.0,0.0,697.46,677.9100000000001,656.0350000000001,82.18694885361556,17.996489473186102,12.00422266654922,25.52151380044602,0.0,Neutral
2026-01-25,705.0,714.0,697.0,702.9,126730.0,0.0,696.6600000000001,673.1,652.0350000000001,78.64978902953588,17.140257637353216,10.506155964889999,25.42815587318157,0.0,Neutral
2026-01-22,690.0,703.0,680.2,695.0,103245.0,0.0,688.08,667.91,648.0899999999999,76.09277430865302,15.502808892165035,8.847630546774194,23.921930895676127,0.0,Neutral
2026-01-21,699.0,700.0,680.0,691.0,52858.0,0.0,677.64,661.3299999999999,644.54,72.84946236559142,13.991697091693482,7.1838359604264825,24.680088690633365,0.0,Neutral
2026-01-20,709.8,715.0,695.0,698.4,147123.0,0.0,668.24,655.2299999999999,641.64,81.5619967793881,12.2667260723033,5.481870677609733,24.062698195427274,0.0,Neutral
2026-01-18,671.9,700.1,661.1,696.0,141531.0,0.0,658.36,648.0899999999999,637.7049999999999,80.53745928338763,9.133156137411788,3.78565682893634,20.09590616131172,0.0,Neutral
2026-01-14,642.2,667.0,640.1,660.0,82524.0,0.0,649.54,641.99,633.905,72.77904328018224,5.245099149424163,2.4487820018174777,11.247167544657772,0.0,Neutral
