Date_Stock,Open,High,Low,Close,Volume,Sentiment_Score,MA_5,MA_10,MA_20,RSI_14,MACD,MACD_signal,Volatility_10,Decayed_Sentiment,Decayed_Prediction
2023-03-12,688.1,694.0,650.0,666.0,1247.0,0.8629575371742249,673.6,669.39,698.53,40.833333333333336,-32.60599507445522,-36.34544600036872,11.81001928689,0.8629575371742249,Strongly Positive
2023-03-09,661.0,700.0,661.0,700.0,1304.0,0.0,674.2,671.0899999999999,702.845,55.05617977528089,-33.57948867794289,-37.28030873184709,12.472765887727236,0.0,Neutral
2023-03-07,660.0,673.0,660.0,668.0,1323.0,0.0,666.6,669.49,705.825,10.253317249698426,-37.7954097692608,-38.205513745323145,8.85317896458308,0.0,Neutral
2023-03-05,676.1,676.1,663.0,663.0,1481.0,0.0,665.0,671.5899999999999,709.925,8.48708487084869,-39.36852491098989,-38.308039739338724,10.748276347657292,0.17690470814704895,Slightly Positive
2023-03-02,666.0,674.0,665.5,671.0,3459.0,0.0,664.4,674.1899999999999,715.725,10.71655041217501,-40.294667875000755,-38.04291844642593,11.553974785090437,0.3538094162940979,Positive
2023-03-01,663.0,674.0,663.0,669.0,2022.0,0.7076188325881958,665.1800000000001,675.89,722.875,26.128016789087084,-41.70520427088388,-37.47998108928222,12.261452696291716,0.7076188325881958,Strongly Positive
2023-02-28,650.2,670.0,650.0,662.0,877.0,0.0,667.98,678.0899999999999,732.925,26.398327234709896,-42.695304117689034,-36.4236752938818,12.847520296888458,0.0,Neutral
2023-02-27,661.1,666.0,653.0,660.0,1641.0,0.0,672.38,691.87,745.325,24.66937945066124,-42.6252816804448,-34.85576808792999,39.63875909035804,0.0,Neutral
2023-02-26,661.5,672.0,651.0,660.0,3567.0,0.0,678.1800000000001,705.67,755.825,28.176527643064986,-41.71226712701025,-32.913389689801285,49.98284261180846,0.0,Neutral
2023-02-23,670.0,674.9,669.0,674.9,1853.0,0.0,683.98,719.1600000000001,764.875,26.37312755333636,-39.94020466605184,-30.713670330499042,54.30470002169004,0.0,Neutral
2023-02-22,676.0,689.0,675.0,683.0,2564.0,0.0,686.6,727.6700000000001,773.13,23.503236245954696,-38.61455105710422,-28.407036746610842,53.2559448950818,0.0,Neutral
2023-02-20,700.0,700.0,682.0,684.0,1101.0,0.0,688.2,734.6,781.98,19.22567835870285,-37.18559607176235,-25.855158168987494,51.26915902048724,0.0684223100543022,Slightly Positive
2023-02-16,688.1,699.0,684.0,689.0,3625.0,0.0,711.36,742.1600000000001,790.0400000000001,17.23013048635825,-34.922666674882294,-23.02254869329378,48.47661979416499,0.1368446201086044,Slightly Positive
2023-02-15,701.0,701.0,689.0,689.0,2201.0,0.2736892402172088,733.1600000000001,748.26,798.3900000000001,26.007423117709436,-32.035470729411486,-20.047519197896648,44.737784179982725,0.2736892402172088,Positive
2023-02-14,691.0,705.9,688.0,688.0,8156.0,0.0,754.3399999999999,757.26,806.69,31.120434353405727,-27.884388330219167,-17.05053131501794,40.3270298104725,0.2303353101015091,Positive
2023-02-12,705.0,725.0,686.0,691.0,6724.0,0.0,768.74,769.86,815.7900000000001,31.522817460317455,-22.078688419537684,-14.34206706121763,35.70139119606928,0.4606706202030182,Positive
2023-02-09,798.0,805.0,784.0,799.8,9228.0,0.9213412404060364,781.0,787.76,825.555,40.426208651399484,-14.652814156529189,-12.407911721637616,36.63077637423571,0.9213412404060364,Strongly Positive
2023-02-08,810.0,812.0,790.0,798.0,5410.0,0.0,772.96,798.78,828.2549999999999,42.79169211973121,-16.039384618558074,-11.846686112914721,53.3953556032874,0.0,Neutral
2023-02-07,763.9,795.0,763.9,794.9,5673.0,0.0,763.36,805.98,830.1,40.883318412414205,-17.392579868368557,-10.798511486503884,57.93948567256646,0.0,Neutral
2023-02-06,759.0,764.0,752.4,760.0,2613.0,0.0,760.1800000000001,810.5899999999999,829.0600000000001,34.22974767596281,-18.551129734586766,-9.149994391037714,58.78772453120722,0.1830354556441307,Slightly Positive
2023-02-05,750.0,765.0,746.0,752.3,4019.0,0.0,770.98,818.5899999999999,828.71,30.92382495948135,-16.206571494965715,-6.799710555150451,56.53864853159604,0.5851095616817474,Positive
2023-02-02,755.0,760.0,736.2,759.6,5817.0,0.7321418225765228,794.52,829.36,828.8449999999999,30.04724409448818,-12.194330665559164,-4.447995320196634,52.6308570243038,1.1702191233634949,Strongly Positive
2023-02-01,763.7,770.1,749.1,750.0,9161.0,0.8761546015739441,824.6,837.9200000000001,828.865,34.753231492361934,-7.639153015435568,-2.5114114838560013,46.644966383207,0.8761546015739441,Strongly Positive
2023-01-31,800.0,825.0,770.2,779.0,4035.0,0.0,848.6,848.5200000000001,827.5649999999999,41.53799576142901,-0.7365204072351617,-1.2294761009611093,35.04780227697734,0.0,Neutral
2023-01-30,855.1,855.1,799.0,814.0,8467.0,0.0,861.0,856.1200000000001,823.615,55.602358887952825,5.131734600427762,-1.352715024392596,25.13628629870701,0.0,Neutral
2023-01-29,928.2,930.0,870.0,870.0,15844.0,0.0,866.2,861.72,819.3399999999999,68.21295143212953,8.983482125111095,-2.9738274305976855,20.524933346799997,0.0,Neutral
2023-01-26,887.4,957.0,887.4,910.0,17264.0,0.0,864.2,863.35,813.3399999999999,77.36581920903956,8.067225589341774,-5.96315481952488,21.85941190632967,0.0,Neutral
2022-07-13,857.0,870.0,840.0,870.0,1909.0,0.0,851.24,857.7299999999999,804.64,72.15954875100726,2.7076803296603202,-9.470749921741543,14.528290409539029,0.0,Neutral
2022-07-12,823.2,848.0,807.1,841.0,2806.0,0.0,848.4399999999999,854.22,799.79,72.92319749216303,-0.09970551567357688,-12.515357484592009,15.445589086334437,0.0,Neutral
2022-07-11,843.0,846.0,827.2,840.0,2054.0,0.0,851.24,847.53,796.74,75.16175413371677,-0.7287731871263077,-15.619270476821615,29.709671077903337,0.0,Neutral
2022-07-08,846.0,860.0,840.0,860.0,799.0,0.0,857.24,838.8299999999999,794.0899999999999,72.93337983955355,-1.4192737686951205,-19.34189479924544,42.250971060523305,0.0,Neutral
