S.N.,Name of Company,Symbol,ISIN,ISIN Type
1,Agricultural Development Bank Limited,ADBL,NPE001A00005,Ordinary Share
2,Api Power Company Limited,API,NPE256A00005,Ordinary Share
3,Hathway Finance Company Limited,HATH,NPE114A00006,Ordinary Share
4,Hathway Finance Company Limited Promoter Share,HATHPO,NPE114A40002,Promoter Share
5,Arun Kabeli Power Limited,AKPL,NPE293A00008,Ordinary Share
6,Arun Valley Hydropower Development Company Limited,AHPC,NPE191A00004,Ordinary Share
7,Asian Life Insurance Company Limited,ALICL,NPE200A00003,Ordinary Share
8,Asian Life Insurance company Limited Promoter Share,ALICLP,NPE200A40009,Promoter Share
9,Bank of Kathmandu Limited,BOKL,NPE003A00001,Ordinary Share
10,Bank of Kathmandu Limited Promoter Share,BOKLPO,NPE003A40007,Promoter Share
11,Barun Hydropower Company Limited,BARUN,NPE254A00000,Ordinary Share
12,Best Finance Company Limited,BFC,NPE125A00002,Ordinary Share
13,Best Finance Company Limited Promoter Share,BFCPO,NPE125A40008,Promoter Share
14,Bhargav Bikash Bank Limited,BHBL,NPE041A00001,Ordinary Share
15,Bhargav Bikash Bank Limited Promoter Share,BHBLPO,NPE041A40007,Promoter Share
16,Bishal Bazar Company Limited,BBC,NPE195A00005,Ordinary Share
17,Bottlers Nepal (Terai) Limited,BNT,NPE173A00002,Ordinary Share
18,Bottlers Nepal Limited (Balaju),BNL,NPE172A00004,Ordinary Share
19,Business Universal Development Bank Limited,BUDBL,NPE045A00002,Ordinary Share
20,Business Universal Development Bank Limited Promoter Share,BUDBLP,NPE045A40008,Promoter Share
21,Butwal Power Company Limited,BPCL,NPE192A00002,Ordinary Share
22,Central Finance Limited,CFCL,NPE117A00009,Ordinary Share
23,Central Finance Limited Promoter Share,CFCLPO,NPE117A40005,Promoter Share
24,Century Commercial Bank Limited,CCBL,NPE243A00003,Ordinary Share
25,Century Commercial Bank Limited Promoter Share,CCBLPO,NPE243A40009,Promoter Share
26,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,NPE046A00000,Ordinary Share
27,Chhyangdi Hydropower Company Limited,CHL,NPE300A00001,Ordinary Share
28,Chilime Hydro power Company Limited,CHCL,NPE193A00000,Ordinary Share
29,Citizen Investment Trust,CIT,NPE119A00005,Ordinary Share
30,Citizens Bank International Limited,CZBIL,NPE011A00004,Ordinary Share
31,Citizens Bank International Limited Promoter Share,CZBILP,NPE011A40000,Promoter Share
32,Civil Bank Limited,CBL,NPE012A00002,Ordinary Share
33,Civil Bank Limited Promoter Share,CBLPO,NPE012A40008,Promoter Share
34,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),HLBSL,NPE267A00002,Ordinary Share
35,Corporate Development Bank Limited,CORBL,NPE050A00002,Ordinary Share
36,Corporate Development Bank Limited Promoter Share,CORBLP,NPE050A40008,Promoter Share
37,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,NPE110A00004,Ordinary Share
38,Deprosc Laghubitta Bittiya Sanstha Limited Promoter share,DDBLPO,NPE110A40000,Promoter Share
39,Deva Bikas Bank Limited,DBBL,NPE078A00003,Ordinary Share
40,Deva Bikas Bank Limited Promoter Share,DBBLPO,NPE078A40009,Promoter Share
41,Dibyashwari Hydropower Company Limited,DHPL,NPE292A00000,Ordinary Share
42,Everest Bank Limited,EBL,NPE016A00003,Ordinary Share
43,Everest Bank Limited Promoter Share,EBLPO,NPE016A40009,Promoter Share
44,Everest Bank Limited Convertible Preference,EBLCP,NPE016A06000,Convertible Preference Share
45,Everest Insurance Company Limited,EIC,NPE201A00001,Ordinary Share
