S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2005-01-20,480.0,280.0,250.0,280.0,0.0,4230.0,0.0
2,2005-01-21,280.0,328.0,294.0,328.0,0.0,70.0,0.0
3,2005-01-24,328.0,371.0,344.0,371.0,0.0,50.0,0.0
4,2005-01-25,371.0,427.0,389.0,427.0,0.0,140.0,0.0
5,2005-01-26,427.0,465.0,448.0,465.0,0.0,500.0,0.0
6,2005-01-27,465.0,460.0,443.0,460.0,0.0,70.0,0.0
7,2005-01-28,460.0,459.0,450.0,459.0,0.0,1010.0,0.0
8,2005-01-31,459.0,460.0,460.0,460.0,0.0,10.0,0.0
9,2005-02-03,460.0,480.0,480.0,480.0,0.0,10.0,0.0
10,2005-02-04,480.0,490.0,490.0,490.0,0.0,50.0,0.0
11,2005-02-08,490.0,480.0,480.0,480.0,0.0,10.0,0.0
12,2005-02-09,480.0,460.0,456.0,460.0,0.0,510.0,0.0
13,2005-02-10,460.0,456.0,456.0,456.0,0.0,650.0,0.0
14,2005-02-11,456.0,478.0,478.0,478.0,0.0,60.0,0.0
15,2005-02-14,478.0,460.0,460.0,460.0,0.0,1550.0,0.0
16,2005-02-15,460.0,479.0,470.0,479.0,0.0,510.0,0.0
17,2005-02-17,479.0,502.0,500.0,500.0,0.0,1170.0,0.0
18,2005-02-21,500.0,500.0,500.0,500.0,0.0,500.0,0.0
19,2005-02-23,500.0,500.0,500.0,500.0,0.0,2500.0,0.0
20,2005-03-03,500.0,475.0,475.0,475.0,0.0,50.0,0.0
21,2005-03-15,475.0,452.0,452.0,452.0,0.0,50.0,0.0
22,2005-03-16,452.0,430.0,430.0,430.0,0.0,500.0,0.0
23,2005-03-18,430.0,440.0,440.0,440.0,0.0,170.0,0.0
24,2005-03-24,440.0,419.0,419.0,419.0,0.0,50.0,0.0
25,2005-03-31,419.0,427.0,419.0,427.0,0.0,1030.0,0.0
26,2005-04-01,427.0,446.0,446.0,446.0,0.0,10000.0,0.0
27,2005-04-05,446.0,425.0,425.0,425.0,0.0,350.0,0.0
28,2005-04-06,425.0,425.0,419.0,425.0,0.0,850.0,0.0
29,2005-04-08,425.0,446.0,446.0,446.0,0.0,10.0,0.0
30,2005-04-11,446.0,438.0,430.0,438.0,0.0,510.0,0.0
31,2005-04-12,438.0,453.0,453.0,453.0,0.0,10.0,0.0
32,2005-04-13,453.0,460.0,460.0,460.0,0.0,10.0,0.0
33,2005-04-18,460.0,470.0,470.0,470.0,0.0,10.0,0.0
34,2005-04-24,470.0,475.0,475.0,475.0,0.0,1000.0,0.0
35,2005-04-25,475.0,480.0,480.0,480.0,0.0,10.0,0.0
36,2005-04-26,480.0,470.0,470.0,470.0,0.0,1000.0,0.0
