S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2005-02-09,115.0,115.0,115.0,115.0,0.0,140.0,0.0
2,2005-02-25,115.0,105.0,105.0,105.0,0.0,600.0,0.0
3,2005-08-28,105.0,110.0,110.0,110.0,0.0,50.0,0.0
4,2005-09-01,110.0,105.0,105.0,105.0,0.0,250.0,0.0
5,2005-12-13,105.0,105.0,105.0,105.0,0.0,140.0,0.0
6,2006-04-03,105.0,100.0,100.0,100.0,0.0,10.0,0.0
7,2006-11-27,100.0,105.0,105.0,105.0,0.0,90.0,0.0
8,2007-04-02,105.0,120.0,120.0,120.0,0.0,100.0,0.0
9,2007-04-03,120.0,126.0,126.0,126.0,0.0,10.0,0.0
10,2007-04-04,126.0,132.0,132.0,132.0,0.0,10.0,0.0
11,2007-04-09,132.0,140.0,138.0,140.0,0.0,80.0,0.0
12,2007-04-16,140.0,147.0,147.0,147.0,0.0,10.0,0.0
13,2007-04-23,147.0,160.0,154.0,160.0,0.0,320.0,0.0
14,2007-04-26,160.0,168.0,168.0,168.0,0.0,10.0,0.0
15,2007-04-30,168.0,176.0,176.0,176.0,0.0,60.0,0.0
16,2007-05-03,176.0,180.0,180.0,180.0,0.0,250.0,0.0
17,2007-05-10,180.0,189.0,189.0,189.0,0.0,100.0,0.0
18,2007-05-14,189.0,198.0,198.0,198.0,0.0,400.0,0.0
19,2007-05-23,198.0,207.0,207.0,207.0,0.0,500.0,0.0
20,2007-05-30,207.0,217.0,217.0,217.0,0.0,250.0,0.0
21,2007-06-03,217.0,225.0,225.0,225.0,0.0,390.0,0.0
22,2007-06-13,225.0,230.0,230.0,230.0,0.0,600.0,0.0
23,2007-06-25,230.0,231.0,231.0,231.0,0.0,690.0,0.0
24,2007-07-10,231.0,242.0,242.0,242.0,0.0,420.0,0.0
25,2007-07-25,242.0,242.0,242.0,242.0,0.0,850.0,0.0
26,2007-08-02,242.0,242.0,242.0,242.0,0.0,100.0,0.0
27,2007-08-06,242.0,242.0,242.0,242.0,0.0,920.0,0.0
28,2007-08-23,242.0,242.0,242.0,242.0,0.0,100.0,0.0
29,2007-12-04,242.0,246.0,246.0,246.0,0.0,200.0,0.0
