S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2016-11-27,135.0,135.0,135.0,135.0,0.0,43846.0,5919210.0
2,2016-11-29,135.0,135.0,135.0,135.0,0.0,10738.0,1449630.0
3,2016-12-04,135.0,135.0,135.0,135.0,0.0,48784.0,6585840.0
4,2016-12-06,135.0,135.0,135.0,135.0,0.0,13664.0,1844640.0
5,2016-12-07,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
6,2016-12-08,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
7,2016-12-11,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
8,2016-12-12,135.0,135.0,135.0,135.0,0.0,2440.0,329400.0
9,2016-12-21,135.0,135.0,135.0,135.0,0.0,10260.0,1385100.0
10,2016-12-28,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
11,2017-01-02,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
12,2017-01-04,135.0,135.0,135.0,135.0,0.0,15640.0,2111400.0
13,2017-01-05,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
14,2017-01-08,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
15,2017-01-09,135.0,135.0,135.0,135.0,0.0,5232.0,706320.0
16,2017-01-10,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
17,2017-01-11,135.0,135.0,135.0,135.0,0.0,16490.0,2226150.0
18,2017-01-12,135.0,135.0,135.0,135.0,0.0,108341.0,14626035.0
19,2017-01-15,135.0,135.0,135.0,135.0,0.0,19520.0,2635200.0
20,2017-01-17,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
21,2017-01-22,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
22,2017-01-23,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
23,2017-01-24,135.0,135.0,135.0,135.0,0.0,65394.0,8828190.0
24,2017-01-25,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
25,2017-01-31,135.0,135.0,135.0,135.0,0.0,6344.0,856440.0
26,2017-02-08,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
27,2017-02-12,135.0,135.0,135.0,135.0,0.0,1952.0,263520.0
28,2017-02-23,135.0,135.0,135.0,135.0,0.0,4880.0,658800.0
29,2017-03-16,135.0,135.0,135.0,135.0,0.0,14640.0,1976400.0
30,2017-03-19,135.0,135.0,135.0,135.0,0.0,5600.0,756000.0
31,2017-04-04,135.0,137.0,135.0,135.0,0.0,19880.0,2713800.0
32,2017-04-12,135.0,135.0,135.0,135.0,0.0,976.0,131760.0
33,2017-04-18,135.0,135.0,135.0,135.0,0.0,9679.0,1306665.0
34,2017-04-19,135.0,135.0,135.0,135.0,0.0,6832.0,922320.0
35,2017-04-26,135.0,135.0,135.0,135.0,0.0,73300.0,9895500.0
36,2017-04-27,135.0,135.0,135.0,135.0,0.0,42046.0,5676210.0
37,2017-05-02,135.0,137.0,133.0,135.0,0.0,197117.0,26579180.0
38,2017-06-13,135.0,135.0,135.0,135.0,0.0,9760.0,1317600.0
39,2017-06-14,135.0,135.0,135.0,135.0,0.0,17080.0,2305800.0
40,2017-06-15,135.0,135.0,135.0,135.0,0.0,2928.0,395280.0
41,2017-06-21,135.0,135.0,135.0,135.0,0.0,15422.0,2081970.0
42,2017-07-23,135.0,135.0,135.0,135.0,0.0,976.0,131760.0
43,2017-08-13,135.0,133.0,133.0,133.0,0.0,105608.0,14045864.0
44,2017-08-20,133.0,131.0,131.0,131.0,0.0,13144.0,1721864.0
45,2017-08-31,131.0,131.0,131.0,131.0,0.0,6768.0,886608.0
46,2017-09-04,131.0,131.0,131.0,131.0,0.0,10915.0,1429865.0
47,2017-09-14,131.0,131.0,131.0,131.0,0.0,1000.0,131000.0
48,2017-10-16,131.0,131.0,131.0,131.0,0.0,50208.0,6577248.0
49,2017-11-12,131.0,131.0,131.0,131.0,0.0,2008.0,263048.0
50,2017-11-14,131.0,131.0,131.0,131.0,0.0,8830.0,1156730.0
51,2017-11-20,131.0,131.0,131.0,131.0,0.0,70440.0,9227640.0
52,2018-02-07,131.0,129.0,129.0,129.0,0.0,25103.0,3238287.0
53,2018-03-27,127.0,127.0,127.0,127.0,-1.55,14123.0,1793621.0
54,2018-08-02,120.0,120.0,120.0,120.0,0.0,101650.0,12198000.0
55,2018-09-09,120.0,120.0,120.0,120.0,0.0,40659.0,4879080.0
56,2018-09-13,120.0,120.0,120.0,120.0,0.0,10041.0,1204920.0
57,2018-10-04,120.0,120.0,120.0,120.0,0.0,7078.0,849360.0
58,2018-10-07,120.0,120.0,120.0,120.0,0.0,15647.0,1877640.0
59,2018-11-21,120.0,120.0,120.0,120.0,0.0,14059.0,1687080.0
60,2019-01-24,118.0,118.0,118.0,118.0,-1.67,40165.0,4739470.0
61,2019-01-28,118.0,118.0,118.0,118.0,0.0,165749.0,19558382.0
62,2019-02-13,118.0,118.0,118.0,118.0,0.0,17070.0,2014260.0
63,2019-03-07,118.0,118.0,118.0,118.0,0.0,8281.0,977158.0
64,2019-04-04,118.0,118.0,118.0,118.0,0.0,18000.0,2124000.0
65,2019-04-22,118.0,118.0,118.0,118.0,0.0,1400.0,165200.0
66,2019-04-28,116.0,116.0,116.0,116.0,-1.69,5000.0,580000.0
67,2019-06-23,114.0,114.0,110.0,110.0,-5.17,201574.0,22385436.0
68,2019-06-24,110.0,110.0,110.0,110.0,0.0,50000.0,5500000.0
69,2019-06-27,110.0,110.0,110.0,110.0,0.0,50000.0,5500000.0
70,2019-07-10,100.0,100.0,100.0,100.0,-9.09,1753594.0,175359392.0
71,2019-07-17,100.0,100.0,100.0,100.0,0.0,135507.0,13550700.0
72,2019-08-06,100.0,100.0,100.0,100.0,0.0,10041.0,1004100.0
73,2019-08-08,100.0,100.0,100.0,100.0,0.0,177607.0,17760700.0
74,2019-08-12,100.0,100.0,100.0,100.0,0.0,55000.0,5500000.0
75,2019-08-14,100.0,100.0,100.0,100.0,0.0,55000.0,5500000.0
76,2019-08-15,100.0,100.0,100.0,100.0,0.0,41319.0,4131900.0
77,2019-09-09,100.0,100.0,100.0,100.0,0.0,400000.0,40000000.0
78,2019-09-11,100.0,100.0,100.0,100.0,0.0,31000.0,3100000.0
79,2019-11-18,100.0,100.0,100.0,100.0,0.0,34098.0,3409800.0
80,2019-11-20,100.0,100.0,100.0,100.0,0.0,3100.0,310000.0
81,2019-11-25,100.0,100.0,100.0,100.0,0.0,24382.0,2438200.0
82,2019-11-27,100.0,100.0,100.0,100.0,0.0,40000.0,4000000.0
83,2019-12-03,100.0,100.0,100.0,100.0,0.0,46497.0,4649700.0
84,2019-12-05,100.0,100.0,100.0,100.0,0.0,935.0,93500.0
85,2020-01-09,100.0,100.0,100.0,100.0,0.0,2018661.0,201866096.0
86,2020-01-15,100.25,100.25,100.25,100.25,0.25,7203.0,722100.0
87,2020-01-16,100.25,100.25,100.25,100.25,0.0,4195.0,420549.0
88,2020-03-05,100.0,100.0,100.0,100.0,-0.25,55354.0,5535400.0
89,2020-08-27,100.0,100.0,100.0,100.0,0.0,60000.0,6000000.0
90,2020-09-15,100.0,100.0,100.0,100.0,0.0,4694.0,469400.0
91,2020-10-29,100.0,100.0,100.0,100.0,0.0,22141.0,2214100.0
92,2020-12-08,102.0,102.0,102.0,102.0,2.0,31000.0,3162000.0
93,2021-01-21,102.0,102.0,102.0,102.0,0.0,275255.0,28076010.0
94,2021-02-02,102.0,102.0,102.0,102.0,0.0,43000.0,4386000.0
95,2021-03-22,101.0,101.0,101.0,101.0,-0.98,21520.0,2173520.0
96,2021-08-18,161.0,161.0,161.0,161.0,-0.62,8369.0,1347409.0
97,2021-09-29,161.0,161.0,161.0,161.0,0.0,11956.0,1924916.0
98,2021-11-23,161.0,161.0,161.0,161.0,0.0,16544.0,2663584.0
99,2022-01-03,161.0,161.0,161.0,161.0,0.0,31920.0,5139120.0
100,2022-04-06,121.0,121.0,121.0,121.0,-1.63,62767.0,7594807.0
101,2022-05-09,121.0,121.0,121.0,121.0,0.0,3105.0,375705.0
102,2022-07-08,121.0,121.0,121.0,121.0,0.0,5023.0,607783.0
103,2023-01-02,130.0,130.0,130.0,130.0,7.44,58680.0,7628400.0
104,2023-02-05,130.0,130.0,130.0,130.0,0.0,25108.0,3264040.0
105,2023-02-15,130.0,130.0,130.0,130.0,0.0,68040.0,8845200.0
106,2023-02-22,130.0,130.0,130.0,130.0,0.0,6277.0,816010.0
