S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2014-06-08,0.0,284.0,260.0,280.0,0.0,98049.0,27306808.0
2,2014-06-09,280.0,280.0,270.0,274.0,0.0,119894.0,32920286.0
3,2014-06-10,274.0,278.0,269.0,276.0,0.0,75947.0,20767540.0
4,2014-06-11,276.0,286.0,274.0,282.0,0.0,50258.0,14116838.0
5,2014-06-12,282.0,296.0,280.0,296.0,0.0,69819.0,20037660.0
6,2014-06-15,296.0,325.0,292.0,325.0,0.0,103028.0,31961850.0
7,2014-06-16,325.0,352.0,319.0,334.0,0.0,86587.0,29132348.0
8,2014-06-17,334.0,348.0,322.0,336.0,0.0,71650.0,23957894.0
9,2014-06-18,336.0,338.0,320.0,323.0,0.0,34780.0,11519897.0
10,2014-06-19,323.0,320.0,308.0,308.0,0.0,38719.0,12111033.0
11,2014-06-23,308.0,314.0,303.0,310.0,0.0,19638.0,6001845.0
12,2014-06-24,310.0,325.0,298.0,314.0,0.0,28200.0,8757127.0
13,2014-06-25,314.0,320.0,310.0,311.0,0.0,27323.0,8588877.0
14,2014-06-26,311.0,326.0,307.0,320.0,0.0,34601.0,10866630.0
15,2014-06-29,320.0,326.0,315.0,320.0,0.0,28891.0,9244631.0
16,2014-06-30,320.0,319.0,314.0,318.0,0.0,26483.0,8355000.0
17,2014-07-01,318.0,320.0,310.0,317.0,0.0,18947.0,5986501.0
18,2014-07-02,317.0,317.0,312.0,316.0,0.0,28593.0,9006144.0
19,2014-07-03,316.0,320.0,312.0,316.0,0.0,23235.0,7336948.0
20,2014-07-06,316.0,320.0,310.0,319.0,0.0,35908.0,11345629.0
21,2014-07-07,319.0,329.0,314.0,327.0,0.0,40097.0,12988091.0
22,2014-07-08,327.0,339.0,324.0,332.0,0.0,29840.0,9919199.0
23,2014-07-09,332.0,333.0,326.0,326.0,0.0,22179.0,7303807.0
24,2014-07-10,326.0,340.0,320.0,335.0,0.0,17900.0,5884010.0
25,2014-07-13,335.0,358.0,335.0,340.0,0.0,48036.0,16464867.0
26,2014-07-14,340.0,342.0,328.0,332.0,0.0,18449.0,6187381.0
27,2014-07-15,332.0,334.0,324.0,329.0,0.0,22616.0,7433477.0
28,2014-07-16,329.0,340.0,328.0,331.0,0.0,22560.0,7535735.0
29,2014-07-17,331.0,340.0,328.0,340.0,0.0,20556.0,6898570.0
30,2014-07-20,340.0,351.0,340.0,349.0,0.0,40194.0,13960644.0
31,2014-07-21,349.0,382.0,349.0,360.0,0.0,39296.0,14169286.0
32,2014-07-22,360.0,364.0,351.0,364.0,0.0,29289.0,10406807.0
33,2014-07-23,364.0,372.0,354.0,370.0,0.0,31024.0,11353450.0
34,2014-07-24,370.0,375.0,366.0,370.0,0.0,29450.0,10895335.0
35,2014-07-27,370.0,371.0,357.0,364.0,0.0,16924.0,6136455.0
36,2014-07-28,364.0,365.0,350.0,355.0,0.0,8857.0,3151361.0
37,2014-07-30,355.0,360.0,345.0,352.0,0.0,26602.0,9351710.0
38,2014-07-31,352.0,358.0,348.0,354.0,0.0,21923.0,7729198.0
39,2014-08-03,354.0,352.0,340.0,343.0,0.0,11652.0,4039356.0
40,2014-08-04,343.0,347.0,335.0,339.0,0.0,20964.0,7139237.0
41,2014-08-05,339.0,346.0,335.0,346.0,0.0,18455.0,6304970.0
42,2014-08-06,346.0,346.0,331.0,336.0,0.0,16391.0,5530666.0
43,2014-08-07,336.0,349.0,326.0,338.0,0.0,23218.0,7791096.0
44,2014-08-12,338.0,334.0,326.0,329.0,0.0,4335.0,1431771.0
45,2014-08-13,329.0,340.0,315.0,330.0,0.0,19453.0,6356155.0
46,2014-08-14,330.0,335.0,324.0,330.0,0.0,10462.0,3453121.0
47,2014-08-18,330.0,330.0,311.0,318.0,0.0,13306.0,4259491.0
48,2014-08-19,318.0,332.0,318.0,325.0,0.0,18825.0,6131712.0
49,2014-08-20,325.0,325.0,312.0,315.0,0.0,10831.0,3420412.0
50,2014-08-21,315.0,325.0,300.0,325.0,0.0,20477.0,6443973.0
51,2014-08-24,325.0,326.0,310.0,315.0,0.0,10161.0,3225487.0
52,2014-08-25,315.0,310.0,296.0,304.0,0.0,18445.0,5583055.0
53,2014-08-26,304.0,327.0,300.0,300.0,0.0,13485.0,4173405.0
54,2014-08-27,300.0,320.0,306.0,315.0,0.0,20282.0,6346578.0
55,2014-08-28,315.0,322.0,311.0,322.0,0.0,27336.0,8633124.0
56,2014-08-31,322.0,320.0,298.0,306.0,0.0,22503.0,6900913.0
57,2014-09-01,306.0,309.0,297.0,302.0,0.0,9771.0,2939887.0
58,2014-09-03,302.0,310.0,297.0,301.0,0.0,19163.0,5813435.0
59,2014-09-04,301.0,305.0,288.0,295.0,0.0,21562.0,6371218.0
60,2014-09-07,295.0,296.0,270.0,275.0,0.0,18002.0,5019283.0
61,2014-09-09,275.0,302.0,275.0,302.0,0.0,10197.0,3000902.0
62,2014-09-10,302.0,314.0,287.0,292.0,0.0,24239.0,7318029.0
63,2014-09-11,292.0,300.0,282.0,294.0,0.0,18762.0,5428917.0
64,2014-09-14,294.0,295.0,281.0,295.0,0.0,8866.0,2541791.0
65,2014-09-15,295.0,295.0,285.0,289.0,0.0,8593.0,2496745.0
66,2014-09-16,289.0,292.0,284.0,285.0,0.0,14342.0,4127915.0
67,2014-09-17,285.0,290.0,281.0,285.0,0.0,8288.0,2363514.0
68,2014-09-18,285.0,288.0,280.0,282.0,0.0,6925.0,1962927.0
69,2014-09-21,282.0,286.0,265.0,270.0,0.0,9109.0,2493003.0
70,2014-09-22,270.0,277.0,269.0,276.0,0.0,12823.0,3498776.0
71,2014-09-23,276.0,286.0,266.0,285.0,0.0,9922.0,2783322.0
72,2014-09-24,285.0,290.0,278.0,287.0,0.0,9516.0,2717001.0
73,2014-09-28,287.0,297.0,287.0,293.0,0.0,10129.0,2951883.0
74,2014-09-29,293.0,304.0,288.0,301.0,0.0,7995.0,2367520.0
75,2014-09-30,301.0,299.0,286.0,295.0,0.0,8806.0,2548918.0
76,2014-10-08,295.0,298.0,279.0,286.0,0.0,2554.0,735220.0
77,2014-10-09,286.0,285.0,281.0,283.0,0.0,2441.0,690944.0
78,2014-10-12,283.0,288.0,277.0,280.0,0.0,7010.0,1965234.0
79,2014-10-13,280.0,285.0,276.0,279.0,0.0,12047.0,3359592.0
80,2014-10-14,279.0,283.0,276.0,278.0,0.0,17504.0,4887299.0
81,2014-10-15,278.0,282.0,261.0,280.0,0.0,19231.0,5343466.0
82,2014-10-16,280.0,289.0,279.0,282.0,0.0,10377.0,2954005.0
83,2014-10-19,282.0,283.0,276.0,280.0,0.0,5854.0,1634080.0
84,2014-10-20,280.0,290.0,264.0,285.0,0.0,9488.0,2681999.0
85,2014-10-21,285.0,285.0,277.0,281.0,0.0,6821.0,1902874.0
86,2014-10-22,281.0,290.0,280.0,287.0,0.0,5623.0,1608258.0
87,2014-10-26,287.0,289.0,284.0,284.0,0.0,1452.0,418104.0
88,2014-10-27,284.0,289.0,280.0,282.0,0.0,12057.0,3399852.0
89,2014-10-28,282.0,285.0,280.0,285.0,0.0,7558.0,2140665.0
90,2014-10-30,285.0,286.0,280.0,281.0,0.0,4238.0,1199763.0
91,2014-11-02,281.0,282.0,277.0,278.0,0.0,10725.0,3005798.0
92,2014-11-03,278.0,279.0,270.0,275.0,0.0,10222.0,2810761.0
93,2014-11-04,275.0,276.0,265.0,270.0,0.0,9489.0,2549398.0
94,2014-11-05,270.0,277.0,261.0,272.0,0.0,15837.0,4278428.0
95,2014-11-06,272.0,275.0,269.0,272.0,0.0,16386.0,4427099.0
96,2014-11-09,272.0,275.0,266.0,269.0,0.0,8400.0,2263525.0
97,2014-11-10,269.0,269.0,255.0,260.0,0.0,21037.0,5462838.0
98,2014-11-11,260.0,270.0,257.0,270.0,0.0,5767.0,1507421.0
99,2014-11-12,270.0,271.0,264.0,268.0,0.0,11078.0,2953070.0
100,2014-11-13,268.0,268.0,263.0,265.0,0.0,3351.0,889803.0
101,2014-11-16,265.0,265.0,255.0,259.0,0.0,6544.0,1701472.0
102,2014-11-17,259.0,268.0,245.0,253.0,0.0,4442.0,1112662.0
103,2014-11-18,253.0,258.0,228.0,242.0,0.0,8102.0,1968949.0
104,2014-11-19,242.0,248.0,240.0,246.0,0.0,6604.0,1621742.0
105,2014-11-20,246.0,265.0,249.0,260.0,0.0,6856.0,1772446.0
106,2014-11-23,260.0,266.0,255.0,259.0,0.0,8613.0,2245481.0
107,2014-11-24,259.0,264.0,255.0,258.0,0.0,6233.0,1608377.0
108,2014-11-25,258.0,260.0,250.0,259.0,0.0,5556.0,1418299.0
109,2014-11-30,259.0,260.0,250.0,254.0,0.0,7734.0,1960048.0
110,2014-12-01,254.0,257.0,248.0,252.0,0.0,9702.0,2423051.0
111,2014-12-02,252.0,253.0,248.0,249.0,0.0,9785.0,2443770.0
112,2014-12-03,249.0,261.0,248.0,250.0,0.0,13842.0,3473869.0
113,2014-12-04,250.0,265.0,246.0,252.0,0.0,7867.0,1972633.0
