S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2017-05-21,105.0,105.0,105.0,105.0,0.0,35000.0,3675000.0
2,2017-05-22,105.0,105.0,105.0,105.0,0.0,30000.0,3150000.0
3,2017-07-17,105.0,103.0,100.0,100.0,0.0,313110.0,31662750.0
4,2017-07-18,100.0,100.0,100.0,100.0,0.0,82500.0,8250000.0
5,2018-03-26,100.0,100.0,100.0,100.0,0.0,60000.0,6000000.0
6,2018-03-27,100.0,100.0,100.0,100.0,0.0,53700.0,5370000.0
7,2018-10-15,101.0,101.0,101.0,101.0,0.0,72800.0,7352800.0
8,2018-10-28,101.0,101.0,101.0,101.0,0.0,43000.0,4343000.0
9,2018-12-05,101.0,101.0,101.0,101.0,0.0,18000.0,1818000.0
10,2018-12-06,101.0,101.0,101.0,101.0,0.0,1000.0,101000.0
11,2019-06-10,100.0,100.0,100.0,100.0,-0.99,159334.0,15933400.0
12,2019-09-01,100.0,100.0,100.0,100.0,0.0,40001.0,4000100.0
