S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-06-08,304.0,310.0,310.0,310.0,0.0,10.0,3100.0
2,2011-08-04,310.0,310.0,310.0,310.0,0.0,33.0,10230.0
3,2011-08-09,310.0,310.0,310.0,310.0,0.0,33.0,10230.0
4,2011-08-11,310.0,316.0,315.0,316.0,0.0,30.0,9470.0
5,2011-08-17,316.0,310.0,310.0,310.0,0.0,603.0,186930.0
6,2011-08-28,310.0,310.0,310.0,310.0,0.0,20.0,6200.0
7,2011-08-29,310.0,310.0,310.0,310.0,0.0,33.0,10230.0
8,2011-09-18,310.0,310.0,310.0,310.0,0.0,404.0,125240.0
9,2011-10-19,310.0,315.0,310.0,315.0,0.0,177.0,55085.0
10,2011-10-23,315.0,315.0,315.0,315.0,0.0,66.0,20790.0
11,2012-01-29,315.0,315.0,315.0,315.0,0.0,23.0,7245.0
12,2012-01-31,315.0,310.0,310.0,310.0,0.0,1350.0,418500.0
13,2012-02-09,310.0,315.0,315.0,315.0,0.0,15.0,4725.0
14,2012-03-20,315.0,309.0,292.0,292.0,0.0,112.0,33793.0
15,2012-03-28,292.0,287.0,282.0,282.0,0.0,66.0,18777.0
16,2012-04-05,282.0,277.0,272.0,272.0,0.0,93.0,25461.0
17,2012-05-20,272.0,267.0,267.0,267.0,0.0,33.0,8811.0
18,2012-05-21,267.0,262.0,262.0,262.0,0.0,33.0,8646.0
19,2012-07-03,262.0,267.0,267.0,267.0,0.0,30.0,8010.0
20,2012-07-11,267.0,272.0,268.0,268.0,0.0,66.0,17820.0
21,2012-07-30,268.0,273.0,273.0,273.0,0.0,33.0,9009.0
22,2012-08-01,273.0,274.0,274.0,274.0,0.0,16.0,4384.0
23,2012-08-07,274.0,274.0,273.0,274.0,0.0,100.0,27333.0
24,2012-08-26,274.0,289.0,279.0,289.0,0.0,133.0,37772.0
25,2012-08-27,289.0,299.0,294.0,299.0,0.0,99.0,29436.0
26,2012-09-02,299.0,322.0,304.0,322.0,0.0,165.0,51942.0
27,2012-09-06,322.0,316.0,316.0,316.0,0.0,33.0,10428.0
28,2012-09-09,316.0,328.0,322.0,328.0,0.0,100.0,32398.0
29,2012-09-10,328.0,334.0,334.0,334.0,0.0,60.0,20040.0
30,2012-09-11,334.0,328.0,325.0,325.0,0.0,10000.0,3251500.0
31,2012-10-03,325.0,357.0,331.0,357.0,0.0,229.0,79231.0
32,2012-10-04,357.0,364.0,364.0,364.0,0.0,30.0,10920.0
33,2012-10-07,364.0,385.0,371.0,385.0,0.0,99.0,37422.0
34,2012-10-08,385.0,422.0,392.0,406.0,0.0,217.0,88141.0
35,2012-10-09,406.0,405.0,398.0,405.0,0.0,159.0,64325.0
36,2013-01-06,405.0,397.0,390.0,390.0,0.0,189.0,74844.0
37,2013-02-13,390.0,383.0,383.0,383.0,0.0,16.0,6128.0
38,2013-03-11,383.0,376.0,355.0,355.0,0.0,186.0,67794.0
39,2013-03-13,355.0,348.0,348.0,348.0,0.0,30.0,10440.0
40,2013-06-10,348.0,342.0,336.0,336.0,0.0,26.0,8832.0
41,2013-06-11,336.0,330.0,318.0,318.0,0.0,43.0,13872.0
42,2013-06-13,318.0,312.0,289.0,289.0,0.0,122.0,36255.0
43,2013-06-16,289.0,284.0,279.0,279.0,0.0,40.0,11260.0
44,2013-06-17,279.0,274.0,274.0,274.0,0.0,20.0,5480.0
