S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2019-12-08,187.0,187.0,187.0,187.0,0.0,25000.0,4675000.0
2,2020-12-28,192.0,211.0,192.0,187.0,0.0,3194.0,637748.0
3,2021-04-26,187.0,187.0,187.0,187.0,0.0,3700.0,1065400.0
4,2021-07-22,634.0,634.0,634.0,634.0,0.0,1372.0,869848.0
5,2021-08-10,634.0,634.0,634.0,634.0,0.0,159.0,100806.0
6,2021-09-02,634.0,634.0,634.0,634.0,0.0,1100.0,331155.0
7,2022-02-16,564.0,564.0,564.0,564.0,0.0,1272.0,717408.0
8,2022-04-05,564.0,564.0,564.0,564.0,0.0,12000.0,4210000.0
9,2022-06-28,564.0,564.0,564.0,564.0,0.0,400.0,176000.0
10,2023-06-18,564.0,564.0,564.0,564.0,0.0,274982.0,103943196.0
