S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2016-06-19,10.0,10.0,10.0,10.0,0.0,1000.0,10000.0
2,2016-06-26,10.0,10.1,10.1,10.1,0.0,4747.0,47945.0
3,2016-06-29,10.1,10.3,10.3,10.3,0.0,4747.0,48894.0
4,2016-06-30,10.3,10.93,10.51,10.93,0.0,12000.0,128010.0
5,2016-07-06,10.93,11.15,11.15,11.15,0.0,5000.0,55750.0
6,2016-07-10,11.15,11.37,11.37,11.37,0.0,2000.0,22740.0
7,2016-07-11,11.37,12.51,11.21,12.51,0.0,33000.0,389580.0
8,2016-07-12,12.51,12.85,12.35,12.45,0.0,25500.0,322425.0
9,2016-07-13,12.45,12.4,12.2,12.2,0.0,72500.0,891950.0
10,2016-07-14,12.2,12.1,11.96,11.96,0.0,29000.0,350340.0
11,2016-07-17,11.96,12.05,11.9,11.95,0.0,39500.0,472450.0
12,2016-07-18,11.95,12.19,11.85,12.02,0.0,150000.0,1787750.0
13,2016-07-19,12.02,12.15,12.01,12.15,0.0,50115.0,606841.0
14,2016-07-20,12.15,12.0,11.9,12.0,0.0,150000.0,1796550.0
15,2016-07-21,12.0,13.0,12.0,12.35,0.0,336213.0,4167681.0
16,2016-07-25,12.35,12.8,12.2,12.8,0.0,91000.0,1146300.0
17,2016-07-26,12.8,13.35,12.8,13.2,0.0,201747.0,2645174.0
18,2016-07-27,13.2,13.74,13.2,13.38,0.0,103500.0,1384445.0
19,2016-07-28,13.38,13.25,13.0,13.0,0.0,4358585.0,56664656.0
20,2016-07-31,13.0,13.1,12.8,12.8,0.0,40500.0,522245.0
21,2016-08-01,12.8,13.02,13.0,13.02,0.0,55000.0,715400.0
22,2016-08-02,13.02,13.0,13.0,13.0,0.0,23000.0,299000.0
23,2016-08-03,13.0,13.26,12.99,13.1,0.0,73546.0,962083.0
24,2016-08-04,13.1,13.1,13.01,13.02,0.0,80752.0,1056622.0
25,2016-08-07,13.02,13.28,13.0,13.0,0.0,65000.0,854269.0
26,2016-08-10,13.0,13.0,12.8,12.81,0.0,28466.0,368338.0
27,2016-08-11,12.81,13.07,13.07,13.07,0.0,5000.0,65350.0
28,2016-08-14,13.07,13.0,12.8,12.9,0.0,30500.0,392240.0
29,2016-08-15,12.9,12.9,12.9,12.9,0.0,1000.0,12900.0
30,2016-08-17,12.9,13.0,12.97,12.97,0.0,6500.0,84435.0
31,2016-08-21,12.97,13.0,12.71,12.71,0.0,30500.0,392180.0
32,2016-08-24,12.71,12.6,12.5,12.5,0.0,15000.0,188250.0
33,2016-08-28,12.5,12.5,12.25,12.25,0.0,7000.0,86250.0
34,2016-08-30,12.25,12.5,12.3,12.35,0.0,19747.0,244125.0
35,2016-09-03,12.35,12.6,12.36,12.36,0.0,21955.0,274433.0
36,2016-09-04,12.35,12.6,12.36,12.36,0.0,21955.0,274433.0
37,2016-09-07,12.36,12.12,12.12,12.12,0.0,2000.0,24240.0
38,2016-09-08,12.12,12.0,12.0,12.0,0.0,10000.0,120000.0
39,2016-09-11,12.0,12.23,12.2,12.23,0.0,6600.0,80568.0
40,2016-09-12,12.23,12.3,12.05,12.1,0.0,6000.0,73225.0
41,2016-09-14,12.1,12.2,12.0,12.0,0.0,25086.0,301692.0
42,2016-09-20,12.0,11.8,11.57,11.7,0.0,7247.0,84695.0
43,2016-09-21,11.7,11.48,11.48,11.48,0.0,4000.0,45920.0
44,2016-09-22,11.48,11.48,11.25,11.48,0.0,9493.0,107026.0
45,2016-09-25,11.48,11.25,11.25,11.25,0.0,5000.0,56250.0
46,2016-09-27,11.25,11.71,11.48,11.71,0.0,11900.0,138609.0
47,2016-09-28,11.71,11.85,11.85,11.85,0.0,2000.0,23700.0
48,2016-09-29,11.85,11.85,11.8,11.85,0.0,3000.0,35475.0
49,2016-10-06,11.85,11.75,11.75,11.75,0.0,5000.0,58750.0
50,2016-10-16,11.75,11.98,11.98,11.98,0.0,5000.0,59900.0
51,2016-10-17,11.98,12.0,11.98,12.0,0.0,13200.0,158240.0
52,2016-10-19,12.0,12.1,12.0,12.0,0.0,5600.0,67250.0
53,2016-10-20,12.0,12.0,12.0,12.0,0.0,1200.0,14400.0
54,2016-10-23,12.0,12.0,12.0,12.0,0.0,2500.0,30000.0
55,2016-10-24,12.0,11.85,11.75,11.75,0.0,6000.0,70600.0
56,2016-10-25,11.75,11.75,11.75,11.75,0.0,2500.0,29375.0
57,2016-10-27,11.75,11.75,11.74,11.75,0.0,5193.0,61016.0
58,2016-11-03,11.75,11.75,11.65,11.66,0.0,10000.0,116730.0
59,2016-11-08,11.66,11.43,11.43,11.43,0.0,800.0,9144.0
60,2016-11-10,11.43,11.21,11.21,11.21,0.0,5000.0,56050.0
61,2016-11-13,11.21,11.46,11.43,11.45,0.0,4500.0,51499.0
62,2016-11-15,11.45,11.45,11.41,11.41,0.0,18986.0,217010.0
63,2016-11-17,11.41,11.5,11.4,11.4,0.0,2500.0,28630.0
64,2016-11-20,11.4,11.4,11.4,11.4,0.0,1000.0,11400.0
65,2016-11-21,11.4,11.2,11.17,11.2,0.0,7000.0,78250.0
66,2016-11-22,11.2,11.2,11.2,11.2,0.0,5000.0,56000.0
67,2016-11-23,11.2,11.22,10.57,10.57,0.0,26800.0,291920.0
68,2016-11-24,10.57,11.3,10.78,11.19,0.0,31100.0,346700.0
69,2016-11-27,11.19,11.0,11.0,11.0,0.0,11867.0,130537.0
70,2016-11-28,11.0,10.8,10.78,10.79,0.0,16000.0,172555.0
71,2016-11-30,10.79,10.79,10.79,10.79,0.0,20000.0,215800.0
72,2016-12-01,10.79,10.8,10.8,10.8,0.0,10000.0,108000.0
73,2016-12-04,10.8,11.02,10.8,10.8,0.0,3100.0,33502.0
74,2016-12-05,10.8,11.02,10.8,11.02,0.0,5100.0,55102.0
75,2016-12-06,11.02,11.0,10.8,10.8,0.0,14800.0,160740.0
76,2016-12-08,10.8,10.59,10.59,10.59,0.0,10000.0,105900.0
77,2016-12-11,10.59,11.24,10.8,10.85,0.0,31287.0,343725.0
78,2016-12-12,10.85,10.7,10.7,10.7,0.0,5000.0,53500.0
79,2016-12-14,10.7,10.55,10.5,10.51,0.0,54500.0,573075.0
80,2016-12-18,10.51,10.51,10.5,10.51,0.0,7000.0,73520.0
81,2016-12-19,10.51,10.4,10.4,10.4,0.0,7000.0,72800.0
82,2016-12-20,10.4,10.5,10.5,10.5,0.0,4400.0,46200.0
83,2016-12-22,10.5,10.5,10.5,10.5,0.0,1000.0,10500.0
84,2016-12-26,10.5,10.5,10.29,10.5,0.0,9000.0,93450.0
85,2016-12-27,10.5,10.3,10.2,10.2,0.0,3000.0,30700.0
86,2016-12-28,10.2,10.3,10.15,10.3,0.0,7000.0,71800.0
87,2016-12-29,10.3,10.5,10.4,10.5,0.0,7100.0,74340.0
88,2017-01-01,10.5,10.4,10.4,10.4,0.0,7247.0,75369.0
89,2017-01-04,10.4,10.4,10.3,10.4,0.0,14000.0,144650.0
90,2017-01-11,10.4,10.2,10.19,10.2,0.0,10000.0,101950.0
91,2017-01-12,10.2,10.5,10.4,10.5,0.0,15000.0,157000.0
92,2017-01-17,10.5,10.5,10.5,10.5,0.0,2000.0,21000.0
93,2017-01-18,10.5,10.5,10.5,10.5,0.0,2848.0,29904.0
94,2017-01-19,10.5,10.4,10.4,10.4,0.0,5000.0,52000.0
95,2017-01-22,10.4,10.55,10.5,10.55,0.0,18000.0,189700.0
96,2017-01-23,10.55,10.54,10.4,10.4,0.0,10800.0,113020.0
97,2017-01-25,10.4,10.26,10.19,10.26,0.0,2500.0,25570.0
98,2017-01-26,10.26,10.45,10.45,10.45,0.0,10000.0,104500.0
