S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2019-11-21,100.0,100.0,100.0,100.0,0.0,23750.0,2375000.0
2,2019-12-03,100.0,100.0,100.0,100.0,0.0,36710.0,3671000.0
3,2019-12-11,100.0,100.0,100.0,100.0,0.0,35000.0,3500000.0
4,2020-07-06,100.0,100.0,100.0,100.0,0.0,19000.0,1900000.0
5,2020-09-13,100.0,100.0,100.0,100.0,0.0,32000.0,3200000.0
6,2020-09-16,100.0,100.0,100.0,100.0,0.0,25000.0,2500000.0
7,2020-09-27,100.0,100.0,100.0,100.0,0.0,3000.0,300000.0
8,2021-03-23,100.0,100.0,100.0,100.0,0.0,56000.0,5600000.0
9,2021-03-24,100.0,100.0,100.0,100.0,0.0,10000.0,1000000.0
10,2021-03-25,100.0,100.0,100.0,100.0,0.0,50000.0,5000000.0
11,2021-03-29,100.0,100.0,100.0,100.0,0.0,12000.0,1200000.0
12,2021-07-04,100.0,100.0,100.0,100.0,0.0,3000.0,300000.0
13,2021-07-06,187.0,187.0,187.0,187.0,0.0,3000.0,561000.0
14,2021-09-12,187.0,187.0,187.0,187.0,0.0,7000.0,1309000.0
15,2022-01-06,177.0,177.0,177.0,177.0,0.0,7500.0,1327500.0
16,2022-02-27,177.0,177.0,177.0,177.0,0.0,2500.0,442500.0
17,2022-06-08,135.0,135.0,135.0,135.0,0.0,5000.0,675000.0
18,2022-07-22,135.0,135.0,135.0,135.0,0.0,1000.0,135000.0
19,2022-09-02,135.0,135.0,135.0,135.0,0.0,1000.0,135000.0
20,2023-01-12,153.0,153.0,153.0,153.0,0.0,5000.0,765000.0
21,2024-01-08,178.0,178.0,178.0,178.0,0.0,5190.0,923820.0
22,2024-07-08,277.0,277.0,277.0,277.0,0.0,10340.0,2864180.0
