S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-03-24,124.0,122.0,112.0,112.0,0.0,520.0,59920.0
2,2011-03-25,112.0,110.0,101.0,101.0,0.0,9960.0,1008080.0
3,2011-03-27,101.0,102.0,98.0,98.0,0.0,440.0,43800.0
4,2011-03-29,98.0,97.0,97.0,97.0,0.0,2240.0,217280.0
5,2011-04-04,97.0,96.0,96.0,96.0,0.0,40.0,3840.0
6,2011-04-19,96.0,95.0,95.0,95.0,0.0,360.0,34200.0
7,2011-05-02,95.0,91.0,86.0,87.0,0.0,780.0,69040.0
8,2011-05-03,87.0,88.0,88.0,88.0,0.0,560.0,49280.0
9,2011-05-04,88.0,87.0,87.0,87.0,0.0,80.0,6960.0
10,2011-05-05,87.0,88.0,85.0,85.0,0.0,1280.0,110520.0
11,2011-05-08,85.0,85.0,85.0,85.0,0.0,120.0,10200.0
12,2011-05-12,85.0,86.0,86.0,86.0,0.0,480.0,41280.0
13,2011-05-18,86.0,82.0,82.0,82.0,0.0,200.0,16400.0
14,2011-05-22,82.0,81.0,80.0,81.0,0.0,640.0,51760.0
15,2011-05-23,81.0,80.0,78.0,78.0,0.0,4860.0,379560.0
16,2011-05-24,78.0,78.0,77.0,78.0,0.0,420.0,32700.0
17,2011-05-25,78.0,78.0,77.0,78.0,0.0,520.0,40480.0
18,2011-05-26,78.0,77.0,76.0,76.0,0.0,80.0,6120.0
19,2011-05-30,76.0,78.0,77.0,78.0,0.0,500.0,38900.0
20,2011-05-31,78.0,79.0,79.0,79.0,0.0,40.0,3160.0
21,2011-06-01,79.0,80.0,79.0,79.0,0.0,100.0,7960.0
22,2011-06-02,79.0,78.0,78.0,78.0,0.0,40.0,3120.0
23,2011-06-05,78.0,77.0,76.0,76.0,0.0,1410.0,107400.0
24,2011-06-08,76.0,76.0,76.0,76.0,0.0,760.0,57760.0
25,2011-06-09,76.0,76.0,76.0,76.0,0.0,240.0,18240.0
26,2011-06-14,76.0,76.0,76.0,76.0,0.0,300.0,22800.0
27,2011-07-28,76.0,75.0,74.0,74.0,0.0,100.0,7440.0
28,2011-07-31,74.0,75.0,75.0,75.0,0.0,80.0,6000.0
29,2011-08-10,75.0,76.0,76.0,76.0,0.0,1300.0,98800.0
30,2011-08-16,76.0,76.0,76.0,76.0,0.0,340.0,25840.0
31,2011-08-17,76.0,77.0,76.0,77.0,0.0,1880.0,144720.0
32,2011-08-18,77.0,78.0,75.0,75.0,0.0,2060.0,158620.0
33,2011-08-23,75.0,75.0,74.0,74.0,0.0,2060.0,153340.0
34,2011-08-24,74.0,73.0,73.0,73.0,0.0,920.0,67160.0
35,2011-08-25,73.0,74.0,73.0,74.0,0.0,280.0,20520.0
36,2011-08-28,74.0,75.0,74.0,74.0,0.0,1700.0,126600.0
37,2011-08-29,74.0,73.0,71.0,71.0,0.0,1600.0,114200.0
38,2011-08-30,71.0,70.0,68.0,68.0,0.0,1600.0,109240.0
39,2011-09-05,68.0,67.0,66.0,67.0,0.0,2440.0,161100.0
40,2011-09-08,67.0,67.0,67.0,67.0,0.0,60.0,4020.0
41,2011-09-20,67.0,66.0,64.0,64.0,0.0,280.0,18160.0
42,2011-09-22,64.0,63.0,63.0,63.0,0.0,180.0,11340.0
43,2011-09-25,63.0,64.0,64.0,64.0,0.0,200.0,12800.0
44,2011-09-26,64.0,64.0,64.0,64.0,0.0,160.0,10240.0
45,2011-10-12,64.0,66.0,65.0,66.0,0.0,800.0,52320.0
46,2011-10-13,66.0,66.0,66.0,66.0,0.0,3200.0,211200.0
47,2011-10-17,66.0,65.0,64.0,64.0,0.0,280.0,18160.0
48,2011-10-19,64.0,63.0,58.0,58.0,0.0,5380.0,329040.0
49,2011-10-20,58.0,57.0,56.0,56.0,0.0,2120.0,120560.0
50,2011-10-23,56.0,55.0,55.0,55.0,0.0,40.0,2200.0
51,2011-10-24,55.0,54.0,54.0,54.0,0.0,60.0,3240.0
52,2011-10-25,54.0,53.0,53.0,53.0,0.0,160.0,8480.0
53,2011-10-30,53.0,53.0,49.0,49.0,0.0,2960.0,150440.0
54,2011-10-31,49.0,49.0,46.0,47.0,0.0,2830.0,133697.0
55,2011-11-13,47.0,47.0,47.0,47.0,0.0,220.0,10340.0
56,2011-11-14,47.0,47.0,47.0,47.0,0.0,40.0,1880.0
57,2011-11-17,47.0,47.0,46.0,46.0,0.0,360.0,16883.0
58,2011-11-21,46.0,46.0,46.0,46.0,0.0,60.0,2760.0
59,2011-11-23,46.0,47.0,46.0,46.0,0.0,640.0,29995.0
60,2011-11-24,46.0,46.0,46.0,46.0,0.0,80.0,3680.0
61,2011-11-27,46.0,46.0,46.0,46.0,0.0,40.0,1840.0
62,2011-11-28,46.0,46.0,46.0,46.0,0.0,40.0,1840.0
63,2011-12-01,46.0,46.0,46.0,46.0,0.0,180.0,8280.0
64,2011-12-06,46.0,46.0,46.0,46.0,0.0,40.0,1840.0
65,2011-12-07,46.0,47.0,46.0,47.0,0.0,1170.0,54451.0
66,2011-12-08,47.0,47.0,47.0,47.0,0.0,1550.0,72850.0
67,2011-12-15,47.0,47.0,47.0,47.0,0.0,120.0,5640.0
68,2011-12-19,47.0,47.0,47.0,47.0,0.0,400.0,18760.0
69,2011-12-26,47.0,46.0,46.0,46.0,0.0,280.0,12880.0
70,2011-12-27,46.0,46.0,46.0,46.0,0.0,280.0,12880.0
71,2011-12-28,46.0,46.0,46.0,46.0,0.0,240.0,11040.0
72,2011-12-29,46.0,45.0,45.0,45.0,0.0,300.0,13525.0
73,2012-01-01,45.0,44.0,43.0,43.0,0.0,660.0,29002.0
74,2012-01-02,43.0,42.0,41.0,42.0,0.0,2300.0,95219.0
75,2012-01-03,42.0,43.0,43.0,43.0,0.0,500.0,21500.0
76,2012-01-04,43.0,44.0,44.0,44.0,0.0,440.0,19298.0
77,2012-01-05,44.0,44.0,44.0,44.0,0.0,400.0,17544.0
78,2012-01-08,44.0,44.0,44.0,44.0,0.0,800.0,35091.0
79,2012-01-09,44.0,44.0,44.0,44.0,0.0,400.0,17545.0
80,2012-01-11,44.0,44.0,44.0,44.0,0.0,1320.0,57954.0
81,2012-01-12,44.0,44.0,44.0,44.0,0.0,320.0,14080.0
82,2012-01-16,44.0,44.0,44.0,44.0,0.0,2090.0,91968.0
83,2012-01-17,44.0,45.0,44.0,45.0,0.0,2030.0,90110.0
84,2012-01-18,45.0,46.0,45.0,46.0,0.0,2240.0,100200.0
85,2012-01-22,46.0,46.0,45.0,45.0,0.0,1160.0,52390.0
86,2012-01-25,45.0,44.0,44.0,44.0,0.0,1340.0,58960.0
87,2012-01-26,44.0,44.0,44.0,44.0,0.0,1440.0,63344.0
88,2012-02-05,44.0,44.0,44.0,44.0,0.0,440.0,19360.0
89,2012-02-15,44.0,44.0,44.0,44.0,0.0,1560.0,68640.0
90,2012-02-16,44.0,44.0,44.0,44.0,0.0,2160.0,95040.0
91,2012-02-21,44.0,43.0,41.0,41.0,0.0,210.0,8745.0
92,2012-02-26,41.0,41.0,41.0,41.0,0.0,360.0,14871.0
93,2012-02-27,41.0,40.0,37.0,37.0,0.0,1620.0,59643.0
94,2012-02-28,37.0,40.0,34.0,39.0,0.0,1140.0,41871.0
95,2012-03-01,39.0,40.0,38.0,38.0,0.0,1160.0,45518.0
96,2012-03-04,38.0,37.0,37.0,37.0,0.0,80.0,2968.0
97,2012-03-05,37.0,40.0,37.0,40.0,0.0,800.0,30038.0
98,2012-03-06,40.0,40.0,40.0,40.0,0.0,40.0,1584.0
99,2012-03-11,40.0,41.0,39.0,41.0,0.0,2040.0,81581.0
100,2012-03-13,41.0,40.0,40.0,40.0,0.0,380.0,15267.0
101,2012-03-14,40.0,39.0,39.0,39.0,0.0,360.0,14114.0
102,2012-03-15,39.0,39.0,39.0,39.0,0.0,300.0,11700.0
103,2012-03-18,39.0,38.0,38.0,38.0,0.0,80.0,3058.0
104,2012-03-19,38.0,37.0,37.0,37.0,0.0,40.0,1498.0
105,2012-03-20,37.0,37.0,34.0,35.0,0.0,740.0,25808.0
106,2012-03-21,35.0,37.0,35.0,37.0,0.0,200.0,7163.0
107,2012-03-25,37.0,36.0,36.0,36.0,0.0,80.0,2876.0
108,2012-03-27,36.0,36.0,36.0,36.0,0.0,200.0,7200.0
109,2012-03-28,36.0,36.0,36.0,36.0,0.0,40.0,1440.0
110,2012-03-29,36.0,35.0,34.0,34.0,0.0,280.0,9716.0
111,2012-04-04,34.0,34.0,34.0,34.0,0.0,80.0,2712.0
112,2012-04-05,34.0,33.0,33.0,33.0,0.0,40.0,1329.0
113,2012-04-12,33.0,34.0,34.0,34.0,0.0,80.0,2710.0
114,2012-04-19,34.0,35.0,35.0,35.0,0.0,40.0,1382.0
115,2012-04-22,35.0,35.0,35.0,35.0,0.0,200.0,7050.0
116,2012-05-09,35.0,36.0,36.0,36.0,0.0,80.0,2877.0
117,2012-05-10,36.0,36.0,36.0,36.0,0.0,320.0,11508.0
118,2012-05-13,36.0,36.0,36.0,36.0,0.0,80.0,2877.0
119,2012-05-14,36.0,36.0,33.0,33.0,0.0,1480.0,50688.0
120,2012-05-17,33.0,34.0,34.0,34.0,0.0,40.0,1353.0
121,2012-05-21,34.0,34.0,34.0,34.0,0.0,160.0,5414.0
122,2012-05-22,34.0,35.0,35.0,35.0,0.0,480.0,16813.0
123,2012-05-24,35.0,35.0,35.0,35.0,0.0,320.0,11164.0
124,2012-06-05,35.0,34.0,34.0,34.0,0.0,1000.0,34300.0
125,2012-06-11,34.0,34.0,34.0,34.0,0.0,100.0,3361.0
126,2012-06-14,34.0,33.0,33.0,33.0,0.0,60.0,1980.0
127,2012-06-17,33.0,34.0,33.0,34.0,0.0,1120.0,37662.0
128,2012-06-18,34.0,34.0,34.0,34.0,0.0,3720.0,126466.0
129,2012-06-19,34.0,34.0,34.0,34.0,0.0,1940.0,65960.0
130,2012-06-20,34.0,33.0,33.0,33.0,0.0,1000.0,33182.0
131,2012-06-25,33.0,34.0,33.0,34.0,0.0,760.0,25200.0
132,2012-06-26,34.0,35.0,34.0,34.0,0.0,120.0,4144.0
133,2012-06-27,34.0,34.0,34.0,34.0,0.0,160.0,5378.0
134,2012-07-18,34.0,34.0,34.0,34.0,0.0,240.0,8160.0
135,2012-07-26,34.0,35.0,35.0,35.0,0.0,160.0,5574.0
136,2012-07-29,35.0,35.0,35.0,35.0,0.0,40.0,1400.0
137,2012-07-31,35.0,36.0,35.0,35.0,0.0,400.0,14028.0
138,2012-08-01,35.0,36.0,35.0,36.0,0.0,140.0,4942.0
139,2012-08-07,36.0,35.0,35.0,35.0,0.0,40.0,1400.0
140,2012-08-12,35.0,35.0,35.0,35.0,0.0,180.0,6300.0
141,2012-08-16,35.0,36.0,36.0,36.0,0.0,60.0,2142.0
142,2012-08-21,36.0,36.0,36.0,36.0,0.0,720.0,25716.0
143,2012-08-22,36.0,36.0,36.0,36.0,0.0,1000.0,35700.0
144,2012-08-23,36.0,36.0,35.0,36.0,0.0,2740.0,97716.0
145,2012-08-26,36.0,36.0,36.0,36.0,0.0,20.0,720.0
146,2012-08-29,36.0,36.0,36.0,36.0,0.0,2000.0,71500.0
147,2012-09-11,36.0,36.0,36.0,36.0,0.0,440.0,15620.0
148,2012-09-12,36.0,35.0,35.0,35.0,0.0,80.0,2800.0
149,2012-09-24,35.0,34.0,34.0,34.0,0.0,280.0,9604.0
150,2012-09-25,34.0,34.0,34.0,34.0,0.0,140.0,4760.0
151,2012-09-26,34.0,33.0,33.0,33.0,0.0,4440.0,147946.0
152,2012-09-30,33.0,34.0,34.0,34.0,0.0,40.0,1347.0
153,2012-10-01,34.0,33.0,33.0,33.0,0.0,200.0,6600.0
154,2012-10-02,33.0,34.0,34.0,34.0,0.0,140.0,4766.0
155,2012-10-04,34.0,34.0,34.0,34.0,0.0,80.0,2720.0
156,2012-10-07,34.0,35.0,34.0,35.0,0.0,280.0,9574.0
157,2012-10-09,35.0,36.0,35.0,36.0,0.0,340.0,12110.0
158,2012-10-18,36.0,36.0,36.0,36.0,0.0,240.0,8568.0
159,2012-11-06,36.0,36.0,36.0,36.0,0.0,60.0,2160.0
160,2012-11-07,36.0,37.0,37.0,37.0,0.0,40.0,1469.0
161,2012-11-08,37.0,37.0,37.0,37.0,0.0,80.0,2960.0
162,2012-11-22,37.0,36.0,36.0,36.0,0.0,140.0,5076.0
163,2012-12-09,36.0,36.0,36.0,36.0,0.0,100.0,3600.0
164,2012-12-17,36.0,36.0,36.0,36.0,0.0,60.0,2160.0
165,2012-12-18,36.0,36.0,36.0,36.0,0.0,80.0,2880.0
166,2013-03-17,36.0,35.0,33.0,33.0,0.0,200.0,6779.0
167,2013-03-19,33.0,32.0,31.0,31.0,0.0,120.0,3751.0
168,2013-03-20,31.0,30.0,28.0,28.0,0.0,540.0,15192.0
169,2013-03-21,28.0,27.0,26.0,26.0,0.0,1920.0,50845.0
170,2013-03-24,26.0,25.0,25.0,25.0,0.0,40.0,1019.0
171,2013-03-27,25.0,27.0,25.0,27.0,0.0,4380.0,115627.0
172,2013-03-31,27.0,27.0,27.0,27.0,0.0,40.0,1080.0
173,2013-04-01,27.0,27.0,26.0,27.0,0.0,940.0,25137.0
174,2013-04-02,27.0,28.0,26.0,26.0,0.0,580.0,15635.0
175,2013-04-04,26.0,26.0,26.0,26.0,0.0,1020.0,26502.0
176,2013-04-08,26.0,26.0,25.0,25.0,0.0,480.0,12129.0
177,2013-04-09,25.0,25.0,24.0,25.0,0.0,520.0,12655.0
178,2013-04-11,25.0,25.0,25.0,25.0,0.0,40.0,984.0
179,2013-04-15,25.0,25.0,25.0,25.0,0.0,60.0,1505.0
180,2013-04-17,25.0,25.0,25.0,25.0,0.0,160.0,4000.0
181,2013-04-18,25.0,25.0,25.0,25.0,0.0,760.0,19000.0
182,2013-04-22,25.0,25.0,25.0,25.0,0.0,40.0,1000.0
183,2013-04-29,25.0,25.0,24.0,24.0,0.0,320.0,7742.0
