S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2012-07-17,205.0,201.0,201.0,201.0,0.0,38.0,7638.0
2,2012-07-22,201.0,197.0,182.0,182.0,0.0,60.0,11370.0
3,2012-07-26,182.0,179.0,179.0,179.0,0.0,50.0,8950.0
4,2012-07-31,179.0,176.0,173.0,173.0,0.0,48.0,8334.0
5,2012-08-06,173.0,170.0,156.0,156.0,0.0,60.0,9760.0
6,2012-08-07,156.0,153.0,141.0,141.0,0.0,60.0,8790.0
7,2012-08-08,141.0,139.0,127.0,127.0,0.0,1616.0,213472.0
8,2012-08-12,127.0,125.0,115.0,115.0,0.0,1125.0,130229.0
9,2012-08-13,115.0,113.0,104.0,104.0,0.0,9132.0,959114.0
10,2012-08-14,104.0,102.0,97.0,97.0,0.0,20463.0,2001977.0
11,2012-08-15,97.0,100.0,96.0,100.0,0.0,7296.0,706908.0
12,2012-08-16,100.0,102.0,95.0,102.0,0.0,7553.0,729406.0
13,2012-08-19,102.0,100.0,97.0,97.0,0.0,3447.0,336703.0
14,2012-08-21,97.0,98.0,94.0,97.0,0.0,5990.0,573886.0
15,2012-08-22,97.0,97.0,95.0,97.0,0.0,4841.0,463298.0
16,2012-08-23,97.0,97.0,94.0,94.0,0.0,3698.0,354872.0
17,2012-08-26,94.0,96.0,93.0,96.0,0.0,6003.0,566083.0
18,2012-08-27,96.0,95.0,92.0,93.0,0.0,6848.0,639232.0
19,2012-08-28,93.0,94.0,90.0,92.0,0.0,6966.0,641408.0
20,2012-08-29,92.0,93.0,92.0,92.0,0.0,1048.0,97264.0
21,2012-08-30,92.0,94.0,93.0,94.0,0.0,2050.0,191170.0
22,2012-09-02,94.0,93.0,90.0,91.0,0.0,3438.0,312846.0
23,2012-09-03,91.0,95.0,90.0,95.0,0.0,5529.0,499732.0
24,2012-09-04,95.0,94.0,90.0,91.0,0.0,8110.0,747394.0
25,2012-09-05,91.0,93.0,92.0,93.0,0.0,40.0,3700.0
26,2012-09-06,93.0,94.0,89.0,94.0,0.0,18012.0,1621370.0
27,2012-09-09,94.0,93.0,93.0,93.0,0.0,4356.0,405108.0
