S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2012-07-15,0.0,190.0,116.0,187.0,0.0,641.0,88645.0
2,2012-07-17,187.0,184.0,169.0,169.0,0.0,230.0,40520.0
3,2012-07-19,169.0,166.0,154.0,154.0,0.0,50.0,8000.0
4,2012-07-22,154.0,151.0,139.0,139.0,0.0,80.0,11490.0
5,2012-07-23,139.0,138.0,126.0,135.0,0.0,51945.0,6950535.0
6,2012-07-24,135.0,137.0,130.0,135.0,0.0,46765.0,6192404.0
7,2012-07-25,135.0,138.0,134.0,138.0,0.0,26669.0,3612935.0
8,2012-07-26,138.0,138.0,134.0,137.0,0.0,21788.0,2970876.0
9,2012-07-29,137.0,137.0,132.0,133.0,0.0,17089.0,2301667.0
10,2012-07-30,133.0,135.0,131.0,134.0,0.0,12361.0,1641667.0
11,2012-07-31,134.0,135.0,130.0,132.0,0.0,14516.0,1904707.0
12,2012-08-01,132.0,134.0,130.0,132.0,0.0,6364.0,835947.0
13,2012-08-05,132.0,134.0,130.0,131.0,0.0,8410.0,1100121.0
14,2012-08-06,131.0,133.0,131.0,132.0,0.0,16427.0,2167786.0
15,2012-08-07,132.0,135.0,132.0,134.0,0.0,13067.0,1740468.0
16,2012-08-08,134.0,135.0,132.0,132.0,0.0,12812.0,1701584.0
17,2012-08-12,132.0,133.0,129.0,131.0,0.0,8250.0,1077085.0
18,2012-08-13,131.0,130.0,127.0,128.0,0.0,9263.0,1184051.0
19,2012-08-14,128.0,129.0,124.0,126.0,0.0,16698.0,2098645.0
20,2012-08-15,126.0,127.0,124.0,127.0,0.0,3893.0,489119.0
21,2012-08-16,127.0,127.0,125.0,125.0,0.0,5686.0,712652.0
22,2012-08-19,125.0,125.0,122.0,124.0,0.0,4683.0,579184.0
23,2012-08-21,124.0,125.0,121.0,122.0,0.0,4876.0,596879.0
24,2012-08-22,122.0,124.0,121.0,124.0,0.0,7259.0,888662.0
25,2012-08-23,124.0,123.0,120.0,121.0,0.0,5559.0,674929.0
26,2012-08-26,121.0,125.0,119.0,123.0,0.0,5276.0,643793.0
27,2012-08-27,123.0,126.0,121.0,126.0,0.0,1748.0,215574.0
28,2012-08-28,126.0,127.0,125.0,126.0,0.0,5779.0,727310.0
29,2012-08-29,126.0,126.0,125.0,125.0,0.0,5128.0,644125.0
30,2012-08-30,125.0,127.0,123.0,127.0,0.0,20214.0,2501652.0
31,2012-09-02,127.0,127.0,121.0,123.0,0.0,4671.0,578150.0
32,2012-09-03,123.0,131.0,125.0,130.0,0.0,9094.0,1158576.0
33,2012-09-04,130.0,132.0,126.0,131.0,0.0,21267.0,2754691.0
34,2012-09-05,131.0,132.0,124.0,127.0,0.0,22053.0,2790669.0
35,2012-09-06,127.0,126.0,124.0,125.0,0.0,31918.0,3984367.0
36,2012-09-09,125.0,128.0,125.0,128.0,0.0,12421.0,1570817.0
37,2012-09-10,128.0,131.0,125.0,131.0,0.0,8681.0,1101468.0
38,2012-09-11,131.0,129.0,126.0,128.0,0.0,9013.0,1143881.0
39,2012-09-12,128.0,128.0,124.0,127.0,0.0,20005.0,2523234.0
40,2012-09-13,127.0,127.0,126.0,126.0,0.0,7730.0,974093.0
41,2012-09-16,126.0,128.0,125.0,127.0,0.0,10609.0,1333972.0
