S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-04-05,226.0,222.0,220.0,220.0,0.0,1415.0,311474.0
2,2011-04-06,220.0,218.0,214.0,214.0,0.0,238.0,51732.0
3,2011-04-07,214.0,210.0,210.0,210.0,0.0,112.0,23520.0
4,2011-04-10,210.0,213.0,205.0,205.0,0.0,292.0,61016.0
5,2011-04-11,205.0,203.0,203.0,203.0,0.0,195.0,39585.0
6,2011-04-20,203.0,203.0,203.0,203.0,0.0,237.0,48111.0
7,2011-04-21,203.0,203.0,200.0,200.0,0.0,3087.0,625788.0
8,2011-04-25,200.0,203.0,196.0,196.0,0.0,345.0,68791.0
9,2011-04-28,196.0,198.0,198.0,198.0,0.0,360.0,71280.0
10,2011-05-02,198.0,195.0,195.0,195.0,0.0,82.0,15990.0
11,2011-05-03,195.0,192.0,190.0,190.0,0.0,320.0,61000.0
12,2011-05-04,190.0,196.0,190.0,196.0,0.0,805.0,153070.0
13,2011-05-05,196.0,193.0,190.0,190.0,0.0,1132.0,215140.0
14,2011-05-08,190.0,191.0,191.0,191.0,0.0,500.0,95500.0
15,2011-05-12,191.0,188.0,188.0,188.0,0.0,25.0,4700.0
16,2011-05-15,188.0,188.0,185.0,188.0,0.0,141.0,26184.0
17,2011-05-18,188.0,191.0,191.0,191.0,0.0,20.0,3820.0
18,2011-05-19,191.0,190.0,188.0,190.0,0.0,97.0,18384.0
19,2011-05-22,190.0,188.0,188.0,188.0,0.0,58.0,10904.0
20,2011-05-23,188.0,186.0,186.0,186.0,0.0,195.0,36270.0
21,2011-05-24,186.0,183.0,183.0,183.0,0.0,60.0,10980.0
22,2011-05-25,183.0,189.0,186.0,188.0,0.0,60.0,11250.0
23,2011-06-05,188.0,191.0,191.0,191.0,0.0,100.0,19100.0
24,2011-06-09,191.0,191.0,191.0,191.0,0.0,48.0,9168.0
25,2011-06-15,191.0,188.0,182.0,185.0,0.0,2336.0,427567.0
26,2011-06-19,185.0,184.0,184.0,184.0,0.0,475.0,87400.0
27,2011-06-20,185.0,184.0,184.0,184.0,0.0,475.0,87400.0
28,2011-06-21,193.0,210.0,196.0,210.0,0.0,100.0,20260.0
29,2011-06-23,210.0,218.0,212.0,218.0,0.0,121.0,26063.0
30,2011-06-26,218.0,222.0,222.0,222.0,0.0,50.0,11100.0
31,2011-06-29,222.0,225.0,206.0,206.0,0.0,1145.0,245090.0
32,2011-06-30,206.0,202.0,202.0,202.0,0.0,30.0,6060.0
33,2011-07-03,202.0,198.0,192.0,192.0,0.0,149.0,29316.0
34,2011-07-04,192.0,195.0,195.0,195.0,0.0,10.0,1950.0
35,2011-07-05,195.0,192.0,192.0,192.0,0.0,100.0,19200.0
36,2011-07-07,192.0,189.0,183.0,183.0,0.0,230.0,42630.0
37,2011-07-10,183.0,186.0,186.0,186.0,0.0,20.0,3720.0
38,2011-07-12,186.0,186.0,183.0,183.0,0.0,87.0,16107.0
39,2011-07-13,183.0,189.0,186.0,189.0,0.0,42.0,7872.0
40,2011-07-14,189.0,195.0,189.0,195.0,0.0,158.0,30105.0
41,2011-07-19,195.0,198.0,198.0,198.0,0.0,69.0,13662.0
42,2011-07-20,198.0,195.0,195.0,195.0,0.0,32.0,6240.0
43,2011-07-24,195.0,192.0,186.0,188.0,0.0,649.0,123201.0
