S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-04-04,454.0,444.0,444.0,444.0,0.0,110.0,48840.0
2,2011-04-10,444.0,458.0,436.0,458.0,0.0,1001.0,447550.0
3,2011-04-11,458.0,464.0,460.0,464.0,0.0,157.0,72260.0
4,2011-04-25,464.0,455.0,455.0,455.0,0.0,10.0,4550.0
5,2011-04-27,455.0,450.0,438.0,446.0,0.0,410.0,182740.0
6,2011-05-04,446.0,438.0,415.0,421.0,0.0,58.0,24622.0
7,2011-05-16,421.0,413.0,379.0,379.0,0.0,382.0,147117.0
8,2011-05-18,379.0,372.0,342.0,342.0,0.0,220.0,78180.0
9,2011-05-19,342.0,336.0,324.0,324.0,0.0,114.0,37566.0
10,2011-05-23,324.0,324.0,306.0,324.0,0.0,1427.0,447732.0
11,2011-05-25,324.0,336.0,318.0,324.0,0.0,1399.0,453098.0
12,2011-05-26,324.0,342.0,301.0,342.0,0.0,1700.0,539408.0
13,2011-05-30,342.0,360.0,347.0,360.0,0.0,118.0,41824.0
14,2011-05-31,360.0,394.0,365.0,394.0,0.0,836.0,316787.0
15,2011-06-01,394.0,430.0,392.0,430.0,0.0,1208.0,495469.0
16,2011-06-05,430.0,422.0,406.0,406.0,0.0,87.0,36026.0
17,2011-06-08,406.0,398.0,366.0,366.0,0.0,60.0,22860.0
18,2011-06-09,366.0,359.0,330.0,330.0,0.0,99.0,33771.0
19,2011-06-13,330.0,324.0,297.0,297.0,0.0,89.0,27300.0
20,2011-06-14,297.0,292.0,268.0,268.0,0.0,273.0,75135.0
21,2011-06-15,268.0,263.0,242.0,242.0,0.0,3021.0,734086.0
22,2011-06-16,242.0,260.0,243.0,259.0,0.0,2116.0,532755.0
23,2011-06-19,259.0,284.0,263.0,280.0,0.0,936.0,259170.0
24,2011-06-20,259.0,284.0,263.0,280.0,0.0,936.0,259170.0
25,2011-06-21,308.0,338.0,305.0,338.0,0.0,1610.0,503170.0
26,2011-06-23,338.0,359.0,323.0,359.0,0.0,2686.0,911372.0
27,2011-06-26,359.0,366.0,329.0,334.0,0.0,2036.0,716203.0
28,2011-06-29,334.0,328.0,301.0,301.0,0.0,237.0,74505.0
29,2011-06-30,301.0,295.0,271.0,271.0,0.0,1694.0,461943.0
30,2011-07-03,271.0,266.0,245.0,245.0,0.0,753223.0,184547904.0
31,2011-07-04,245.0,263.0,245.0,263.0,0.0,55715.0,13651179.0
32,2011-07-05,263.0,289.0,265.0,285.0,0.0,18148.0,5140983.0
33,2011-07-06,285.0,306.0,286.0,306.0,0.0,5430.0,1580816.0
34,2011-07-07,306.0,310.0,276.0,310.0,0.0,4521.0,1263969.0
35,2011-07-10,310.0,309.0,282.0,300.0,0.0,8165.0,2332157.0
36,2011-07-11,300.0,310.0,294.0,310.0,0.0,10444.0,3093712.0
37,2011-07-12,310.0,316.0,298.0,302.0,0.0,640.0,193951.0
38,2011-07-13,302.0,330.0,302.0,330.0,0.0,13820.0,4213964.0
39,2011-07-14,330.0,340.0,245.0,340.0,0.0,201180.0,50422448.0
40,2011-07-17,340.0,373.0,346.0,353.0,0.0,1674.0,600639.0
41,2011-07-18,353.0,388.0,346.0,354.0,0.0,3305.0,1210814.0
42,2011-07-19,354.0,360.0,337.0,357.0,0.0,4168.0,1449760.0
43,2011-07-20,357.0,355.0,335.0,347.0,0.0,2305.0,788733.0
44,2011-07-21,347.0,341.0,332.0,332.0,0.0,3683.0,1252402.0
45,2011-07-24,332.0,330.0,300.0,300.0,0.0,2685.0,817962.0
46,2011-07-25,300.0,299.0,294.0,299.0,0.0,539.0,158531.0
47,2011-07-26,299.0,300.0,291.0,296.0,0.0,1300.0,383040.0
48,2011-07-27,296.0,310.0,299.0,307.0,0.0,3285.0,993180.0
49,2011-07-28,307.0,311.0,295.0,310.0,0.0,7072.0,2109632.0
50,2011-07-31,310.0,304.0,294.0,297.0,0.0,3923.0,1158129.0
51,2011-08-01,297.0,296.0,289.0,293.0,0.0,1167.0,341073.0
52,2011-08-02,293.0,295.0,289.0,291.0,0.0,1102.0,319648.0
53,2011-08-03,291.0,286.0,280.0,283.0,0.0,1447.0,407498.0
54,2011-08-04,283.0,289.0,281.0,289.0,0.0,3034.0,859474.0
55,2011-08-07,289.0,284.0,268.0,280.0,0.0,25410.0,6934621.0
56,2011-08-08,280.0,285.0,280.0,280.0,0.0,1300.0,365000.0
57,2011-08-09,280.0,284.0,279.0,282.0,0.0,424.0,118851.0
58,2011-08-10,282.0,295.0,274.0,295.0,0.0,1076.0,305969.0
59,2011-08-11,295.0,290.0,280.0,284.0,0.0,1019.0,288671.0
60,2011-08-15,284.0,281.0,277.0,280.0,0.0,3770.0,1054890.0
61,2011-08-16,280.0,290.0,270.0,290.0,0.0,5683.0,1549240.0
62,2011-08-17,290.0,295.0,290.0,295.0,0.0,208.0,61135.0
63,2011-08-18,295.0,295.0,280.0,280.0,0.0,2464.0,694650.0
64,2011-08-22,280.0,290.0,285.0,290.0,0.0,80.0,23050.0
65,2011-08-23,290.0,294.0,294.0,294.0,0.0,34.0,9996.0
66,2011-08-24,294.0,299.0,295.0,295.0,0.0,162.0,48038.0
67,2011-08-25,295.0,300.0,280.0,280.0,0.0,748.0,211810.0
68,2011-08-28,280.0,281.0,271.0,271.0,0.0,1623.0,451801.0
69,2011-08-29,271.0,291.0,276.0,291.0,0.0,180.0,51130.0
70,2011-08-30,291.0,301.0,296.0,301.0,0.0,54.0,16084.0
71,2011-09-01,301.0,295.0,275.0,275.0,0.0,11056.0,3057410.0
