S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2017-08-03,0.0,10.0,10.0,10.0,0.0,1000.0,10000.0
2,2017-08-06,10.0,10.0,10.0,10.0,0.0,6000.0,60000.0
3,2017-08-07,10.0,10.0,10.0,10.0,0.0,1000.0,10000.0
4,2017-08-09,10.0,10.0,10.0,10.0,0.0,3000.0,30000.0
5,2017-08-10,10.0,10.0,10.0,10.0,0.0,5000.0,50000.0
6,2017-08-13,10.0,10.0,10.0,10.0,0.0,20500.0,205000.0
7,2017-08-23,10.0,10.2,10.0,10.0,0.0,9000.0,90200.0
8,2017-08-27,10.0,10.15,10.15,10.15,0.0,1000.0,10150.0
9,2017-08-31,10.15,10.15,10.15,10.15,0.0,4900.0,49735.0
10,2017-09-04,10.15,10.2,10.2,10.2,0.0,2500.0,25500.0
11,2017-09-06,10.2,10.3,10.0,10.0,0.0,5000.0,50720.0
12,2017-09-10,10.0,10.05,10.05,10.05,0.0,4000.0,40200.0
13,2017-09-11,10.05,10.0,10.0,10.0,0.0,1000.0,10000.0
14,2017-09-12,10.0,9.87,9.86,9.87,0.0,9000.0,88790.0
15,2017-09-13,9.87,10.07,10.07,10.07,0.0,500.0,5035.0
16,2017-09-14,10.07,10.09,10.0,10.05,0.0,3500.0,35140.0
17,2017-09-17,10.05,9.86,9.86,9.86,0.0,5000.0,49300.0
18,2017-09-18,9.86,9.88,9.75,9.75,0.0,11000.0,108450.0
19,2017-09-20,9.75,9.6,9.6,9.6,0.0,3500.0,33600.0
20,2017-09-24,9.6,9.61,9.61,9.61,0.0,2500.0,24025.0
21,2017-09-25,9.61,9.89,9.7,9.89,0.0,21000.0,206380.0
22,2017-09-26,9.89,9.92,9.92,9.92,0.0,1500.0,14880.0
23,2017-10-04,9.92,10.0,9.85,10.0,0.0,6000.0,59250.0
24,2017-10-08,10.0,9.9,9.85,9.9,0.0,3900.0,38512.0
25,2017-10-09,9.9,10.0,9.8,10.0,0.0,11000.0,109400.0
26,2017-10-10,10.0,10.1,9.91,10.1,0.0,7000.0,70360.0
27,2017-10-11,10.1,10.0,10.0,10.0,0.0,1500.0,15000.0
28,2017-10-12,10.0,10.1,10.1,10.1,0.0,1000.0,10100.0
29,2017-10-15,10.1,10.1,10.1,10.1,0.0,1000.0,10100.0
30,2017-10-16,10.1,10.2,10.1,10.1,0.0,11000.0,111840.0
31,2017-10-18,10.1,10.25,10.1,10.11,0.0,23000.0,234210.0
