S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2017-01-08,260.0,260.0,260.0,260.0,0.0,9357.0,2432820.0
2,2017-04-30,260.0,260.0,260.0,260.0,0.0,15427.0,4011020.0
3,2017-06-18,260.0,260.0,260.0,260.0,0.0,7948.0,2066480.0
4,2017-11-20,260.0,260.0,260.0,260.0,0.0,3287.0,854620.0
5,2018-02-11,260.0,260.0,260.0,260.0,0.0,2479.0,644540.0
6,2018-03-29,225.0,225.0,225.0,225.0,1.92,162204.0,36495900.0
7,2018-06-25,110.0,110.0,110.0,110.0,0.0,13246.0,1457060.0
8,2018-06-26,110.0,110.0,110.0,110.0,0.0,28377.0,3121470.0
9,2018-06-27,110.0,110.0,110.0,110.0,0.0,42838.0,4712180.0
10,2018-07-08,110.0,110.0,110.0,110.0,0.0,11340.0,1247400.0
11,2018-08-23,110.0,110.0,110.0,110.0,0.0,9683.0,1065130.0
12,2018-08-30,110.0,110.0,110.0,110.0,0.0,76200.0,8382000.0
13,2018-09-03,110.0,110.0,110.0,110.0,0.0,11538.0,1269180.0
14,2018-09-04,110.0,110.0,110.0,110.0,0.0,9357.0,1029270.0
15,2018-09-09,110.0,110.0,110.0,110.0,0.0,17604.0,1936440.0
16,2018-09-10,110.0,110.0,110.0,110.0,0.0,23274.0,2560140.0
17,2018-09-13,110.0,110.0,110.0,110.0,0.0,24204.0,2662440.0
18,2018-09-23,110.0,110.0,110.0,110.0,0.0,8213.0,903430.0
19,2018-09-25,110.0,110.0,110.0,110.0,0.0,42891.0,4718010.0
20,2018-10-01,110.0,110.0,110.0,110.0,0.0,13077.0,1438470.0
21,2018-10-04,110.0,110.0,110.0,110.0,0.0,37929.0,4172190.0
22,2018-10-07,110.0,110.0,110.0,110.0,0.0,12104.0,1331440.0
23,2018-10-28,110.0,110.0,110.0,110.0,0.0,24209.0,2662990.0
24,2018-10-29,110.0,110.0,110.0,110.0,0.0,30493.0,3354230.0
25,2018-10-30,110.0,110.0,110.0,110.0,0.0,30000.0,3300000.0
26,2018-11-01,108.0,108.0,108.0,108.0,-1.82,15347.0,1657476.0
27,2018-11-18,108.0,108.0,108.0,108.0,0.0,2675.0,288900.0
28,2018-11-19,108.0,108.0,108.0,108.0,0.0,2675.0,288900.0
29,2018-11-22,110.0,110.0,108.0,108.0,0.0,20670.0,2261700.0
30,2018-12-04,108.0,108.0,108.0,108.0,0.0,10928.0,1180224.0
31,2018-12-10,108.0,108.0,108.0,108.0,0.0,10069.0,1087452.0
32,2018-12-11,108.0,110.0,108.0,110.0,1.85,66013.0,7202748.0
33,2018-12-12,108.0,108.0,108.0,108.0,-1.82,41338.0,4464504.0
34,2018-12-13,108.0,108.0,108.0,108.0,0.0,4842.0,522936.0
35,2018-12-16,108.0,108.0,108.0,108.0,0.0,23472.0,2534976.0
36,2018-12-24,108.0,108.0,108.0,108.0,0.0,10536.0,1137888.0
37,2018-12-26,108.0,108.0,108.0,108.0,0.0,35450.0,3828600.0
38,2018-12-27,108.0,108.0,108.0,108.0,0.0,21735.0,2347380.0
39,2018-12-30,110.0,110.0,110.0,110.0,1.85,22741.0,2501510.0
40,2018-12-31,108.0,108.0,108.0,108.0,-1.82,2676.0,289008.0
41,2019-01-06,108.0,108.0,108.0,108.0,0.0,14670.0,1584360.0
42,2019-01-09,108.0,108.0,108.0,108.0,0.0,4787.0,516996.0
43,2019-01-10,108.0,108.0,108.0,108.0,0.0,2676.0,289008.0
44,2019-01-13,108.0,108.0,108.0,108.0,0.0,24208.0,2614464.0
45,2019-01-21,108.0,108.0,108.0,108.0,0.0,8088.0,873504.0
46,2019-02-10,108.0,108.0,108.0,108.0,0.0,17876.0,1930608.0
47,2019-02-11,106.0,106.0,106.0,106.0,-1.85,14500.0,1537000.0
48,2019-02-12,106.0,106.0,106.0,106.0,0.0,27109.0,2873554.0
49,2019-02-17,108.0,108.0,108.0,108.0,1.89,33330.0,3599640.0
50,2019-02-19,108.0,108.0,108.0,108.0,0.0,12103.0,1307124.0
51,2019-02-25,108.0,108.0,108.0,108.0,0.0,2592.0,279936.0
52,2019-03-13,108.9,108.9,108.9,108.9,0.83,48900.0,5325210.0
53,2019-03-21,108.0,108.0,108.0,108.0,-0.83,4368.0,471744.0
54,2019-03-26,108.0,108.0,108.0,108.0,0.0,28428.0,3070224.0
55,2019-03-27,108.0,108.0,108.0,108.0,0.0,67600.0,7300800.0
56,2019-03-28,108.0,108.0,108.0,108.0,0.0,9292.0,1003536.0
57,2019-03-31,108.0,108.0,108.0,108.0,0.0,14855.0,1604340.0
58,2019-04-10,108.0,108.0,108.0,108.0,0.0,11689.0,1262412.0
59,2019-04-11,108.0,108.0,108.0,108.0,0.0,6052.0,653616.0
60,2019-04-16,108.0,108.0,108.0,108.0,0.0,6052.0,653616.0
61,2019-04-25,110.0,110.0,110.0,110.0,1.85,16059.0,1766490.0
62,2019-04-30,110.0,110.0,110.0,110.0,0.0,39450.0,4339500.0
63,2019-05-05,110.0,110.0,110.0,110.0,0.0,33224.0,3654640.0
64,2019-05-06,110.0,110.0,110.0,110.0,0.0,24846.0,2733060.0
65,2019-05-07,110.0,110.0,110.0,110.0,0.0,12242.0,1346620.0
66,2019-05-08,110.0,110.0,110.0,110.0,0.0,42558.0,4681380.0
67,2019-05-09,110.0,110.0,110.0,110.0,0.0,36000.0,3960000.0
68,2019-05-16,110.0,110.0,110.0,110.0,0.0,12200.0,1342000.0
69,2019-05-20,110.0,110.0,110.0,110.0,0.0,24209.0,2662990.0
70,2019-05-23,110.0,110.0,110.0,110.0,0.0,12113.0,1332430.0
71,2019-06-06,110.0,110.0,110.0,110.0,0.0,2593.0,285230.0
72,2019-06-10,108.0,108.0,108.0,108.0,-1.82,46616.0,5034528.0
73,2019-06-16,108.0,108.0,108.0,108.0,0.0,34154.0,3688632.0
74,2019-06-19,108.0,108.0,108.0,108.0,0.0,24450.0,2640600.0
75,2019-06-24,108.0,108.0,108.0,108.0,0.0,24451.0,2640708.0
76,2019-06-26,108.0,108.0,108.0,108.0,0.0,24208.0,2614464.0
77,2019-06-30,106.0,106.0,106.0,106.0,-1.85,99460.0,10542760.0
78,2019-07-03,106.0,106.0,106.0,106.0,0.0,130985.0,13884410.0
79,2019-07-10,106.0,106.0,106.0,106.0,0.0,1649.0,174794.0
80,2019-07-14,106.0,106.0,106.0,106.0,0.0,205871.0,21822326.0
81,2019-07-15,105.0,105.0,105.0,105.0,-0.94,24446.0,2566830.0
82,2019-07-16,105.0,105.0,105.0,105.0,0.0,40235.0,4224675.0
83,2019-07-17,103.0,103.0,103.0,103.0,-1.9,29467.0,3035101.0
84,2019-07-18,103.0,103.0,103.0,103.0,0.0,12224.0,1259072.0
85,2019-07-21,103.0,103.0,103.0,103.0,0.0,4842.0,498726.0
86,2019-07-25,103.0,103.0,103.0,103.0,0.0,7335.0,755505.0
87,2019-08-08,102.0,102.0,102.0,102.0,-0.97,24452.0,2494100.0
88,2019-08-12,102.0,102.0,102.0,102.0,0.0,124451.0,12694002.0
89,2019-08-13,102.0,102.0,102.0,102.0,0.0,15947.0,1626594.0
90,2019-08-20,104.0,104.0,104.0,104.0,1.96,43238.0,4496750.0
