S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2014-03-04,100.0,102.0,102.0,102.0,0.0,447.0,45594.0
2,2014-03-27,102.0,108.0,104.0,108.0,0.0,798.0,85178.0
3,2014-04-01,108.0,110.0,110.0,110.0,0.0,233.0,25630.0
4,2014-07-03,110.0,118.0,112.0,118.0,0.0,40.0,4600.0
5,2014-07-06,118.0,126.0,120.0,126.0,0.0,468.0,58420.0
6,2014-07-07,126.0,138.0,128.0,138.0,0.0,60.0,7980.0
7,2014-07-08,138.0,150.0,140.0,150.0,0.0,60.0,8700.0
8,2014-07-13,150.0,159.0,153.0,159.0,0.0,70.0,11040.0
9,2014-07-14,159.0,162.0,162.0,162.0,0.0,50.0,8100.0
10,2014-08-03,162.0,165.0,165.0,165.0,0.0,55.0,9075.0
11,2014-08-06,165.0,180.0,168.0,180.0,0.0,167.0,28716.0
12,2014-08-18,180.0,189.0,183.0,189.0,0.0,104.0,19233.0
13,2014-08-19,189.0,207.0,192.0,207.0,0.0,374.0,76978.0
14,2014-08-20,207.0,226.0,211.0,226.0,0.0,166.0,36808.0
15,2014-08-21,226.0,222.0,218.0,218.0,0.0,250.0,54580.0
16,2014-08-24,218.0,239.0,222.0,235.0,0.0,799.0,186065.0
17,2014-08-25,235.0,231.0,227.0,227.0,0.0,102.0,23342.0
18,2014-08-26,227.0,223.0,214.0,214.0,0.0,796.0,173166.0
19,2014-08-28,214.0,218.0,218.0,218.0,0.0,100.0,21800.0
20,2014-09-04,218.0,222.0,222.0,222.0,0.0,869.0,192918.0
21,2014-09-09,222.0,226.0,226.0,226.0,0.0,100.0,22600.0
22,2014-09-28,226.0,222.0,222.0,222.0,0.0,20.0,4440.0
23,2014-09-30,222.0,218.0,218.0,218.0,0.0,20.0,4360.0
24,2014-10-19,218.0,214.0,214.0,214.0,0.0,836.0,178904.0
25,2014-10-20,214.0,210.0,210.0,210.0,0.0,476.0,99960.0
26,2014-10-21,210.0,210.0,210.0,210.0,0.0,137.0,28770.0
27,2014-11-16,210.0,210.0,210.0,210.0,0.0,314.0,65940.0
28,2014-12-09,210.0,206.0,192.0,192.0,0.0,240.0,47870.0
29,2014-12-16,192.0,189.0,189.0,189.0,0.0,447.0,84483.0
30,2014-12-21,189.0,192.0,192.0,192.0,0.0,233.0,44736.0
31,2015-01-19,167.0,170.0,170.0,170.0,0.0,439.0,74630.0
32,2015-01-26,170.0,173.0,173.0,173.0,0.0,447.0,77331.0
33,2015-07-06,173.0,176.0,176.0,176.0,0.0,99.0,17424.0
34,2015-08-05,176.0,179.0,179.0,179.0,0.0,103.0,18437.0
35,2015-08-18,179.0,194.0,182.0,194.0,0.0,1093.0,207164.0
36,2015-09-24,194.0,204.0,197.0,204.0,0.0,949.0,193450.0
37,2015-10-25,169.0,172.0,172.0,172.0,0.0,100.0,17200.0
38,2016-01-11,172.0,181.0,175.0,181.0,0.0,949.0,171679.0
39,2016-01-28,181.0,187.0,184.0,187.0,0.0,20.0,3710.0
40,2016-02-02,187.0,193.0,190.0,193.0,0.0,1416.0,273258.0
41,2016-02-22,193.0,199.0,196.0,199.0,0.0,113.0,22457.0
42,2016-02-24,199.0,214.0,202.0,214.0,0.0,1239.0,258462.0
43,2016-03-02,189.0,195.0,195.0,195.0,0.0,200.0,39000.0
44,2016-03-06,195.0,213.0,198.0,213.0,0.0,50.0,10260.0
45,2016-03-13,213.0,221.0,217.0,221.0,0.0,20.0,4380.0
46,2016-03-14,221.0,241.0,225.0,241.0,0.0,54.0,12614.0
47,2016-03-15,241.0,263.0,245.0,263.0,0.0,50.0,12680.0
48,2016-03-16,263.0,283.0,268.0,283.0,0.0,40.0,11020.0
49,2016-03-17,283.0,303.0,288.0,303.0,0.0,40.0,11820.0
50,2016-03-21,303.0,333.0,309.0,333.0,0.0,300.0,97860.0
51,2016-03-23,333.0,365.0,339.0,365.0,0.0,50.0,17580.0
52,2016-03-24,365.0,400.0,372.0,400.0,0.0,50.0,19300.0
53,2016-03-27,400.0,440.0,405.0,440.0,0.0,1411.0,602250.0
54,2016-03-28,440.0,484.0,448.0,460.0,0.0,2771.0,1289263.0
55,2016-03-29,460.0,469.0,425.0,425.0,0.0,1140.0,506810.0
56,2016-03-30,425.0,425.0,417.0,417.0,0.0,970.0,406330.0
57,2016-03-31,417.0,410.0,410.0,410.0,0.0,350.0,143500.0
58,2016-04-03,410.0,409.0,394.0,408.0,0.0,829.0,332743.0
59,2016-04-05,408.0,432.0,416.0,432.0,0.0,820.0,348360.0
60,2016-04-06,432.0,448.0,432.0,432.0,0.0,702.0,307360.0
61,2016-04-10,432.0,439.0,431.0,431.0,0.0,1138.0,494987.0
62,2016-04-11,431.0,474.0,435.0,465.0,0.0,1894.0,865456.0
63,2016-04-12,465.0,474.0,466.0,474.0,0.0,1650.0,773700.0
64,2016-04-17,474.0,492.0,474.0,492.0,0.0,921.0,446002.0
65,2016-04-18,492.0,511.0,500.0,511.0,0.0,1189.0,598688.0
66,2016-04-19,511.0,511.0,510.0,511.0,0.0,340.0,173690.0
67,2016-04-20,511.0,555.0,521.0,555.0,0.0,1550.0,829080.0
68,2016-04-21,555.0,580.0,566.0,580.0,0.0,2877.0,1662500.0
69,2016-04-24,580.0,580.0,570.0,580.0,0.0,210.0,119800.0
70,2016-04-25,580.0,590.0,568.0,568.0,0.0,257.0,151300.0
71,2016-04-26,568.0,557.0,512.0,516.0,0.0,1422.0,744344.0
72,2016-04-27,516.0,506.0,500.0,500.0,0.0,610.0,306560.0
73,2016-04-28,500.0,510.0,510.0,510.0,0.0,100.0,51000.0
74,2016-05-03,510.0,500.0,500.0,500.0,0.0,200.0,100000.0
75,2016-05-04,500.0,530.0,500.0,530.0,0.0,610.0,310500.0
76,2016-05-05,530.0,550.0,535.0,550.0,0.0,436.0,236505.0
77,2016-05-09,550.0,572.0,561.0,572.0,0.0,397.0,225874.0
78,2016-05-10,572.0,583.0,583.0,583.0,0.0,50.0,29150.0
79,2018-04-16,205.0,205.0,205.0,205.0,-1.44,130.0,26650.0
80,2018-04-17,201.0,201.0,201.0,201.0,-1.95,720.0,144720.0
81,2018-04-18,200.0,200.0,200.0,200.0,-0.5,500.0,100000.0
82,2018-04-19,204.0,212.0,201.0,201.0,0.5,3150.0,651270.0
83,2018-04-22,205.0,209.0,205.0,209.0,3.98,30.0,6190.0
84,2018-04-23,213.0,229.0,213.0,229.0,9.57,400.0,89280.0
85,2018-04-24,226.0,226.0,219.0,221.0,-3.49,3869.0,855786.0
86,2018-04-25,222.0,222.0,220.0,220.0,-0.45,1700.0,377000.0
87,2018-04-26,216.0,216.0,216.0,216.0,-1.82,50.0,10800.0
88,2018-04-29,212.0,212.0,212.0,212.0,-1.85,60.0,12720.0
89,2018-05-03,208.0,210.0,208.0,210.0,-0.94,2066.0,430148.0
90,2018-05-17,206.0,206.0,197.0,200.0,-4.76,1174.0,233770.0
91,2018-05-20,200.0,200.0,196.0,196.0,-2.0,1400.0,276000.0
92,2018-05-21,194.0,194.0,190.0,191.0,-2.55,849.0,162442.0
93,2018-05-23,188.0,188.0,188.0,188.0,-1.57,838.0,157544.0
