S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2017-12-26,160.0,160.0,160.0,160.0,0.0,9000.0,1440000.0
2,2018-01-01,160.0,160.0,160.0,160.0,0.0,4000.0,640000.0
3,2019-06-13,118.0,118.0,118.0,118.0,-26.25,8000.0,944000.0
4,2021-02-25,118.0,118.0,118.0,118.0,0.0,1400.0,165200.0
5,2021-03-01,118.0,118.0,118.0,118.0,0.0,1500.0,177000.0
6,2021-03-07,118.0,118.0,118.0,118.0,0.0,200.0,23600.0
7,2022-06-15,133.0,133.0,133.0,133.0,0.0,5650.0,751450.0
8,2022-06-16,130.4,130.4,130.4,130.4,-1.95,73450.0,9577880.0
9,2023-02-27,181.0,181.0,181.0,181.0,0.0,10000.0,1810000.0
10,2023-12-05,150.0,150.0,150.0,150.0,0.0,40113.0,6016950.0
11,2024-03-14,202.0,202.0,202.0,202.0,0.0,56000.0,11312000.0
12,2025-06-23,321.0,321.0,321.0,321.0,0.0,5000.0,1605000.0
