S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2013-05-06,0.0,11.0,10.0,11.0,0.0,8896.0,97353.0
2,2013-05-07,11.0,12.0,11.0,11.0,0.0,516949.0,5855661.0
3,2013-05-08,11.0,11.0,11.0,11.0,0.0,136304.0,1527571.0
4,2013-05-09,11.0,11.0,11.0,11.0,0.0,491576.0,5454102.0
5,2013-05-12,11.0,11.0,11.0,11.0,0.0,215316.0,2370726.0
6,2013-05-13,11.0,11.0,11.0,11.0,0.0,126574.0,1392362.0
7,2013-05-14,11.0,11.0,11.0,11.0,0.0,51514.0,566096.0
8,2013-05-15,11.0,11.0,11.0,11.0,0.0,129726.0,1427482.0
9,2013-05-16,11.0,11.0,11.0,11.0,0.0,128650.0,1416488.0
10,2013-05-19,11.0,11.0,11.0,11.0,0.0,89294.0,976632.0
11,2013-05-20,11.0,11.0,11.0,11.0,0.0,76972.0,836598.0
12,2013-05-21,11.0,11.0,11.0,11.0,0.0,92977.0,992403.0
13,2013-05-22,11.0,11.0,11.0,11.0,0.0,68620.0,743131.0
14,2013-05-23,11.0,11.0,11.0,11.0,0.0,94920.0,1017473.0
15,2013-05-26,11.0,11.0,11.0,11.0,0.0,94406.0,1001624.0
16,2013-05-27,11.0,11.0,11.0,11.0,0.0,55648.0,598411.0
17,2013-05-28,11.0,11.0,11.0,11.0,0.0,99256.0,1058975.0
18,2013-05-30,11.0,11.0,11.0,11.0,0.0,98037.0,1036924.0
19,2013-06-02,11.0,11.0,10.0,10.0,0.0,66728.0,700309.0
20,2013-06-03,10.0,11.0,10.0,11.0,0.0,40616.0,425754.0
21,2013-06-04,11.0,11.0,10.0,10.0,0.0,38056.0,396679.0
22,2013-06-05,10.0,10.0,10.0,10.0,0.0,49547.0,513211.0
23,2013-06-06,10.0,10.0,10.0,10.0,0.0,92760.0,959798.0
24,2013-06-09,10.0,10.0,10.0,10.0,0.0,12545.0,130469.0
25,2013-06-10,10.0,10.0,10.0,10.0,0.0,44075.0,453051.0
26,2013-06-11,10.0,10.0,10.0,10.0,0.0,61729.0,636346.0
27,2013-06-12,10.0,11.0,10.0,10.0,0.0,35160.0,366475.0
28,2013-06-13,10.0,10.0,10.0,10.0,0.0,124398.0,1267512.0
29,2013-06-16,10.0,10.0,10.0,10.0,0.0,53312.0,542254.0
30,2013-06-17,10.0,10.0,10.0,10.0,0.0,14777.0,150314.0
31,2013-06-18,10.0,10.0,10.0,10.0,0.0,45705.0,462686.0
32,2013-06-19,10.0,10.0,10.0,10.0,0.0,85203.0,857184.0
33,2013-06-20,10.0,10.0,10.0,10.0,0.0,180204.0,1812066.0
34,2013-06-23,10.0,10.0,10.0,10.0,0.0,268589.0,2690498.0
35,2013-06-24,10.0,10.0,10.0,10.0,0.0,93360.0,927524.0
36,2013-06-25,10.0,10.0,10.0,10.0,0.0,180314.0,1793344.0
37,2013-06-26,10.0,10.0,10.0,10.0,0.0,147316.0,1480468.0
38,2013-06-27,10.0,10.0,10.0,10.0,0.0,168313.0,1675508.0
39,2013-06-30,10.0,10.0,10.0,10.0,0.0,112306.0,1116905.0
40,2013-07-01,10.0,10.0,10.0,10.0,0.0,55313.0,548592.0
