S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-04-21,213.0,195.0,195.0,195.0,0.0,3500.0,682500.0
2,2013-03-27,195.0,198.0,198.0,198.0,0.0,29140.0,5769720.0
3,2013-10-29,198.0,198.0,198.0,198.0,0.0,1457.0,288486.0
4,2013-12-05,100.0,0.0,0.0,198.0,0.0,140993.0,13394335.0
5,2014-12-22,284.0,283.0,283.0,283.0,0.0,3825.0,1082475.0
6,2015-03-01,283.0,283.0,283.0,283.0,0.0,600.0,169800.0
7,2015-04-06,283.0,283.0,283.0,283.0,0.0,165.0,46695.0
8,2015-06-28,283.0,278.0,278.0,278.0,0.0,25000.0,6950000.0
9,2015-06-30,278.0,278.0,278.0,278.0,0.0,600.0,166800.0
10,2017-07-11,196.0,199.0,199.0,199.0,0.0,200770.0,39953232.0
11,2017-07-20,199.0,199.0,199.0,199.0,0.0,43753.0,8706847.0
12,2017-07-25,199.0,199.0,199.0,199.0,0.0,3759.0,748041.0
13,2017-07-26,199.0,202.0,202.0,202.0,0.0,109849.0,22189498.0
14,2017-08-03,202.0,202.0,202.0,202.0,0.0,9309.0,1880418.0
15,2017-08-13,202.0,202.0,202.0,202.0,0.0,14876.0,3004952.0
16,2017-08-16,202.0,202.0,202.0,202.0,0.0,11207.0,2263814.0
17,2017-08-17,202.0,202.0,202.0,202.0,0.0,6406.0,1294012.0
18,2017-08-21,202.0,202.0,202.0,202.0,0.0,3680.0,743360.0
19,2017-08-31,202.0,202.0,202.0,202.0,0.0,70769.0,14295338.0
20,2017-09-10,202.0,202.0,202.0,202.0,0.0,3203.0,647006.0
21,2017-09-24,202.0,202.0,202.0,202.0,0.0,110000.0,22220000.0
22,2017-10-12,202.0,200.0,200.0,200.0,0.0,38437.0,7687400.0
23,2017-11-06,200.0,200.0,200.0,200.0,0.0,1472.0,294400.0
24,2017-11-08,200.0,200.0,200.0,200.0,0.0,11800.0,2360000.0
25,2017-11-12,200.0,200.0,200.0,200.0,0.0,21740.0,4348000.0
26,2017-11-23,200.0,200.0,200.0,200.0,0.0,29976.0,5995200.0
27,2017-12-31,200.0,200.0,200.0,200.0,0.0,484808.0,96961600.0
28,2018-01-14,200.0,200.0,200.0,200.0,0.0,1000.0,200000.0
29,2018-01-16,200.0,196.0,196.0,196.0,0.0,19250.0,3773000.0
30,2018-01-22,196.0,195.0,195.0,195.0,0.0,18480.0,3603600.0
31,2018-01-25,195.0,186.0,186.0,186.0,0.0,11480.0,2198050.0
32,2018-02-04,195.0,195.0,195.0,195.0,0.0,28825.0,5620875.0
33,2018-02-26,195.0,195.0,195.0,195.0,0.0,279500.0,54502500.0
34,2018-03-06,195.0,195.0,195.0,195.0,0.0,80000.0,15600000.0
35,2018-03-20,195.0,195.0,195.0,195.0,0.0,1000.0,195000.0
36,2018-03-29,200.0,200.0,200.0,200.0,2.56,100.0,20000.0
37,2018-04-04,195.0,195.0,195.0,195.0,0.0,13964.0,2722980.0
38,2018-04-18,190.0,226.0,170.0,195.0,0.0,2600.0,466300.0
39,2018-06-14,195.0,195.0,195.0,195.0,0.0,368.0,71760.0
40,2018-06-17,176.0,176.0,176.0,176.0,9.74,1000.0,176000.0
41,2018-07-15,195.0,195.0,195.0,195.0,0.0,24068.0,4693260.0
42,2018-07-17,193.0,193.0,193.0,193.0,-1.02,100.0,19300.0
43,2018-07-24,170.0,170.0,170.0,170.0,-12.82,600.0,102000.0
44,2018-07-25,195.0,195.0,195.0,195.0,0.0,6406.0,1249170.0
45,2018-07-30,192.0,192.0,192.0,192.0,-1.54,24318.0,4669056.0
46,2018-08-12,192.0,192.0,192.0,192.0,0.0,1840.0,353280.0
47,2018-08-19,192.0,192.0,192.0,192.0,0.0,16149.0,3100608.0
48,2018-10-02,192.0,192.0,192.0,192.0,0.0,2255.0,432960.0
49,2018-10-03,192.0,192.0,192.0,192.0,0.0,3202.0,614784.0
50,2018-12-12,130.0,130.0,130.0,130.0,-32.29,4500.0,585000.0
51,2018-12-30,130.0,130.0,130.0,130.0,0.0,32000.0,4160000.0
52,2019-03-03,130.0,130.0,130.0,130.0,0.0,3202.0,416260.0
53,2019-05-05,130.0,130.0,130.0,130.0,0.0,16305.0,2119650.0
54,2019-05-20,130.0,130.0,130.0,130.0,0.0,24669.0,3206970.0
55,2019-06-04,130.0,130.0,130.0,130.0,0.0,5425.0,705250.0
56,2019-06-11,130.0,130.0,130.0,130.0,0.0,4658.0,605540.0
57,2019-06-12,130.0,130.0,130.0,130.0,0.0,17876.0,2323880.0
58,2019-06-19,130.0,130.0,130.0,130.0,0.0,16015.0,2081950.0
59,2019-07-03,130.0,130.0,130.0,130.0,0.0,6406.0,832780.0
60,2019-07-11,130.0,130.0,130.0,130.0,0.0,3203.0,416390.0
61,2019-07-25,130.0,130.0,130.0,130.0,0.0,100000.0,13000000.0
62,2019-08-04,126.0,126.0,126.0,126.0,-3.08,100000.0,12600000.0
63,2019-11-12,124.0,124.0,124.0,124.0,-1.59,70988.0,8802512.0
64,2019-12-05,122.0,122.0,122.0,122.0,-1.61,50000.0,6100000.0
65,2020-01-13,122.0,122.0,122.0,122.0,0.0,103711.0,12652742.0
66,2020-01-20,120.0,120.0,120.0,120.0,-1.64,25000.0,3000000.0
67,2020-02-20,120.0,120.0,118.0,118.0,-1.67,204182.0,24136162.0
68,2020-02-23,118.0,118.0,118.0,118.0,0.0,182839.0,21575002.0
69,2020-02-24,120.0,120.0,120.0,120.0,1.69,100000.0,12000000.0
70,2020-02-26,122.0,122.0,122.0,122.0,1.67,100000.0,12200000.0
71,2020-03-19,120.0,120.0,120.0,120.0,-1.64,205000.0,24600000.0
72,2020-07-05,118.0,118.0,118.0,118.0,-1.67,40000.0,4720000.0
73,2020-07-15,116.0,116.0,116.0,116.0,-1.69,38420.0,4456720.0
74,2020-07-21,116.0,116.0,116.0,116.0,0.0,6406.0,743096.0
75,2020-08-09,116.0,116.0,116.0,116.0,0.0,8536.0,990176.0
