S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2012-04-02,0.0,177.0,171.0,171.0,0.0,282441.0,49144736.0
2,2013-01-13,171.0,410.0,410.0,410.0,0.0,100.0,41000.0
3,2014-09-24,100.0,0.0,0.0,100.0,0.0,788840.0,421311872.0
4,2014-09-28,100.0,0.0,0.0,100.0,0.0,389468.0,207089616.0
5,2014-09-29,100.0,0.0,0.0,100.0,0.0,6220.0,3537960.0
6,2014-12-01,418.0,411.0,411.0,411.0,0.0,3718.0,1528098.0
7,2014-12-07,411.0,419.0,419.0,419.0,0.0,50.0,20950.0
8,2014-12-10,419.0,430.0,423.0,423.0,0.0,1000.0,425500.0
9,2014-12-11,423.0,439.0,431.0,439.0,0.0,2200.0,957000.0
10,2014-12-14,439.0,432.0,432.0,432.0,0.0,400.0,172800.0
11,2014-12-17,432.0,448.0,440.0,448.0,0.0,300.0,133600.0
12,2014-12-21,448.0,456.0,456.0,456.0,0.0,100.0,45600.0
13,2014-12-22,456.0,465.0,465.0,465.0,0.0,200.0,93000.0
14,2014-12-24,465.0,483.0,474.0,480.0,0.0,900.0,429500.0
15,2014-12-28,480.0,489.0,475.0,481.0,0.0,800.0,385100.0
16,2014-12-31,481.0,472.0,470.0,470.0,0.0,950.0,446900.0
17,2015-01-04,470.0,475.0,470.0,475.0,0.0,2500.0,1185000.0
18,2015-01-06,475.0,499.0,478.0,490.0,0.0,2880.0,1395800.0
19,2015-01-07,490.0,481.0,481.0,481.0,0.0,800.0,384800.0
20,2015-01-11,481.0,472.0,468.0,468.0,0.0,5200.0,2445000.0
21,2015-01-12,468.0,462.0,460.0,460.0,0.0,3000.0,1382000.0
22,2015-01-13,460.0,466.0,460.0,460.0,0.0,1800.0,829800.0
23,2015-01-14,460.0,468.0,468.0,468.0,0.0,500.0,234000.0
24,2015-01-19,468.0,504.0,477.0,490.0,0.0,2700.0,1321600.0
25,2015-01-25,490.0,495.0,495.0,495.0,0.0,2024231.0,820124096.0
26,2015-01-26,401.0,0.0,0.0,495.0,0.0,1602173.0,655439744.0
27,2015-01-27,495.0,505.0,481.0,504.0,0.0,7450.0,3708400.0
28,2015-01-28,504.0,505.0,500.0,500.0,0.0,137606.0,56631344.0
29,2015-01-29,500.0,507.0,498.0,507.0,0.0,726816.0,295406400.0
30,2015-02-01,507.0,517.0,505.0,505.0,0.0,57179.0,23666380.0
31,2015-02-02,505.0,510.0,500.0,510.0,0.0,324037.0,132607496.0
32,2015-02-03,510.0,515.0,505.0,505.0,0.0,52798.0,22035692.0
33,2015-02-04,505.0,510.0,495.0,495.0,0.0,60242.0,27574892.0
34,2015-02-08,495.0,500.0,491.0,491.0,0.0,1300.0,645400.0
35,2015-02-09,491.0,490.0,480.0,485.0,0.0,4350.0,2095300.0
36,2015-02-10,485.0,485.0,476.0,485.0,0.0,1800.0,867400.0
37,2015-02-11,485.0,490.0,485.0,490.0,0.0,2000.0,975000.0
38,2015-02-12,490.0,492.0,492.0,492.0,0.0,434.0,213528.0
39,2015-02-15,492.0,491.0,490.0,490.0,0.0,79205.0,33336476.0
40,2015-02-16,490.0,491.0,490.0,491.0,0.0,4235.0,1810745.0
41,2015-02-18,491.0,498.0,492.0,492.0,0.0,32609.0,13638868.0
42,2015-02-22,492.0,502.0,492.0,492.0,0.0,16730.0,8281600.0
43,2015-02-23,492.0,490.0,485.0,485.0,0.0,6642.0,3235210.0
44,2015-02-24,485.0,488.0,479.0,480.0,0.0,765878.0,307606176.0
45,2015-02-25,480.0,480.0,480.0,480.0,0.0,1200.0,576000.0
46,2015-02-26,480.0,480.0,479.0,480.0,0.0,1700.0,815500.0
47,2015-03-01,480.0,485.0,482.0,482.0,0.0,600.0,290200.0
48,2015-03-02,482.0,499.0,480.0,490.0,0.0,6854.0,3351382.0
49,2015-03-03,490.0,492.0,485.0,490.0,0.0,25459.0,10958256.0
50,2015-03-04,490.0,495.0,491.0,491.0,0.0,894.0,440954.0
51,2015-03-09,491.0,498.0,495.0,495.0,0.0,7037.0,3488215.0
52,2015-03-10,495.0,495.0,490.0,490.0,0.0,11000.0,5395000.0
53,2015-03-11,490.0,494.0,494.0,494.0,0.0,500.0,247000.0
54,2015-03-12,494.0,496.0,490.0,490.0,0.0,8100.0,3989200.0
55,2015-03-15,490.0,489.0,489.0,489.0,0.0,500.0,244500.0
56,2015-03-16,489.0,490.0,487.0,487.0,0.0,5200.0,2536000.0
57,2015-03-17,487.0,492.0,487.0,492.0,0.0,5383.0,2634550.0
58,2015-03-18,492.0,492.0,490.0,490.0,0.0,2140.0,1050040.0
59,2015-03-19,490.0,492.0,487.0,492.0,0.0,6743.0,3307370.0
60,2015-03-22,492.0,494.0,490.0,490.0,0.0,8600.0,4222000.0
61,2015-03-23,490.0,492.0,490.0,490.0,0.0,16225.0,7957400.0
62,2015-03-24,490.0,494.0,490.0,490.0,0.0,11363.0,5574970.0
63,2015-03-25,490.0,492.0,488.0,491.0,0.0,12894.0,6317660.0
64,2015-03-26,491.0,487.0,482.0,485.0,0.0,14279.0,6345511.0
65,2015-03-29,485.0,484.0,476.0,482.0,0.0,1500.0,723000.0
66,2015-03-30,482.0,482.0,480.0,480.0,0.0,13077.0,6297960.0
67,2015-03-31,480.0,485.0,485.0,485.0,0.0,500.0,242500.0
68,2015-04-01,485.0,485.0,485.0,485.0,0.0,475.0,230375.0
69,2015-04-02,485.0,488.0,485.0,488.0,0.0,1278.0,620664.0
70,2015-04-05,488.0,488.0,488.0,488.0,0.0,700.0,341600.0
71,2015-04-06,488.0,490.0,485.0,485.0,0.0,4072.0,1988000.0
72,2015-04-08,485.0,490.0,485.0,490.0,0.0,5000.0,2440000.0
73,2015-04-09,490.0,495.0,490.0,495.0,0.0,1790.0,878100.0
74,2015-04-12,495.0,500.0,495.0,499.0,0.0,3622.0,1803236.0
75,2015-04-13,499.0,503.0,499.0,500.0,0.0,2400.0,1199200.0
76,2015-04-15,500.0,504.0,499.0,504.0,0.0,11000.0,5490000.0
77,2015-04-16,504.0,504.0,503.0,504.0,0.0,380.0,191290.0
78,2015-04-19,504.0,495.0,495.0,495.0,0.0,2000.0,990000.0
79,2015-04-20,495.0,504.0,495.0,499.0,0.0,4700.0,2333700.0
80,2015-04-21,499.0,500.0,495.0,495.0,0.0,6750.0,3347650.0
81,2015-04-22,495.0,498.0,498.0,498.0,0.0,2128.0,1059744.0
82,2015-04-23,498.0,500.0,496.0,498.0,0.0,4700.0,2341500.0
83,2015-05-24,498.0,489.0,449.0,449.0,0.0,2100.0,944680.0
84,2015-05-25,449.0,441.0,417.0,435.0,0.0,17563.0,7558022.0
85,2015-05-26,435.0,459.0,443.0,446.0,0.0,8928.0,4049440.0
86,2015-05-27,446.0,454.0,445.0,445.0,0.0,12965.0,5807200.0
87,2015-05-28,445.0,463.0,450.0,458.0,0.0,12489.0,5711206.0
88,2015-05-31,458.0,475.0,465.0,472.0,0.0,16971.0,7991655.0
89,2015-06-01,472.0,483.0,475.0,483.0,0.0,12200.0,5846700.0
90,2015-06-02,483.0,482.0,471.0,482.0,0.0,7630.0,3649250.0
91,2015-06-03,482.0,491.0,483.0,484.0,0.0,11582.0,5625593.0
92,2015-06-04,484.0,486.0,484.0,486.0,0.0,3700.0,1792600.0
93,2015-06-07,486.0,490.0,485.0,490.0,0.0,2750.0,1339000.0
94,2015-06-08,490.0,525.0,499.0,507.0,0.0,9210.0,4711000.0
95,2015-06-09,507.0,522.0,513.0,517.0,0.0,36100.0,18665400.0
96,2015-06-10,517.0,518.0,507.0,507.0,0.0,16475.0,8373850.0
97,2015-06-11,507.0,505.0,496.0,505.0,0.0,15525.0,7800695.0
98,2015-06-14,505.0,510.0,501.0,510.0,0.0,3183.0,1608030.0
99,2015-06-15,510.0,511.0,505.0,507.0,0.0,13589.0,6913179.0
100,2015-06-16,507.0,511.0,507.0,511.0,0.0,42377.0,21589370.0
101,2015-06-17,511.0,511.0,504.0,504.0,0.0,6366.0,3248079.0
102,2015-06-18,504.0,505.0,500.0,502.0,0.0,14075.0,7051875.0
103,2015-06-21,502.0,505.0,500.0,500.0,0.0,10600.0,5325550.0
104,2015-06-22,500.0,500.0,496.0,500.0,0.0,3130.0,1554480.0
105,2015-06-23,500.0,502.0,500.0,500.0,0.0,5190.0,2595800.0
106,2015-06-24,500.0,505.0,500.0,502.0,0.0,10000.0,5024000.0
107,2015-06-25,502.0,510.0,500.0,500.0,0.0,28200.0,14116100.0
108,2015-06-28,500.0,506.0,500.0,506.0,0.0,64800.0,32424000.0
109,2015-06-29,506.0,510.0,505.0,509.0,0.0,7150.0,3617050.0
110,2015-06-30,509.0,508.0,506.0,508.0,0.0,10550.0,5343000.0
111,2015-07-01,508.0,510.0,505.0,505.0,0.0,5986.0,3031530.0
112,2015-07-02,505.0,508.0,506.0,507.0,0.0,9400.0,4764500.0
113,2015-07-05,507.0,510.0,510.0,510.0,0.0,5200.0,2652000.0
114,2015-07-07,510.0,510.0,500.0,510.0,0.0,23600.0,11978900.0
115,2015-07-08,510.0,510.0,509.0,509.0,0.0,7550.0,3847500.0
116,2015-07-09,509.0,509.0,509.0,509.0,0.0,2500.0,1272500.0
117,2015-07-12,509.0,515.0,510.0,510.0,0.0,9916.0,5059410.0
118,2015-07-13,510.0,512.0,510.0,512.0,0.0,6200.0,3171600.0
119,2015-07-14,512.0,512.0,512.0,512.0,0.0,10800.0,5529600.0
120,2015-07-15,512.0,530.0,512.0,530.0,0.0,16475.0,8436520.0
121,2015-07-16,530.0,538.0,520.0,520.0,0.0,200.0,106040.0
122,2015-07-22,520.0,530.0,513.0,530.0,0.0,3000.0,1566000.0
123,2015-07-23,530.0,550.0,533.0,541.0,0.0,24137.0,12959710.0
124,2015-07-26,541.0,595.0,551.0,595.0,0.0,10420.0,5972860.0
125,2015-07-27,595.0,654.0,600.0,605.0,0.0,32445.0,20091276.0
126,2015-07-28,605.0,600.0,585.0,587.0,0.0,16108.0,9528257.0
127,2015-07-29,587.0,577.0,566.0,570.0,0.0,10400.0,5933000.0
128,2015-07-30,570.0,603.0,581.0,590.0,0.0,12100.0,7121850.0
129,2015-08-02,590.0,601.0,592.0,595.0,0.0,2250.0,1337250.0
130,2015-08-03,595.0,594.0,585.0,590.0,0.0,456154.0,269134368.0
131,2015-08-04,590.0,605.0,584.0,605.0,0.0,17400.0,10282927.0
132,2015-08-05,605.0,603.0,590.0,600.0,0.0,19100.0,11369500.0
133,2015-08-06,600.0,610.0,600.0,606.0,0.0,76515.0,46211632.0
134,2015-08-09,606.0,666.0,613.0,655.0,0.0,44701.0,28280112.0
135,2015-08-10,655.0,704.0,668.0,695.0,0.0,44482.0,30723368.0
136,2015-08-11,695.0,704.0,680.0,695.0,0.0,40825.0,28288448.0
137,2015-08-12,695.0,703.0,681.0,699.0,0.0,26868.0,18596040.0
138,2015-08-13,699.0,748.0,700.0,720.0,0.0,92073.0,65865076.0
139,2015-08-16,720.0,792.0,734.0,792.0,0.0,56445.0,44260532.0
140,2015-08-17,792.0,856.0,790.0,831.0,0.0,64184.0,52796272.0
141,2015-08-18,831.0,835.0,792.0,820.0,0.0,50842.0,41543460.0
142,2015-08-19,820.0,823.0,795.0,800.0,0.0,42769.0,34719492.0
143,2015-08-20,800.0,850.0,800.0,800.0,0.0,34971.0,28847272.0
144,2015-08-23,800.0,805.0,785.0,800.0,0.0,23648.0,18839710.0
145,2015-08-24,800.0,800.0,780.0,787.0,0.0,16390.0,12974998.0
146,2015-08-25,787.0,790.0,761.0,785.0,0.0,11346.0,8873998.0
147,2015-08-26,785.0,785.0,774.0,778.0,0.0,7050.0,5493850.0
148,2015-08-27,778.0,787.0,771.0,771.0,0.0,20337.0,15779039.0
149,2015-08-31,771.0,808.0,773.0,808.0,0.0,41354.0,33033286.0
150,2015-09-01,808.0,820.0,800.0,812.0,0.0,65226.0,52500176.0
151,2015-09-02,812.0,812.0,794.0,800.0,0.0,58479.0,46847960.0
152,2015-09-03,800.0,805.0,795.0,800.0,0.0,18815.0,15025375.0
