S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2015-01-01,10.0,11.0,10.0,11.0,0.0,35500.0,384771.0
2,2015-01-04,11.0,11.0,11.0,11.0,0.0,41610.0,451021.0
3,2015-01-05,11.0,11.0,11.0,11.0,0.0,42000.0,447200.0
4,2015-01-06,11.0,11.0,10.0,11.0,0.0,32800.0,343700.0
5,2015-01-07,11.0,11.0,11.0,11.0,0.0,12700.0,134035.0
6,2015-01-11,11.0,10.0,10.0,10.0,0.0,16260.0,170489.0
7,2015-01-12,10.0,10.0,10.0,10.0,0.0,3000.0,31050.0
8,2015-01-13,10.0,10.0,10.0,10.0,0.0,7500.0,77925.0
9,2015-01-14,10.0,11.0,10.0,11.0,0.0,6000.0,62920.0
10,2015-01-18,11.0,11.0,10.0,10.0,0.0,48000.0,503710.0
11,2015-01-19,10.0,11.0,11.0,11.0,0.0,112500.0,1184625.0
12,2015-01-20,11.0,10.0,10.0,10.0,0.0,26000.0,268450.0
13,2015-01-22,10.0,10.0,10.0,10.0,0.0,57610.0,588055.0
14,2015-01-25,10.0,10.0,10.0,10.0,0.0,47109.0,490291.0
15,2015-01-26,10.0,11.0,10.0,10.0,0.0,8615.0,89648.0
16,2015-01-27,10.0,10.0,10.0,10.0,0.0,21000.0,217525.0
17,2015-01-28,10.0,11.0,10.0,11.0,0.0,24110.0,251509.0
18,2015-01-29,11.0,10.0,10.0,10.0,0.0,5510.0,57004.0
19,2015-02-01,10.0,11.0,10.0,11.0,0.0,54030.0,571824.0
20,2015-02-02,11.0,11.0,11.0,11.0,0.0,81230.0,876059.0
21,2015-02-04,11.0,11.0,11.0,11.0,0.0,21000.0,227260.0
22,2015-02-05,11.0,11.0,11.0,11.0,0.0,7110.0,76941.0
23,2015-02-08,11.0,11.0,11.0,11.0,0.0,5610.0,60562.0
24,2015-02-09,11.0,11.0,11.0,11.0,0.0,4349.0,46987.0
25,2015-02-10,11.0,11.0,11.0,11.0,0.0,15000.0,158250.0
26,2015-02-11,11.0,11.0,11.0,11.0,0.0,24000.0,253380.0
27,2015-02-12,11.0,11.0,11.0,11.0,0.0,3760.0,39480.0
28,2015-02-15,11.0,11.0,10.0,10.0,0.0,62957.0,654756.0
29,2015-02-16,10.0,10.0,10.0,10.0,0.0,23600.0,242814.0
30,2015-02-18,10.0,10.0,10.0,10.0,0.0,7610.0,78514.0
31,2015-02-22,10.0,10.0,10.0,10.0,0.0,12000.0,125030.0
32,2015-02-23,10.0,11.0,10.0,11.0,0.0,20619.0,215469.0
33,2015-02-24,11.0,10.0,10.0,10.0,0.0,2610.0,27144.0
34,2015-02-25,10.0,10.0,10.0,10.0,0.0,14830.0,153710.0
35,2015-02-26,10.0,10.0,10.0,10.0,0.0,8100.0,83025.0
36,2015-03-01,10.0,10.0,10.0,10.0,0.0,1500.0,15390.0
37,2015-03-02,10.0,10.0,10.0,10.0,0.0,47830.0,490258.0
38,2015-03-03,10.0,11.0,10.0,11.0,0.0,25720.0,266676.0
39,2015-03-04,11.0,11.0,10.0,11.0,0.0,7610.0,79566.0
40,2015-03-09,11.0,11.0,11.0,11.0,0.0,1100.0,11550.0
41,2015-03-11,11.0,10.0,10.0,10.0,0.0,5000.0,51750.0
42,2015-03-12,10.0,10.0,10.0,10.0,0.0,1500.0,15525.0
43,2015-03-15,10.0,10.0,10.0,10.0,0.0,2610.0,26883.0
44,2015-03-16,10.0,10.0,10.0,10.0,0.0,12830.0,128907.0
45,2015-03-17,10.0,10.0,10.0,10.0,0.0,12200.0,123680.0
46,2015-03-18,10.0,10.0,10.0,10.0,0.0,5000.0,50400.0
47,2015-03-19,10.0,10.0,10.0,10.0,0.0,21000.0,212750.0
48,2015-03-22,10.0,10.0,10.0,10.0,0.0,11200.0,112694.0
49,2015-03-23,10.0,10.0,10.0,10.0,0.0,2000.0,20200.0
50,2015-03-24,10.0,10.0,10.0,10.0,0.0,3000.0,30300.0
51,2015-03-25,10.0,10.0,10.0,10.0,0.0,10000.0,100500.0
52,2015-03-26,10.0,10.0,10.0,10.0,0.0,15000.0,150050.0
53,2015-03-29,10.0,10.0,10.0,10.0,0.0,4371.0,43997.0
54,2015-03-31,10.0,10.0,10.0,10.0,0.0,62100.0,622735.0
55,2015-04-01,10.0,10.0,10.0,10.0,0.0,48650.0,486614.0
56,2015-04-02,10.0,10.0,10.0,10.0,0.0,500.0,4950.0
57,2015-04-05,10.0,10.0,10.0,10.0,0.0,12000.0,119944.0
58,2015-04-07,10.0,10.0,10.0,10.0,0.0,9600.0,95520.0
59,2015-04-08,10.0,10.0,10.0,10.0,0.0,5500.0,55000.0
60,2015-04-09,10.0,10.0,10.0,10.0,0.0,5000.0,49500.0
61,2015-04-12,10.0,10.0,10.0,10.0,0.0,10000.0,100500.0
62,2015-04-13,10.0,10.0,10.0,10.0,0.0,1500.0,15150.0
63,2015-04-19,10.0,10.0,10.0,10.0,0.0,6000.0,60200.0
64,2015-04-20,10.0,10.0,10.0,10.0,0.0,17100.0,172710.0
65,2015-04-21,10.0,10.0,10.0,10.0,0.0,10415.0,105142.0
66,2015-04-22,10.0,10.0,10.0,10.0,0.0,2000.0,20000.0
67,2015-04-23,10.0,10.0,10.0,10.0,0.0,131277.0,1321453.0
68,2015-05-24,10.0,10.0,9.0,9.0,0.0,28430.0,264052.0
69,2015-05-26,9.0,9.0,9.0,9.0,0.0,16600.0,150937.0
70,2015-05-28,9.0,9.0,9.0,9.0,0.0,7500.0,68175.0
71,2015-06-01,9.0,9.0,9.0,9.0,0.0,18490.0,172212.0
72,2015-06-02,9.0,10.0,10.0,10.0,0.0,5600.0,53998.0
73,2015-06-08,10.0,10.0,10.0,10.0,0.0,5000.0,48000.0
74,2015-06-09,10.0,10.0,10.0,10.0,0.0,20400.0,200110.0
75,2015-06-10,10.0,10.0,10.0,10.0,0.0,2610.0,25839.0
76,2015-06-14,10.0,10.0,10.0,10.0,0.0,90880.0,877659.0
77,2015-06-15,10.0,10.0,10.0,10.0,0.0,35000.0,341850.0
78,2015-06-16,10.0,10.0,10.0,10.0,0.0,7100.0,70040.0
79,2015-06-17,10.0,10.0,10.0,10.0,0.0,34550.0,343725.0
80,2015-06-18,10.0,10.0,10.0,10.0,0.0,15000.0,144850.0
81,2015-06-21,10.0,10.0,10.0,10.0,0.0,19900.0,189050.0
82,2015-06-22,10.0,10.0,10.0,10.0,0.0,9800.0,94080.0
83,2015-06-23,10.0,10.0,10.0,10.0,0.0,5000.0,47750.0
84,2015-06-24,10.0,10.0,10.0,10.0,0.0,5000.0,48250.0
85,2015-06-28,10.0,10.0,10.0,10.0,0.0,34000.0,330050.0
86,2015-07-01,10.0,10.0,10.0,10.0,0.0,1100.0,10835.0
87,2015-07-07,10.0,10.0,10.0,10.0,0.0,5267.0,51164.0
88,2015-07-08,10.0,10.0,10.0,10.0,0.0,15550.0,151528.0
89,2015-07-09,10.0,10.0,10.0,10.0,0.0,3800.0,37000.0
90,2015-07-12,10.0,10.0,10.0,10.0,0.0,7900.0,77023.0
91,2015-07-13,10.0,10.0,10.0,10.0,0.0,5000.0,48750.0
92,2015-07-14,10.0,10.0,10.0,10.0,0.0,9463.0,92514.0
93,2015-07-15,10.0,10.0,10.0,10.0,0.0,9610.0,94026.0
94,2015-07-16,10.0,10.0,10.0,10.0,0.0,1000.0,10000.0
95,2015-07-23,10.0,10.0,10.0,10.0,0.0,4500.0,45000.0
96,2015-07-27,10.0,11.0,10.0,11.0,0.0,12500.0,129630.0
