S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2016-06-08,273.0,300.0,278.0,300.0,0.0,60.0,17400.0
2,2016-06-09,300.0,330.0,306.0,330.0,0.0,50.0,15900.0
3,2016-06-12,330.0,361.0,336.0,361.0,0.0,50.0,17410.0
4,2016-06-13,361.0,397.0,368.0,397.0,0.0,60.0,23070.0
5,2016-06-14,397.0,436.0,404.0,436.0,0.0,50.0,21000.0
6,2016-06-15,436.0,479.0,444.0,479.0,0.0,1045.0,499665.0
7,2016-06-16,479.0,526.0,488.0,526.0,0.0,8600.0,4522630.0
8,2016-06-19,526.0,548.0,500.0,505.0,0.0,21001.0,11020261.0
9,2016-06-20,505.0,515.0,500.0,507.0,0.0,9226.0,4681849.0
10,2016-06-21,507.0,520.0,490.0,520.0,0.0,9770.0,5004156.0
11,2016-06-22,520.0,528.0,517.0,517.0,0.0,2596.0,1358070.0
12,2016-06-23,517.0,527.0,520.0,520.0,0.0,7446.0,3891512.0
13,2016-06-26,520.0,530.0,510.0,525.0,0.0,6020.0,3113154.0
14,2016-06-27,525.0,530.0,524.0,529.0,0.0,3228.0,1702260.0
15,2016-06-28,529.0,549.0,536.0,547.0,0.0,8400.0,4568783.0
16,2016-06-29,547.0,580.0,553.0,579.0,0.0,10287.0,5908318.0
17,2016-06-30,579.0,615.0,589.0,603.0,0.0,12956.0,7808042.0
18,2016-07-03,603.0,612.0,600.0,605.0,0.0,6504.0,3949842.0
19,2016-07-04,605.0,610.0,590.0,595.0,0.0,4014.0,2394698.0
20,2016-07-05,595.0,612.0,587.0,593.0,0.0,7419.0,4423890.0
21,2016-07-06,593.0,624.0,593.0,624.0,0.0,12614.0,7627225.0
22,2016-07-10,624.0,676.0,636.0,662.0,0.0,7090.0,4696521.0
23,2016-07-11,662.0,670.0,643.0,658.0,0.0,3429.0,2254716.0
24,2016-07-12,658.0,658.0,619.0,627.0,0.0,8347.0,5404808.0
25,2016-07-13,627.0,639.0,615.0,627.0,0.0,4854.0,3038658.0
