S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-04-10,160.0,157.0,157.0,157.0,0.0,68.0,10676.0
2,2011-04-11,157.0,154.0,154.0,154.0,0.0,21.0,3234.0
3,2011-04-18,154.0,157.0,157.0,157.0,0.0,102.0,16014.0
4,2011-05-12,157.0,154.0,154.0,154.0,0.0,34.0,5236.0
5,2011-07-28,154.0,147.0,147.0,147.0,0.0,10.0,1470.0
6,2011-08-11,147.0,145.0,141.0,141.0,0.0,50.0,7150.0
7,2011-08-15,141.0,139.0,137.0,137.0,0.0,30.0,4150.0
8,2011-08-16,137.0,135.0,135.0,135.0,0.0,34.0,4590.0
9,2011-08-17,135.0,133.0,133.0,133.0,0.0,10.0,1330.0
10,2011-08-24,133.0,131.0,131.0,131.0,0.0,146.0,19126.0
11,2011-09-08,131.0,131.0,131.0,131.0,0.0,10.0,1310.0
12,2011-09-15,131.0,129.0,129.0,129.0,0.0,34.0,4386.0
13,2011-09-18,129.0,127.0,127.0,127.0,0.0,21.0,2667.0
14,2011-09-21,127.0,127.0,127.0,127.0,0.0,68.0,8636.0
15,2011-10-02,127.0,129.0,127.0,129.0,0.0,88.0,11312.0
16,2011-10-12,129.0,127.0,127.0,127.0,0.0,34.0,4318.0
17,2011-11-14,127.0,127.0,127.0,127.0,0.0,34.0,4318.0
18,2011-11-15,127.0,127.0,127.0,127.0,0.0,374.0,47498.0
19,2011-12-01,127.0,127.0,125.0,127.0,0.0,74.0,9302.0
20,2011-12-04,127.0,125.0,125.0,125.0,0.0,5000.0,625000.0
21,2011-12-05,125.0,135.0,127.0,135.0,0.0,5302.0,715370.0
22,2012-01-04,135.0,133.0,133.0,133.0,0.0,68.0,9044.0
23,2012-02-07,133.0,131.0,131.0,131.0,0.0,34.0,4454.0
24,2012-03-01,131.0,129.0,129.0,129.0,0.0,34.0,4386.0
25,2012-03-04,129.0,127.0,127.0,127.0,0.0,100.0,12700.0
26,2012-03-29,127.0,129.0,125.0,129.0,0.0,612.0,77190.0
27,2012-04-01,129.0,137.0,129.0,137.0,0.0,580.0,76640.0
28,2012-04-03,137.0,139.0,139.0,139.0,0.0,50.0,6950.0
29,2012-06-10,139.0,140.0,140.0,140.0,0.0,136.0,19040.0
30,2012-06-14,140.0,138.0,138.0,138.0,0.0,624.0,86112.0
31,2012-08-21,138.0,138.0,138.0,138.0,0.0,68.0,9384.0
32,2012-08-22,138.0,137.0,137.0,137.0,0.0,34.0,4658.0
33,2012-08-23,137.0,139.0,139.0,139.0,0.0,100.0,13900.0
34,2012-08-26,139.0,138.0,138.0,138.0,0.0,40.0,5520.0
35,2012-08-27,138.0,138.0,138.0,138.0,0.0,238.0,32844.0
36,2012-08-28,138.0,144.0,140.0,144.0,0.0,209.0,29518.0
37,2012-08-29,144.0,144.0,142.0,144.0,0.0,3532.0,502224.0
38,2012-08-30,144.0,144.0,142.0,144.0,0.0,2740.0,389290.0
39,2012-09-02,144.0,142.0,142.0,142.0,0.0,68.0,9656.0
40,2012-09-03,142.0,143.0,140.0,143.0,0.0,847.0,118924.0
41,2012-09-04,143.0,145.0,145.0,145.0,0.0,34.0,4930.0
42,2012-09-09,145.0,143.0,142.0,142.0,0.0,68.0,9690.0
43,2012-09-10,142.0,146.0,144.0,146.0,0.0,50.0,7240.0
44,2012-09-11,146.0,144.0,144.0,144.0,0.0,68.0,9792.0
45,2012-09-12,144.0,145.0,143.0,143.0,0.0,268.0,38542.0
46,2012-09-13,143.0,145.0,143.0,143.0,0.0,16309.0,2332255.0
47,2012-09-25,143.0,145.0,144.0,145.0,0.0,189.0,27316.0
48,2012-10-01,145.0,147.0,147.0,147.0,0.0,58.0,8526.0
49,2012-10-02,147.0,149.0,149.0,149.0,0.0,68.0,10132.0
50,2012-10-04,149.0,149.0,149.0,149.0,0.0,34.0,5066.0
51,2012-10-11,149.0,147.0,147.0,147.0,0.0,68.0,9996.0
52,2012-10-14,147.0,149.0,149.0,149.0,0.0,34.0,5066.0
53,2012-10-15,149.0,163.0,151.0,163.0,0.0,1316.0,212292.0
54,2012-10-17,163.0,163.0,163.0,163.0,0.0,200.0,32600.0
55,2012-11-05,163.0,163.0,160.0,163.0,0.0,134.0,21542.0
56,2012-11-06,163.0,172.0,166.0,170.0,0.0,186.0,31544.0
57,2012-11-07,170.0,167.0,167.0,167.0,0.0,42.0,7014.0
58,2012-11-22,167.0,170.0,170.0,170.0,0.0,34.0,5780.0
59,2012-11-26,170.0,173.0,173.0,173.0,0.0,68.0,11764.0
60,2012-11-28,173.0,170.0,170.0,170.0,0.0,5000.0,850000.0
61,2012-12-06,170.0,167.0,167.0,167.0,0.0,5000.0,835000.0
62,2012-12-09,167.0,167.0,167.0,167.0,0.0,5000.0,835000.0
63,2012-12-13,167.0,164.0,164.0,164.0,0.0,4000.0,656000.0
64,2012-12-19,164.0,164.0,164.0,164.0,0.0,2062.0,338168.0
65,2013-02-24,164.0,165.0,165.0,165.0,0.0,21.0,3465.0
66,2013-03-14,165.0,163.0,160.0,163.0,0.0,446.0,72122.0
67,2013-03-18,163.0,160.0,151.0,151.0,0.0,510.0,78226.0
68,2013-03-19,151.0,148.0,144.0,144.0,0.0,1500.0,219000.0
69,2013-03-20,144.0,146.0,146.0,146.0,0.0,76.0,11096.0
70,2013-05-09,146.0,146.0,146.0,146.0,0.0,21.0,3066.0
71,2013-05-13,146.0,144.0,142.0,142.0,0.0,68.0,9724.0
72,2013-05-21,142.0,140.0,140.0,140.0,0.0,123.0,17220.0
73,2013-05-28,140.0,138.0,138.0,138.0,0.0,63.0,8694.0
74,2013-05-30,138.0,140.0,140.0,140.0,0.0,400.0,56000.0
75,2013-06-02,140.0,142.0,142.0,142.0,0.0,34.0,4828.0
76,2013-06-03,142.0,144.0,144.0,144.0,0.0,34.0,4896.0
77,2013-06-04,144.0,146.0,144.0,146.0,0.0,163.0,23672.0
78,2013-06-05,146.0,147.0,145.0,147.0,0.0,87.0,12741.0
79,2013-07-03,147.0,126.0,124.0,124.0,0.0,76.0,9508.0
80,2013-07-30,124.0,126.0,126.0,126.0,0.0,34.0,4284.0
81,2013-08-04,126.0,128.0,128.0,128.0,0.0,340.0,43520.0
82,2013-08-05,128.0,130.0,130.0,130.0,0.0,29.0,3770.0
83,2013-08-11,130.0,132.0,132.0,132.0,0.0,10.0,1320.0
84,2013-08-13,132.0,134.0,134.0,134.0,0.0,39.0,5226.0
85,2013-08-15,134.0,137.0,136.0,137.0,0.0,48.0,6552.0
86,2013-08-20,137.0,141.0,139.0,141.0,0.0,68.0,9520.0
87,2013-08-25,141.0,139.0,139.0,139.0,0.0,1334.0,185426.0
88,2013-08-27,139.0,151.0,141.0,151.0,0.0,693.0,102297.0
89,2013-08-29,151.0,166.0,154.0,166.0,0.0,140.0,22130.0
90,2013-09-01,166.0,181.0,169.0,181.0,0.0,90.0,15630.0
91,2013-09-02,181.0,184.0,184.0,184.0,0.0,10.0,1840.0
92,2013-09-03,184.0,199.0,187.0,199.0,0.0,240.0,45750.0
93,2013-09-04,199.0,218.0,202.0,214.0,0.0,2443.0,524356.0
94,2013-09-05,214.0,210.0,195.0,196.0,0.0,657.0,134449.0
95,2013-09-08,196.0,193.0,193.0,193.0,0.0,21.0,4053.0
96,2013-09-10,193.0,190.0,190.0,190.0,0.0,48.0,9120.0
97,2013-09-11,190.0,192.0,189.0,192.0,0.0,582.0,110376.0
98,2013-09-16,192.0,198.0,195.0,198.0,0.0,79.0,15504.0
99,2013-09-17,198.0,200.0,199.0,200.0,0.0,144.0,28700.0
100,2013-09-19,200.0,200.0,194.0,194.0,0.0,222.0,43640.0
101,2013-09-22,194.0,191.0,191.0,191.0,0.0,34.0,6494.0
102,2013-09-25,191.0,188.0,188.0,188.0,0.0,100.0,18800.0
103,2013-09-26,188.0,185.0,185.0,185.0,0.0,230.0,42550.0
104,2013-09-30,185.0,182.0,182.0,182.0,0.0,79.0,14378.0
105,2013-10-01,182.0,182.0,179.0,182.0,0.0,82.0,14780.0
106,2013-10-03,182.0,180.0,177.0,177.0,0.0,50.0,8883.0
107,2013-10-07,177.0,174.0,174.0,174.0,0.0,48.0,8352.0
108,2013-10-08,174.0,171.0,171.0,171.0,0.0,39.0,6669.0
109,2013-10-10,171.0,174.0,174.0,174.0,0.0,10.0,1740.0
110,2013-10-21,174.0,171.0,171.0,171.0,0.0,374.0,63954.0
111,2013-10-22,171.0,177.0,174.0,177.0,0.0,44.0,7686.0
112,2013-10-23,177.0,175.0,174.0,175.0,0.0,48.0,8376.0
113,2013-10-24,175.0,178.0,175.0,178.0,0.0,73.0,12892.0
114,2013-10-28,178.0,175.0,175.0,175.0,0.0,30.0,5250.0
115,2013-10-29,175.0,175.0,175.0,175.0,0.0,273.0,47775.0
116,2013-10-31,175.0,176.0,176.0,176.0,0.0,39.0,6864.0
117,2013-11-14,176.0,193.0,179.0,193.0,0.0,402.0,75030.0
118,2013-11-24,193.0,199.0,196.0,199.0,0.0,2034.0,398766.0
119,2013-11-25,199.0,206.0,202.0,206.0,0.0,619.0,127358.0
120,2013-11-27,206.0,226.0,210.0,226.0,0.0,118.0,26268.0
