S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2016-04-05,425.0,425.0,425.0,425.0,0.0,25920.0,11016000.0
2,2016-09-27,800.0,800.0,800.0,800.0,0.0,25000.0,20000000.0
3,2017-07-25,868.0,855.0,855.0,855.0,0.0,17107.0,14626485.0
4,2017-08-15,855.0,855.0,855.0,855.0,0.0,45000.0,38475000.0
5,2017-08-16,855.0,855.0,855.0,855.0,0.0,40536.0,34658280.0
6,2018-02-14,410.0,410.0,410.0,410.0,0.0,42768.0,17534880.0
7,2018-07-12,440.0,440.0,440.0,440.0,0.0,21383.0,9408520.0
8,2019-06-02,380.0,380.0,380.0,380.0,-13.64,19000.0,7220000.0
9,2019-06-26,373.0,373.0,373.0,373.0,-1.84,2000.0,746000.0
10,2020-08-02,255.0,255.0,255.0,255.0,0.0,40000.0,10200000.0
11,2020-11-04,283.0,283.0,283.0,283.0,0.0,45000.0,12735000.0
12,2020-11-08,283.0,283.0,283.0,283.0,0.0,7500.0,2122500.0
13,2020-11-26,283.0,283.0,283.0,283.0,0.0,10000.0,2830000.0
14,2020-12-30,278.0,278.0,278.0,278.0,-1.77,21587.0,6001186.0
15,2021-01-03,273.0,273.0,273.0,273.0,-1.8,96228.0,26270244.0
16,2021-01-04,268.0,268.0,268.0,268.0,-1.83,92378.0,24757304.0
17,2021-01-05,263.0,263.0,263.0,263.0,-1.87,40000.0,10520000.0
18,2021-02-01,263.0,263.0,263.0,263.0,0.0,136412.0,35876356.0
19,2021-02-15,265.0,265.0,265.0,265.0,0.76,3000.0,795000.0
20,2021-03-07,260.0,260.0,260.0,260.0,-1.89,22800.0,5928000.0
21,2021-09-23,367.0,367.0,367.0,367.0,0.0,25000.0,9175000.0
22,2021-11-25,367.0,367.0,367.0,367.0,0.0,80000.0,29360000.0
23,2021-11-28,359.7,359.7,359.7,359.7,-1.99,80000.0,28776000.0
24,2022-01-23,359.7,359.7,359.7,359.7,0.0,282679.0,101679636.3
25,2023-01-25,257.8,257.8,257.8,257.8,-1.98,7366.0,1898954.8
