S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2016-01-13,100.0,100.0,100.0,100.0,0.0,53000.0,5300000.0
2,2017-07-13,120.0,120.0,120.0,120.0,0.0,10000.0,1200000.0
3,2017-11-21,120.0,118.0,118.0,118.0,0.0,15081.0,1779558.0
4,2017-11-23,118.0,118.0,116.0,116.0,0.0,22108.0,2604744.0
5,2018-01-07,116.0,100.0,100.0,100.0,0.0,15081.0,1508100.0
6,2018-04-04,114.0,114.0,114.0,114.0,-1.72,8278.0,943692.0
7,2018-09-04,100.0,100.0,100.0,100.0,0.0,2600.0,260000.0
8,2018-10-02,110.0,110.0,110.0,110.0,0.0,18354.0,2143440.0
9,2019-04-24,119.0,119.0,119.0,119.0,8.18,25135.0,2991065.0
10,2019-07-17,119.0,119.0,119.0,119.0,0.0,5600.0,666400.0
11,2019-09-26,109.0,109.0,109.0,109.0,-8.4,2240.0,244160.0
12,2020-07-07,109.0,109.0,109.0,109.0,0.0,10054.0,1095886.0
13,2020-11-02,109.0,109.0,109.0,109.0,0.0,11260.0,1227340.0
14,2021-01-05,109.0,109.0,109.0,109.0,0.0,4800.0,523200.0
15,2021-08-18,346.0,346.0,346.0,346.0,0.0,5629.0,1947634.0
16,2021-09-13,346.0,346.0,346.0,346.0,0.0,9296.0,3216416.0
17,2021-11-30,322.0,322.0,322.0,322.0,0.0,563.0,181286.0
18,2021-12-09,316.0,316.0,316.0,316.0,-1.86,17864.0,5645024.0
19,2022-01-02,316.0,316.0,316.0,316.0,0.0,1326.0,419016.0
20,2022-01-03,316.0,316.0,316.0,316.0,0.0,12300.0,3886800.0
21,2022-05-12,177.0,177.0,177.0,177.0,0.0,17961.0,3179097.0
22,2022-06-28,177.0,177.0,177.0,177.0,0.0,6082.0,1076514.0
23,2022-10-13,164.0,164.0,164.0,164.0,0.0,2695.0,441980.0
24,2022-11-16,164.0,164.0,164.0,164.0,0.0,8162.0,1338568.0
25,2023-01-02,164.0,164.0,164.0,164.0,0.0,10000.0,1640000.0
26,2023-01-09,164.0,164.0,164.0,164.0,0.0,20655.0,3387420.0
27,2023-03-09,164.0,164.0,164.0,164.0,0.0,14244.0,2336016.0
28,2023-03-27,164.0,164.0,164.0,164.0,0.0,12387.0,2031468.0
29,2023-07-13,215.0,215.0,215.0,215.0,0.0,20656.0,4441040.0
30,2024-03-18,204.0,204.0,204.0,204.0,-5.12,7455.0,1520820.0
31,2024-04-15,204.0,204.0,204.0,204.0,0.0,22633.0,4617132.0
32,2025-02-16,303.0,303.0,303.0,303.0,0.0,15170.0,4596510.0
33,2025-07-16,274.0,274.0,274.0,274.0,1.11,30342.0,8313708.0
34,2025-08-26,274.0,274.0,274.0,274.0,0.0,10998.0,3013452.0
35,2026-01-05,274.0,274.0,274.0,274.0,0.0,22632.0,6201168.0
36,2026-02-25,274.0,274.0,274.0,274.0,0.0,3000.0,822000.0
