S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2017-09-25,0.0,0.0,0.0,0.0,0.0,25000.0,10192000.0
2,2017-12-19,0.0,350.0,350.0,350.0,0.0,14641.0,4892966.0
3,2019-08-28,330.0,330.0,319.5,319.5,-8.71,323525.0,105466240.0
4,2020-07-05,398.75,398.75,398.75,398.75,24.8,21061.0,8398074.0
5,2020-08-09,357.0,373.0,357.0,373.0,0.0,81294.0,29037958.0
6,2020-12-27,477.0,477.0,431.0,461.0,0.0,2632.0,1227392.0
7,2021-04-26,327.0,327.0,327.0,327.0,0.0,3150.0,1532205.0
8,2021-04-27,327.0,327.0,327.0,327.0,0.0,11256.0,6611868.0
9,2021-05-18,327.0,327.0,327.0,327.0,0.0,1100.0,537900.0
10,2021-05-24,327.0,327.0,327.0,327.0,0.0,2244.0,1117132.0
11,2021-06-01,327.0,327.0,327.0,327.0,0.0,2000.0,980000.0
12,2021-06-20,327.0,327.0,327.0,327.0,0.0,200.0,110000.0
13,2021-09-26,327.0,327.0,327.0,327.0,0.0,43260.0,19229606.0
14,2021-10-03,327.0,327.0,327.0,327.0,0.0,145290.0,67320610.0
15,2021-10-04,327.0,327.0,327.0,327.0,0.0,100.0,53100.0
16,2022-05-05,327.0,327.0,327.0,327.0,0.0,13100.0,7135100.0
17,2022-07-26,327.0,327.0,327.0,327.0,0.0,2620.0,262000.0
