S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-03-25,270.0,270.0,270.0,270.0,0.0,150.0,40500.0
2,2011-03-28,270.0,270.0,270.0,270.0,0.0,237.0,63990.0
3,2011-03-30,270.0,270.0,270.0,270.0,0.0,59.0,15930.0
4,2011-04-19,270.0,265.0,255.0,260.0,0.0,472.0,121770.0
5,2011-05-08,260.0,260.0,250.0,260.0,0.0,2052.0,513310.0
6,2011-05-09,260.0,255.0,255.0,255.0,0.0,20.0,5100.0
7,2011-05-10,255.0,255.0,255.0,255.0,0.0,200.0,51000.0
8,2011-05-11,255.0,260.0,260.0,260.0,0.0,10.0,2600.0
9,2011-05-18,260.0,255.0,254.0,254.0,0.0,310.0,78750.0
10,2011-06-12,254.0,270.0,266.0,270.0,0.0,3185.0,859910.0
11,2011-06-23,270.0,275.0,275.0,275.0,0.0,10.0,2750.0
12,2011-07-06,275.0,288.0,288.0,288.0,0.0,10.0,2880.0
13,2011-07-24,288.0,283.0,283.0,283.0,0.0,2000.0,566000.0
14,2011-07-26,283.0,293.0,288.0,293.0,0.0,583.0,170454.0
15,2011-08-04,293.0,288.0,288.0,288.0,0.0,30.0,8640.0
16,2011-08-18,288.0,293.0,293.0,293.0,0.0,20.0,5860.0
17,2011-08-23,293.0,293.0,293.0,293.0,0.0,2512.0,736016.0
18,2011-08-29,293.0,288.0,283.0,283.0,0.0,210.0,59480.0
19,2011-09-01,283.0,278.0,258.0,263.0,0.0,3100.0,834050.0
20,2011-09-04,263.0,268.0,268.0,268.0,0.0,10.0,2680.0
21,2011-09-08,268.0,263.0,263.0,263.0,0.0,20.0,5260.0
22,2011-09-12,263.0,262.0,257.0,257.0,0.0,264.0,67926.0
23,2011-09-13,257.0,253.0,248.0,248.0,0.0,232.0,58140.0
24,2011-09-14,248.0,244.0,244.0,244.0,0.0,533.0,130052.0
25,2011-09-15,244.0,248.0,248.0,248.0,0.0,10.0,2480.0
26,2011-09-18,248.0,252.0,252.0,252.0,0.0,10.0,2520.0
27,2011-09-19,252.0,257.0,257.0,257.0,0.0,10.0,2570.0
28,2011-09-25,257.0,256.0,251.0,256.0,0.0,1490.0,381116.0
29,2011-09-26,256.0,251.0,249.0,249.0,0.0,620.0,154520.0
30,2011-09-27,249.0,250.0,250.0,250.0,0.0,338.0,84500.0
31,2011-10-17,250.0,251.0,250.0,250.0,0.0,46.0,11526.0
32,2011-11-06,250.0,265.0,255.0,262.0,0.0,3246.0,848005.0
33,2011-11-10,262.0,267.0,267.0,267.0,0.0,346.0,92382.0
34,2011-11-14,267.0,277.0,272.0,277.0,0.0,2341.0,645787.0
35,2011-11-15,277.0,279.0,279.0,279.0,0.0,25.0,6975.0
36,2011-11-16,279.0,275.0,275.0,275.0,0.0,47.0,12925.0
37,2011-11-20,275.0,271.0,271.0,271.0,0.0,2302.0,623842.0
38,2011-11-27,271.0,266.0,261.0,261.0,0.0,2015.0,526015.0
39,2011-12-01,261.0,259.0,255.0,255.0,0.0,329.0,84611.0
40,2011-12-04,255.0,255.0,250.0,255.0,0.0,749.0,187350.0
41,2011-12-05,255.0,260.0,255.0,255.0,0.0,1411.0,366335.0
42,2011-12-06,255.0,265.0,250.0,250.0,0.0,725.0,186950.0
43,2011-12-07,250.0,245.0,245.0,245.0,0.0,4353.0,1066485.0
44,2011-12-08,245.0,241.0,241.0,241.0,0.0,14848.0,3578368.0
45,2012-01-05,241.0,201.0,201.0,201.0,0.0,1800.0,361800.0
46,2012-02-16,201.0,201.0,201.0,201.0,0.0,1200.0,241200.0
47,2012-03-18,201.0,205.0,205.0,205.0,0.0,11500.0,2357500.0
48,2012-03-19,205.0,205.0,205.0,205.0,0.0,5072.0,1039760.0
49,2012-04-18,205.0,204.0,204.0,204.0,0.0,750.0,153000.0
50,2012-04-26,204.0,204.0,204.0,204.0,0.0,1170.0,238680.0
51,2012-05-24,204.0,208.0,204.0,208.0,0.0,145.0,29624.0
52,2012-06-18,208.0,208.0,208.0,208.0,0.0,5072.0,1054976.0
53,2012-07-03,208.0,204.0,200.0,200.0,0.0,1036.0,211280.0
54,2012-07-10,200.0,200.0,200.0,200.0,0.0,488.0,97600.0
55,2012-07-17,200.0,200.0,200.0,200.0,0.0,84.0,16800.0
56,2012-08-12,200.0,205.0,194.0,194.0,0.0,1073.0,215753.0
57,2012-08-14,194.0,197.0,194.0,194.0,0.0,181.0,35597.0
58,2012-08-15,194.0,196.0,191.0,191.0,0.0,1764.0,341588.0
59,2012-08-16,191.0,190.0,190.0,190.0,0.0,2000.0,380000.0
60,2012-08-19,190.0,187.0,187.0,187.0,0.0,2500.0,467500.0
61,2012-08-21,187.0,184.0,184.0,184.0,0.0,2166.0,398544.0
62,2012-08-22,184.0,181.0,180.0,180.0,0.0,1151.0,207514.0
63,2012-08-23,180.0,178.0,178.0,178.0,0.0,1334.0,237452.0
64,2012-08-27,178.0,175.0,175.0,175.0,0.0,1500.0,262500.0
65,2012-08-28,175.0,177.0,177.0,177.0,0.0,2166.0,383382.0
66,2012-09-13,177.0,183.0,180.0,183.0,0.0,487.0,88827.0
67,2012-09-20,183.0,189.0,186.0,189.0,0.0,923.0,171918.0
68,2012-10-07,189.0,207.0,192.0,207.0,0.0,3311.0,671969.0
69,2012-10-08,207.0,227.0,207.0,227.0,0.0,689.0,145631.0
70,2012-10-09,227.0,235.0,231.0,235.0,0.0,100.0,23400.0
71,2012-10-10,235.0,244.0,239.0,240.0,0.0,1050.0,252440.0
72,2012-10-11,240.0,240.0,236.0,240.0,0.0,215.0,51384.0
73,2012-11-04,240.0,243.0,243.0,243.0,0.0,150.0,36450.0
74,2012-11-05,243.0,247.0,247.0,247.0,0.0,20.0,4940.0
75,2012-11-06,247.0,265.0,251.0,265.0,0.0,306.0,79446.0
76,2012-11-07,265.0,290.0,270.0,290.0,0.0,168.0,47480.0
77,2012-11-18,290.0,285.0,285.0,285.0,0.0,55.0,15675.0
78,2012-11-25,285.0,289.0,289.0,289.0,0.0,200.0,57800.0
79,2012-11-26,289.0,284.0,284.0,284.0,0.0,100.0,28400.0
80,2012-11-27,284.0,289.0,279.0,289.0,0.0,215.0,60135.0
81,2012-12-02,289.0,285.0,285.0,285.0,0.0,544.0,155040.0
82,2012-12-05,285.0,285.0,285.0,285.0,0.0,145.0,41325.0
83,2012-12-06,285.0,289.0,289.0,289.0,0.0,950.0,274550.0
84,2012-12-09,289.0,290.0,290.0,290.0,0.0,125.0,36250.0
85,2012-12-10,290.0,285.0,285.0,285.0,0.0,100.0,28500.0
86,2012-12-23,285.0,284.0,280.0,284.0,0.0,845.0,237980.0
87,2013-01-02,284.0,279.0,279.0,279.0,0.0,150.0,41850.0
88,2013-01-03,279.0,274.0,274.0,274.0,0.0,200.0,54800.0
89,2013-01-06,274.0,270.0,270.0,270.0,0.0,200.0,54000.0
90,2013-01-09,270.0,275.0,275.0,275.0,0.0,105.0,28875.0
91,2013-01-10,275.0,285.0,274.0,285.0,0.0,399.0,111671.0
92,2013-01-13,285.0,290.0,285.0,285.0,0.0,10180.0,2951300.0
93,2013-01-15,285.0,290.0,285.0,285.0,0.0,9536.0,2763940.0
94,2013-01-17,285.0,285.0,285.0,285.0,0.0,2048.0,583680.0
95,2013-01-22,285.0,290.0,290.0,290.0,0.0,100.0,29000.0
96,2013-01-24,290.0,290.0,290.0,290.0,0.0,4000.0,1160000.0
97,2013-01-28,290.0,290.0,285.0,285.0,0.0,1286.0,366610.0
98,2013-02-04,285.0,289.0,289.0,289.0,0.0,1939.0,560371.0
99,2013-02-05,289.0,290.0,289.0,290.0,0.0,2749.0,794788.0
100,2013-02-07,290.0,285.0,280.0,280.0,0.0,4237.0,1193855.0
101,2013-02-13,280.0,285.0,285.0,285.0,0.0,985.0,280725.0
102,2013-02-14,285.0,291.0,285.0,291.0,0.0,614.0,175654.0
103,2013-02-17,291.0,301.0,296.0,301.0,0.0,4000.0,1199000.0
104,2013-02-19,301.0,313.0,307.0,313.0,0.0,3000.0,924000.0
105,2013-02-20,313.0,315.0,315.0,315.0,0.0,476.0,149940.0
106,2013-02-27,315.0,320.0,314.0,314.0,0.0,5011.0,1603454.0
107,2013-03-21,314.0,314.0,314.0,314.0,0.0,100.0,31400.0
108,2013-03-28,314.0,314.0,314.0,314.0,0.0,66.0,20724.0
109,2013-03-31,314.0,314.0,307.0,311.0,0.0,6804.0,2122824.0
