S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-06-05,0.0,109.0,109.0,109.0,0.0,34341.0,3743169.0
2,2011-08-15,107.0,107.0,107.0,107.0,0.0,27294.0,2920458.0
3,2011-11-08,107.0,108.0,108.0,108.0,0.0,28157.0,3040956.0
4,2013-02-04,108.0,110.0,110.0,110.0,0.0,22894.0,2518340.0
5,2014-04-15,100.0,108.0,108.0,108.0,0.0,11076.0,1196208.0
6,2014-08-18,108.0,106.0,106.0,106.0,0.0,31208.0,3308048.0
7,2015-07-01,334.0,328.0,306.0,306.0,0.0,50.0,15820.0
8,2015-07-02,306.0,300.0,279.0,279.0,0.0,60.0,17400.0
9,2015-07-05,279.0,274.0,254.0,254.0,0.0,50.0,13200.0
10,2015-07-07,254.0,249.0,230.0,230.0,0.0,18984.0,4385604.0
11,2015-07-08,230.0,226.0,210.0,210.0,0.0,550.0,121100.0
12,2015-07-16,210.0,206.0,190.0,190.0,0.0,168453.0,32006500.0
13,2015-08-12,190.0,187.0,187.0,187.0,0.0,63142.0,11807554.0
14,2016-07-28,706.0,706.0,706.0,706.0,0.0,36000.0,25416000.0
15,2017-03-21,350.0,350.0,350.0,350.0,0.0,20319.0,7111650.0
16,2017-05-16,350.0,350.0,350.0,350.0,0.0,50000.0,17500000.0
17,2017-06-15,350.0,350.0,350.0,350.0,0.0,40419.0,14146650.0
18,2017-06-27,350.0,350.0,350.0,350.0,0.0,3566.0,1248100.0
19,2017-07-02,350.0,350.0,350.0,350.0,0.0,7924.0,2773400.0
20,2017-10-09,215.0,215.0,215.0,215.0,0.0,6738.0,1448670.0
21,2017-10-10,215.0,211.0,211.0,211.0,0.0,10708.0,2259388.0
22,2017-10-25,211.0,207.0,203.0,203.0,0.0,8000.0,1632000.0
23,2017-10-29,203.0,200.0,200.0,200.0,0.0,10000.0,2000000.0
24,2017-11-05,200.0,200.0,200.0,200.0,0.0,10000.0,2000000.0
25,2017-11-06,200.0,196.0,196.0,196.0,0.0,10071.0,1973916.0
26,2017-12-13,196.0,196.0,196.0,196.0,0.0,70000.0,13720000.0
27,2017-12-31,196.0,195.0,195.0,195.0,0.0,48092.0,9377940.0
28,2018-01-07,195.0,195.0,195.0,195.0,0.0,14828.0,2891460.0
29,2018-01-09,195.0,195.0,195.0,195.0,0.0,11950.0,2330250.0
30,2018-02-04,195.0,195.0,195.0,195.0,0.0,35305.0,6884475.0
31,2018-02-12,195.0,195.0,195.0,195.0,0.0,89421.0,17437096.0
32,2018-03-20,195.0,195.0,195.0,195.0,0.0,3126.0,609570.0
33,2018-04-26,195.0,195.0,195.0,195.0,0.0,99400.0,19383000.0
34,2018-05-27,195.0,195.0,195.0,195.0,0.0,100000.0,19500000.0
35,2018-07-03,195.0,195.0,195.0,195.0,0.0,118934.0,23192130.0
36,2018-11-13,195.0,195.0,195.0,195.0,0.0,23000.0,4485000.0
37,2018-12-17,195.0,195.0,195.0,195.0,0.0,13920.0,2714400.0
38,2019-03-18,162.0,162.0,162.0,162.0,-16.92,15000.0,2430000.0
39,2019-03-24,165.0,165.0,165.0,165.0,1.85,63703.0,10510995.0
40,2019-04-10,162.0,162.0,162.0,162.0,-1.82,30000.0,4860000.0
41,2019-07-15,200.0,200.0,200.0,200.0,23.46,31736.0,6347200.0
42,2019-07-28,200.0,200.0,200.0,200.0,0.0,40274.0,8054800.0
43,2019-07-30,196.0,196.0,196.0,196.0,-2.0,161545.0,31662820.0
44,2019-08-19,196.0,196.0,196.0,196.0,0.0,131793.0,25831428.0
45,2019-09-24,196.0,196.0,196.0,196.0,0.0,159637.0,31288900.0
46,2019-12-02,193.0,193.0,193.0,193.0,-1.53,24200.0,4670600.0
47,2019-12-03,190.0,190.0,190.0,190.0,-1.55,137345.0,26095550.0
48,2020-03-12,190.0,190.0,190.0,190.0,0.0,15000.0,2850000.0
49,2020-07-05,190.0,190.0,190.0,190.0,0.0,86124.0,16363560.0
50,2020-07-06,190.0,190.0,190.0,190.0,0.0,26000.0,4940000.0
51,2020-07-14,190.0,190.0,190.0,190.0,0.0,58200.0,11058000.0
52,2020-07-26,190.0,190.0,190.0,190.0,0.0,24630.0,4679700.0
53,2020-11-08,190.0,190.0,190.0,190.0,0.0,46010.0,8741900.0
54,2020-12-03,190.0,190.0,190.0,190.0,0.0,39258.0,7459020.0
55,2020-12-31,190.0,190.0,190.0,190.0,0.0,14000.0,2660000.0
56,2021-01-04,190.0,190.0,190.0,190.0,0.0,66976.0,12725440.0
57,2021-02-08,190.0,190.0,190.0,190.0,0.0,21411.0,4068090.0
58,2021-04-04,190.0,190.0,190.0,190.0,0.0,15800.0,3002000.0
59,2021-07-05,270.0,270.0,270.0,270.0,0.0,61795.0,16684650.0
60,2021-08-26,264.6,264.6,264.6,264.6,-2.0,71000.0,18786600.0
61,2021-09-02,264.6,265.0,264.6,265.0,0.15,46318.0,12269182.8
62,2021-11-15,275.0,275.0,275.0,275.0,3.77,14000.0,3850000.0
63,2021-12-14,275.0,275.0,275.0,275.0,0.0,100000.0,27500000.0
64,2021-12-20,275.0,275.0,275.0,275.0,0.0,100000.0,27500000.0
65,2021-12-23,270.0,270.0,270.0,270.0,-1.82,4362.0,1177740.0
66,2021-12-27,270.0,270.0,270.0,270.0,0.0,100000.0,27000000.0
67,2022-01-20,270.0,270.0,270.0,270.0,0.0,54213.0,14637510.0
68,2022-02-10,270.0,270.0,270.0,270.0,0.0,50000.0,13500000.0
69,2022-03-07,270.0,270.0,270.0,270.0,0.0,11348.0,3063960.0
70,2022-04-28,270.0,270.0,270.0,270.0,0.0,56739.0,15319530.0
71,2022-07-03,193.0,193.0,193.0,193.0,0.0,70000.0,13510000.0
72,2022-08-07,193.0,193.0,193.0,193.0,0.0,150000.0,28950000.0
73,2022-08-09,193.0,193.0,193.0,193.0,0.0,11352.0,2190936.0
74,2022-09-13,193.0,193.0,193.0,193.0,0.0,14851.0,2866243.0
75,2022-11-17,175.0,175.0,175.0,175.0,0.0,8085.0,1414875.0
76,2022-12-27,171.5,171.5,171.5,171.5,-2.0,140627.0,24117530.5
77,2023-01-29,171.5,171.5,171.5,171.5,0.0,46869.0,8038033.5
78,2023-03-12,168.1,168.1,161.6,161.6,-5.77,150000.0,24492812.5
79,2023-03-16,160.0,160.0,160.0,160.0,-0.99,160000.0,25600000.0
80,2023-03-19,160.0,160.0,160.0,160.0,0.0,90000.0,14400000.0
81,2023-04-18,156.8,156.8,156.8,156.8,-2.0,40000.0,6272000.0
82,2023-05-31,156.8,156.8,156.8,156.8,0.0,14353.0,2250550.4
83,2023-06-11,153.7,153.7,153.7,153.7,-1.98,75000.0,11527500.0
84,2023-06-19,150.7,150.7,150.7,150.7,-1.95,104813.0,15795319.1
85,2023-06-28,150.7,150.7,150.7,150.7,0.0,10000.0,1507000.0
86,2023-08-21,148.0,148.0,148.0,148.0,-1.79,150000.0,22200000.0
87,2023-10-30,145.1,145.1,145.1,145.1,-1.96,200000.0,29020000.0
88,2023-10-31,145.1,145.1,145.1,145.1,0.0,100000.0,14510000.0
89,2024-01-22,135.0,135.0,135.0,135.0,0.0,250000.0,33750000.0
90,2024-02-18,135.0,135.0,135.0,135.0,0.0,100000.0,13500000.0
91,2024-02-22,135.0,135.0,135.0,135.0,0.0,100000.0,13500000.0
92,2024-04-21,135.0,135.0,135.0,135.0,0.0,43168.0,5827680.0
93,2024-07-10,137.7,137.7,137.7,137.7,2.0,350676.0,48288085.2
94,2024-07-11,137.7,137.7,137.7,137.7,0.0,99324.0,13676914.8
95,2024-07-21,137.7,137.7,137.7,137.7,0.0,60307.0,8304273.9
96,2025-07-03,175.0,175.0,175.0,175.0,0.0,15000.0,2625000.0
97,2025-07-06,175.0,175.0,175.0,175.0,0.0,134000.0,23450000.0
98,2025-07-14,175.0,175.0,175.0,175.0,0.0,41570.0,7274750.0
99,2025-07-17,172.0,172.0,172.0,172.0,-1.71,25000.0,4300000.0
100,2025-08-18,172.0,172.0,172.0,172.0,0.0,25000.0,4300000.0
101,2025-09-07,169.0,169.0,169.0,169.0,-1.74,151000.0,25519000.0
