S.N.,Date,Open,High,Low,Close,% Change,Qty,Turnover
1,2011-04-10,300.0,301.0,301.0,301.0,0.0,132.0,39732.0
2,2011-04-27,301.0,307.0,307.0,307.0,0.0,60.0,18420.0
3,2011-04-28,307.0,307.0,307.0,307.0,0.0,86.0,26402.0
4,2011-05-25,307.0,301.0,301.0,301.0,0.0,20.0,6020.0
5,2011-06-29,301.0,300.0,300.0,300.0,0.0,36.0,10800.0
6,2011-07-26,300.0,294.0,290.0,290.0,0.0,300.0,87400.0
7,2011-08-01,290.0,290.0,290.0,290.0,0.0,22.0,6380.0
8,2011-08-02,290.0,295.0,295.0,295.0,0.0,22.0,6490.0
9,2011-08-07,295.0,300.0,300.0,300.0,0.0,46.0,13800.0
10,2011-08-09,300.0,300.0,300.0,300.0,0.0,45.0,13500.0
11,2011-08-10,300.0,301.0,301.0,301.0,0.0,12.0,3612.0
12,2011-08-11,301.0,302.0,302.0,302.0,0.0,308.0,93016.0
13,2011-08-18,302.0,308.0,308.0,308.0,0.0,11.0,3388.0
14,2011-08-25,308.0,338.0,314.0,338.0,0.0,50.0,16300.0
15,2011-09-01,338.0,346.0,333.0,346.0,0.0,1416.0,477347.0
16,2011-09-04,346.0,380.0,352.0,374.0,0.0,501.0,185990.0
17,2011-09-05,374.0,374.0,360.0,360.0,0.0,315.0,115052.0
18,2011-09-07,360.0,353.0,353.0,353.0,0.0,100.0,35300.0
19,2011-09-08,353.0,357.0,350.0,357.0,0.0,140.0,49700.0
20,2011-09-13,357.0,350.0,343.0,350.0,0.0,532.0,185608.0
21,2011-09-14,350.0,350.0,345.0,345.0,0.0,264.0,92205.0
22,2011-09-15,345.0,345.0,339.0,345.0,0.0,120.0,41040.0
23,2011-09-18,345.0,339.0,339.0,339.0,0.0,1186.0,402054.0
24,2011-09-19,339.0,345.0,345.0,345.0,0.0,22.0,7590.0
25,2011-09-20,345.0,351.0,345.0,345.0,0.0,101.0,34977.0
26,2011-09-21,345.0,345.0,344.0,344.0,0.0,137.0,47150.0
27,2011-10-17,344.0,350.0,344.0,345.0,0.0,135.0,46638.0
28,2011-10-19,345.0,346.0,346.0,346.0,0.0,75.0,25950.0
29,2011-10-31,346.0,352.0,352.0,352.0,0.0,18.0,6336.0
30,2011-11-02,352.0,359.0,359.0,359.0,0.0,107.0,38413.0
31,2011-11-03,359.0,366.0,365.0,366.0,0.0,54.0,19754.0
32,2011-11-06,366.0,373.0,373.0,373.0,0.0,15.0,5595.0
33,2011-11-13,373.0,375.0,375.0,375.0,0.0,60.0,22500.0
34,2011-11-15,375.0,374.0,368.0,368.0,0.0,298.0,110096.0
